             #Energy(eV)            n(10^20/cm3)
     -0.200000000000E+01     -0.711978443946E+03
     -0.199599599600E+01     -0.709444789761E+03
     -0.199199199199E+01     -0.706855765725E+03
     -0.198798798799E+01     -0.704208931746E+03
     -0.198398398398E+01     -0.701501833532E+03
     -0.197997997998E+01     -0.698732043704E+03
     -0.197597597598E+01     -0.695897204210E+03
     -0.197197197197E+01     -0.692995069279E+03
     -0.196796796797E+01     -0.690023548691E+03
     -0.196396396396E+01     -0.686980751598E+03
     -0.195995995996E+01     -0.683865031378E+03
     -0.195595595596E+01     -0.680675032017E+03
     -0.195195195195E+01     -0.677409736378E+03
     -0.194794794795E+01     -0.674068516309E+03
     -0.194394394394E+01     -0.670651184080E+03
     -0.193993993994E+01     -0.667158044183E+03
     -0.193593593594E+01     -0.663589944014E+03
     -0.193193193193E+01     -0.659948321667E+03
     -0.192792792793E+01     -0.656235248744E+03
     -0.192392392392E+01     -0.652453465988E+03
     -0.191991991992E+01     -0.648606409443E+03
     -0.191591591592E+01     -0.644698224828E+03
     -0.191191191191E+01     -0.640733767898E+03
     -0.190790790791E+01     -0.636718588651E+03
     -0.190390390390E+01     -0.632658897551E+03
     -0.189989989990E+01     -0.628561512333E+03
     -0.189589589590E+01     -0.624433784672E+03
     -0.189189189189E+01     -0.620283506865E+03
     -0.188788788789E+01     -0.616118799834E+03
     -0.188388388388E+01     -0.611947985036E+03
     -0.187987987988E+01     -0.607779444133E+03
     -0.187587587588E+01     -0.603621471522E+03
     -0.187187187187E+01     -0.599482125723E+03
     -0.186786786787E+01     -0.595369086172E+03
     -0.186386386386E+01     -0.591289521951E+03
     -0.185985985986E+01     -0.587249978434E+03
     -0.185585585586E+01     -0.583256286656E+03
     -0.185185185185E+01     -0.579313498650E+03
     -0.184784784785E+01     -0.575425850095E+03
     -0.184384384384E+01     -0.571596749729E+03
     -0.183983983984E+01     -0.567828793245E+03
     -0.183583583584E+01     -0.564123798071E+03
     -0.183183183183E+01     -0.560482854630E+03
     -0.182782782783E+01     -0.556906389449E+03
     -0.182382382382E+01     -0.553394235814E+03
     -0.181981981982E+01     -0.549945708338E+03
     -0.181581581582E+01     -0.546559678778E+03
     -0.181181181181E+01     -0.543234651441E+03
     -0.180780780781E+01     -0.539968837335E+03
     -0.180380380380E+01     -0.536760226878E+03
     -0.179979979980E+01     -0.533606661205E+03
     -0.179579579580E+01     -0.530505902028E+03
     -0.179179179179E+01     -0.527455699625E+03
     -0.178778778779E+01     -0.524453857939E+03
     -0.178378378378E+01     -0.521498295077E+03
     -0.177977977978E+01     -0.518587096934E+03
     -0.177577577578E+01     -0.515718561288E+03
     -0.177177177177E+01     -0.512891229686E+03
     -0.176776776777E+01     -0.510103904788E+03
     -0.176376376376E+01     -0.507355651667E+03
     -0.175975975976E+01     -0.504645782633E+03
     -0.175575575576E+01     -0.501973826571E+03
     -0.175175175175E+01     -0.499339485161E+03
     -0.174774774775E+01     -0.496742579718E+03
     -0.174374374374E+01     -0.494182993332E+03
     -0.173973973974E+01     -0.491660613586E+03
     -0.173573573574E+01     -0.489175281047E+03
     -0.173173173173E+01     -0.486726748150E+03
     -0.172772772773E+01     -0.484314651921E+03
     -0.172372372372E+01     -0.481938502471E+03
     -0.171971971972E+01     -0.479597687527E+03
     -0.171571571572E+01     -0.477291491634E+03
     -0.171171171171E+01     -0.475019127309E+03
     -0.170770770771E+01     -0.472779774449E+03
     -0.170370370370E+01     -0.470572623794E+03
     -0.169969969970E+01     -0.468396920017E+03
     -0.169569569570E+01     -0.466252000276E+03
     -0.169169169169E+01     -0.464137324373E+03
     -0.168768768769E+01     -0.462052493229E+03
     -0.168368368368E+01     -0.459997253071E+03
     -0.167967967968E+01     -0.457971483443E+03
     -0.167567567568E+01     -0.455975168122E+03
     -0.167167167167E+01     -0.454008349049E+03
     -0.166766766767E+01     -0.452071064618E+03
     -0.166366366366E+01     -0.450163274928E+03
     -0.165965965966E+01     -0.448284777872E+03
     -0.165565565566E+01     -0.446435120961E+03
     -0.165165165165E+01     -0.444613514514E+03
     -0.164764764765E+01     -0.442818751973E+03
     -0.164364364364E+01     -0.441049142764E+03
     -0.163963963964E+01     -0.439302462156E+03
     -0.163563563564E+01     -0.437575921225E+03
     -0.163163163163E+01     -0.435866158383E+03
     -0.162762762763E+01     -0.434169252371E+03
     -0.162362362362E+01     -0.432480755134E+03
     -0.161961961962E+01     -0.430795742012E+03
     -0.161561561562E+01     -0.429108876069E+03
     -0.161161161161E+01     -0.427414483265E+03
     -0.160760760761E+01     -0.425706635490E+03
     -0.160360360360E+01     -0.423979238988E+03
     -0.159959959960E+01     -0.422226126365E+03
     -0.159559559560E+01     -0.420441150914E+03
     -0.159159159159E+01     -0.418618282392E+03
     -0.158758758759E+01     -0.416751703478E+03
     -0.158358358358E+01     -0.414835905987E+03
     -0.157957957958E+01     -0.412865785617E+03
     -0.157557557558E+01     -0.410836733583E+03
     -0.157157157157E+01     -0.408744723238E+03
     -0.156756756757E+01     -0.406586389603E+03
     -0.156356356356E+01     -0.404359099836E+03
     -0.155955955956E+01     -0.402061012869E+03
     -0.155555555556E+01     -0.399691126734E+03
     -0.155155155155E+01     -0.397249312323E+03
     -0.154754754755E+01     -0.394736332466E+03
     -0.154354354354E+01     -0.392153845231E+03
     -0.153953953954E+01     -0.389504390356E+03
     -0.153553553554E+01     -0.386791357830E+03
     -0.153153153153E+01     -0.384018937942E+03
     -0.152752752753E+01     -0.381192052651E+03
     -0.152352352352E+01     -0.378316268942E+03
     -0.151951951952E+01     -0.375397695789E+03
     -0.151551551552E+01     -0.372442867371E+03
     -0.151151151151E+01     -0.369458616153E+03
     -0.150750750751E+01     -0.366451940225E+03
     -0.150350350350E+01     -0.363429869834E+03
     -0.149949949950E+01     -0.360399338207E+03
     -0.149549549550E+01     -0.357367061645E+03
     -0.149149149149E+01     -0.354339433294E+03
     -0.148748748749E+01     -0.351322434189E+03
     -0.148348348348E+01     -0.348321563993E+03
     -0.147947947948E+01     -0.345341792602E+03
     -0.147547547548E+01     -0.342387532425E+03
     -0.147147147147E+01     -0.339462629928E+03
     -0.146746746747E+01     -0.336570374012E+03
     -0.146346346346E+01     -0.333713518039E+03
     -0.145945945946E+01     -0.330894311958E+03
     -0.145545545546E+01     -0.328114540868E+03
     -0.145145145145E+01     -0.325375566593E+03
     -0.144744744745E+01     -0.322678369271E+03
     -0.144344344344E+01     -0.320023586580E+03
     -0.143943943944E+01     -0.317411548963E+03
     -0.143543543544E+01     -0.314842309986E+03
     -0.143143143143E+01     -0.312315671707E+03
     -0.142742742743E+01     -0.309831205594E+03
     -0.142342342342E+01     -0.307388269970E+03
     -0.141941941942E+01     -0.304986025240E+03
     -0.141541541542E+01     -0.302623448173E+03
     -0.141141141141E+01     -0.300299346362E+03
     -0.140740740741E+01     -0.298012373748E+03
     -0.140340340340E+01     -0.295761047744E+03
     -0.139939939940E+01     -0.293543768209E+03
     -0.139539539540E+01     -0.291358838286E+03
     -0.139139139139E+01     -0.289204486874E+03
     -0.138738738739E+01     -0.287078892392E+03
     -0.138338338338E+01     -0.284980207399E+03
     -0.137937937938E+01     -0.282906583569E+03
     -0.137537537538E+01     -0.280856196511E+03
     -0.137137137137E+01     -0.278827269997E+03
     -0.136736736737E+01     -0.276818099142E+03
     -0.136336336336E+01     -0.274827072204E+03
     -0.135935935936E+01     -0.272852690622E+03
     -0.135535535536E+01     -0.270893586914E+03
     -0.135135135135E+01     -0.268948539990E+03
     -0.134734734735E+01     -0.267016487384E+03
     -0.134334334334E+01     -0.265096533883E+03
     -0.133933933934E+01     -0.263187956145E+03
     -0.133533533534E+01     -0.261290203004E+03
     -0.133133133133E+01     -0.259402891405E+03
     -0.132732732733E+01     -0.257525798130E+03
     -0.132332332332E+01     -0.255658847718E+03
     -0.131931931932E+01     -0.253802097114E+03
     -0.131531531532E+01     -0.251955717745E+03
     -0.131131131131E+01     -0.250119975731E+03
     -0.130730730731E+01     -0.248295210979E+03
     -0.130330330330E+01     -0.246481815823E+03
     -0.129929929930E+01     -0.244680213782E+03
     -0.129529529530E+01     -0.242890838882E+03
     -0.129129129129E+01     -0.241114115729E+03
     -0.128728728729E+01     -0.239350440381E+03
     -0.128328328328E+01     -0.237600161784E+03
     -0.127927927928E+01     -0.235863563430E+03
     -0.127527527528E+01     -0.234140844808E+03
     -0.127127127127E+01     -0.232432102299E+03
     -0.126726726727E+01     -0.230737309410E+03
     -0.126326326326E+01     -0.229056296562E+03
     -0.125925925926E+01     -0.227388731108E+03
     -0.125525525526E+01     -0.225734098677E+03
     -0.125125125125E+01     -0.224091687311E+03
     -0.124724724725E+01     -0.222460576026E+03
     -0.124324324324E+01     -0.220839629416E+03
     -0.123923923924E+01     -0.219227499620E+03
     -0.123523523524E+01     -0.217622636480E+03
     -0.123123123123E+01     -0.216023306094E+03
     -0.122722722723E+01     -0.214427617246E+03
     -0.122322322322E+01     -0.212833554553E+03
     -0.121921921922E+01     -0.211239016625E+03
     -0.121521521522E+01     -0.209641857138E+03
     -0.121121121121E+01     -0.208039926571E+03
     -0.120720720721E+01     -0.206431112363E+03
     -0.120320320320E+01     -0.204813375516E+03
     -0.119919919920E+01     -0.203184782061E+03
     -0.119519519520E+01     -0.201543528345E+03
     -0.119119119119E+01     -0.199887959670E+03
     -0.118718718719E+01     -0.198216582354E+03
     -0.118318318318E+01     -0.196528069713E+03
     -0.117917917918E+01     -0.194821262781E+03
     -0.117517517518E+01     -0.193095166706E+03
     -0.117117117117E+01     -0.191348943807E+03
     -0.116716716717E+01     -0.189581904187E+03
     -0.116316316316E+01     -0.187793494672E+03
     -0.115915915916E+01     -0.185983286638E+03
     -0.115515515516E+01     -0.184150963122E+03
     -0.115115115115E+01     -0.182296305374E+03
     -0.114714714715E+01     -0.180419178888E+03
     -0.114314314314E+01     -0.178519518806E+03
     -0.113913913914E+01     -0.176597314595E+03
     -0.113513513514E+01     -0.174652593990E+03
     -0.113113113113E+01     -0.172685406338E+03
     -0.112712712713E+01     -0.170695805789E+03
     -0.112312312312E+01     -0.168683835078E+03
     -0.111911911912E+01     -0.166649510958E+03
     -0.111511511512E+01     -0.164592812684E+03
     -0.111111111111E+01     -0.162513675094E+03
     -0.110710710711E+01     -0.160411987874E+03
     -0.110310310310E+01     -0.158287602375E+03
     -0.109909909910E+01     -0.156140346872E+03
     -0.109509509510E+01     -0.153970050397E+03
     -0.109109109109E+01     -0.151776574385E+03
     -0.108708708709E+01     -0.149559850348E+03
     -0.108308308308E+01     -0.147319920924E+03
     -0.107907907908E+01     -0.145056980974E+03
     -0.107507507508E+01     -0.142771415137E+03
     -0.107107107107E+01     -0.140463828499E+03
     -0.106706706707E+01     -0.138135067682E+03
     -0.106306306306E+01     -0.135786230774E+03
     -0.105905905906E+01     -0.133418665810E+03
     -0.105505505506E+01     -0.131033958840E+03
     -0.105105105105E+01     -0.128633913756E+03
     -0.104704704705E+01     -0.126220526794E+03
     -0.104304304304E+01     -0.123795958923E+03
     -0.103903903904E+01     -0.121362509212E+03
     -0.103503503504E+01     -0.118922591693E+03
     -0.103103103103E+01     -0.116478717429E+03
     -0.102702702703E+01     -0.114033482476E+03
     -0.102302302302E+01     -0.111589561317E+03
     -0.101901901902E+01     -0.109149704341E+03
     -0.101501501502E+01     -0.106716736952E+03
     -0.101101101101E+01     -0.104293557352E+03
     -0.100700700701E+01     -0.101883129735E+03
     -0.100300300300E+01     -0.994884700057E+02
     -0.998998998999E+00     -0.971126219147E+02
     -0.994994994995E+00     -0.947586228467E+02
     -0.990990990991E+00     -0.924294600840E+02
     -0.986986986987E+00     -0.901280199786E+02
     -0.982982982983E+00     -0.878570337833E+02
     -0.978978978979E+00     -0.856190246346E+02
     -0.974974974975E+00     -0.834162602387E+02
     -0.970970970971E+00     -0.812507151400E+02
     -0.966966966967E+00     -0.791240452592E+02
     -0.962962962963E+00     -0.770375758957E+02
     -0.958958958959E+00     -0.749923029111E+02
     -0.954954954955E+00     -0.729889055906E+02
     -0.950950950951E+00     -0.710277688553E+02
     -0.946946946947E+00     -0.691090121433E+02
     -0.942942942943E+00     -0.672325222984E+02
     -0.938938938939E+00     -0.653979881226E+02
     -0.934934934935E+00     -0.636049347124E+02
     -0.930930930931E+00     -0.618527561894E+02
     -0.926926926927E+00     -0.601407458762E+02
     -0.922922922923E+00     -0.584681233099E+02
     -0.918918918919E+00     -0.568340577367E+02
     -0.914914914915E+00     -0.552376878972E+02
     -0.910910910911E+00     -0.536781380754E+02
     -0.906906906907E+00     -0.521545305234E+02
     -0.902902902903E+00     -0.506659945468E+02
     -0.898898898899E+00     -0.492116726996E+02
     -0.894894894895E+00     -0.477907246683E+02
     -0.890890890891E+00     -0.464023294916E+02
     -0.886886886887E+00     -0.450456867292E+02
     -0.882882882883E+00     -0.437200170786E+02
     -0.878878878879E+00     -0.424245627613E+02
     -0.874874874875E+00     -0.411585878231E+02
     -0.870870870871E+00     -0.399213783497E+02
     -0.866866866867E+00     -0.387122425309E+02
     -0.862862862863E+00     -0.375305105116E+02
     -0.858858858859E+00     -0.363755340181E+02
     -0.854854854855E+00     -0.352466858042E+02
     -0.850850850851E+00     -0.341433589995E+02
     -0.846846846847E+00     -0.330649664449E+02
     -0.842842842843E+00     -0.320109400692E+02
     -0.838838838839E+00     -0.309807303254E+02
     -0.834834834835E+00     -0.299738056791E+02
     -0.830830830831E+00     -0.289896521395E+02
     -0.826826826827E+00     -0.280277728373E+02
     -0.822822822823E+00     -0.270876876801E+02
     -0.818818818819E+00     -0.261689331300E+02
     -0.814814814815E+00     -0.252710621462E+02
     -0.810810810811E+00     -0.243936443157E+02
     -0.806806806807E+00     -0.235362661560E+02
     -0.802802802803E+00     -0.226985315484E+02
     -0.798798798799E+00     -0.218800622257E+02
     -0.794794794795E+00     -0.210804982436E+02
     -0.790790790791E+00     -0.202994983728E+02
     -0.786786786787E+00     -0.195367403726E+02
     -0.782782782783E+00     -0.187919211382E+02
     -0.778778778779E+00     -0.180647567289E+02
     -0.774774774775E+00     -0.173549822984E+02
     -0.770770770771E+00     -0.166623519328E+02
     -0.766766766767E+00     -0.159866383989E+02
     -0.762762762763E+00     -0.153276327850E+02
     -0.758758758759E+00     -0.146851440130E+02
     -0.754754754755E+00     -0.140589982156E+02
     -0.750750750751E+00     -0.134490379857E+02
     -0.746746746747E+00     -0.128551215226E+02
     -0.742742742743E+00     -0.122771217099E+02
     -0.738738738739E+00     -0.117149251404E+02
     -0.734734734735E+00     -0.111684310807E+02
     -0.730730730731E+00     -0.106375503248E+02
     -0.726726726727E+00     -0.101222038632E+02
     -0.722722722723E+00     -0.962232127492E+01
     -0.718718718719E+00     -0.913783876239E+01
     -0.714714714715E+00     -0.866869677950E+01
     -0.710710710711E+00     -0.821483724270E+01
     -0.706706706707E+00     -0.777620036345E+01
     -0.702702702703E+00     -0.735272118000E+01
     -0.698698698699E+00     -0.694432589738E+01
     -0.694694694695E+00     -0.655092817137E+01
     -0.690690690691E+00     -0.617242549045E+01
     -0.686686686687E+00     -0.580869582899E+01
     -0.682682682683E+00     -0.545959475814E+01
     -0.678678678679E+00     -0.512495320417E+01
     -0.674674674675E+00     -0.480457603904E+01
     -0.670670670671E+00     -0.449824164519E+01
     -0.666666666667E+00     -0.420570254232E+01
     -0.662662662663E+00     -0.392668707139E+01
     -0.658658658659E+00     -0.366090203223E+01
     -0.654654654655E+00     -0.340803607525E+01
     -0.650650650651E+00     -0.316776356477E+01
     -0.646646646647E+00     -0.293974859550E+01
     -0.642642642643E+00     -0.272364883471E+01
     -0.638638638639E+00     -0.251911891343E+01
     -0.634634634635E+00     -0.232581315383E+01
     -0.630630630631E+00     -0.214338751485E+01
     -0.626626626627E+00     -0.197150073174E+01
     -0.622622622623E+00     -0.180981470926E+01
     -0.618618618619E+00     -0.165799429057E+01
     -0.614614614615E+00     -0.151570656442E+01
     -0.610610610611E+00     -0.138261989046E+01
     -0.606606606607E+00     -0.125840281292E+01
     -0.602602602603E+00     -0.114272301357E+01
     -0.598598598599E+00     -0.103524642393E+01
     -0.594594594595E+00     -0.935636583228E+00
