             #Energy(eV)         XX(1/Omega/m/s)         YY(1/Omega/m/s)         ZZ(1/Omega/m/s)    Average(1/Omega/m/s)
     -0.200000000000E+01      0.390821660157E+20      0.487135984704E+20      0.584753990709E+20      0.487570545190E+20
     -0.199599599600E+01      0.402491386282E+20      0.498502305725E+20      0.595779591927E+20      0.498924427978E+20
     -0.199199199199E+01      0.414560717934E+20      0.510026848474E+20      0.606729653677E+20      0.510439073362E+20
     -0.198798798799E+01      0.427004814557E+20      0.521701642947E+20      0.617612074583E+20      0.522106177362E+20
     -0.198398398398E+01      0.439788912670E+20      0.533510472961E+20      0.628428320088E+20      0.533909235239E+20
     -0.197997997998E+01      0.452868953748E+20      0.545428931363E+20      0.639173018019E+20      0.545823634376E+20
     -0.197597597598E+01      0.466192550129E+20      0.557424892276E+20      0.649833889389E+20      0.557817110598E+20
     -0.197197197197E+01      0.479700178937E+20      0.569459296297E+20      0.660391973085E+20      0.569850482773E+20
     -0.196796796797E+01      0.493326474679E+20      0.581487105688E+20      0.670822086343E+20      0.581878555570E+20
     -0.196396396396E+01      0.507001500539E+20      0.593458292518E+20      0.681093456150E+20      0.593851083069E+20
     -0.195995995996E+01      0.520651912356E+20      0.605318767670E+20      0.691170458665E+20      0.605713712897E+20
     -0.195595595596E+01      0.534201974225E+20      0.617011219698E+20      0.701013411113E+20      0.617408868345E+20
     -0.195195195195E+01      0.547574424297E+20      0.628475881055E+20      0.710579370277E+20      0.628876558543E+20
     -0.194794794795E+01      0.560691212534E+20      0.639651256225E+20      0.719822902109E+20      0.640055123623E+20
     -0.194394394394E+01      0.573474138398E+20      0.650474832009E+20      0.728696798832E+20      0.650881923080E+20
     -0.193993993994E+01      0.585845414299E+20      0.660883762823E+20      0.737152734599E+20      0.661293970574E+20
     -0.193593593594E+01      0.597728181741E+20      0.670815507804E+20      0.745141868690E+20      0.671228519412E+20
     -0.193193193193E+01      0.609047017824E+20      0.680208407831E+20      0.752615423965E+20      0.680623616540E+20
     -0.192792792793E+01      0.619728487219E+20      0.689002227171E+20      0.759525283164E+20      0.689418665852E+20
     -0.192392392392E+01      0.629701808232E+20      0.697138727420E+20      0.765824651675E+20      0.697555062442E+20
     -0.191991991992E+01      0.638899699305E+20      0.704562366314E+20      0.771468829923E+20      0.704976965181E+20
     -0.191591591592E+01      0.647259448671E+20      0.711221204236E+20      0.776416122591E+20      0.711632258499E+20
     -0.191191191191E+01      0.654724208853E+20      0.717068057013E+20      0.780628889791E+20      0.717473718552E+20
     -0.190790790791E+01      0.661244471137E+20      0.722061870773E+20      0.784074721952E+20      0.722460354621E+20
     -0.190390390390E+01      0.666779636575E+20      0.726169235439E+20      0.786727699050E+20      0.726558857021E+20
     -0.189989989990E+01      0.671299578548E+20      0.729365915860E+20      0.788569676209E+20      0.729745056872E+20
     -0.189589589590E+01      0.674786088958E+20      0.731638269780E+20      0.789591520597E+20      0.732005293112E+20
     -0.189189189189E+01      0.677234110682E+20      0.732984434438E+20      0.789794208037E+20      0.733337584385E+20
     -0.188788788789E+01      0.678652675734E+20      0.733415187245E+20      0.789189674049E+20      0.733752512342E+20
     -0.188388388388E+01      0.679065486169E+20      0.732954410637E+20      0.787801308005E+20      0.733273734937E+20
