             #Energy(eV)           XX(uW/cm/K^2)           YY(uW/cm/K^2)           ZZ(uW/cm/K^2)      Average(uW/cm/K^2)
     -0.200000000000E+01      0.129747943618E+02      0.104024624347E+02      0.691057799580E+01      0.100959449308E+02
     -0.199599599600E+01      0.132512103937E+02      0.103493661446E+02      0.662313479671E+01      0.100745704450E+02
     -0.199199199199E+01      0.134356344333E+02      0.102509710128E+02      0.634792945261E+01      0.100115116329E+02
     -0.198798798799E+01      0.135199654170E+02      0.101034453402E+02      0.608052822489E+01      0.990131299404E+01
     -0.198398398398E+01      0.134992207148E+02      0.990432632464E+01      0.581662952143E+01      0.974005885364E+01
     -0.197997997998E+01      0.133715962075E+02      0.965259703597E+01      0.555226897099E+01      0.952548740482E+01
     -0.197597597598E+01      0.131383339107E+02      0.934868515732E+01      0.528399717849E+01      0.925700541549E+01
     -0.197197197197E+01      0.128034352674E+02      0.899438778323E+01      0.500902367427E+01      0.893561557496E+01
     -0.196796796797E+01      0.123732692947E+02      0.859273748382E+01      0.472532295119E+01      0.856377657656E+01
     -0.196396396396E+01      0.118561290161E+02      0.814783390748E+01      0.443170120118E+01      0.814522137491E+01
     -0.195995995996E+01      0.112617858392E+02      0.766466766232E+01      0.412782490150E+01      0.768475946767E+01
     -0.195595595596E+01      0.106010803010E+02      0.714895742646E+01      0.381421443930E+01      0.718808405558E+01
     -0.195195195195E+01      0.988557186056E+01      0.660700982896E+01      0.349220743963E+01      0.666159637638E+01
     -0.194794794795E+01      0.912725461824E+01      0.604560008223E+01      0.316389743668E+01      0.611225071238E+01
     -0.194394394394E+01      0.833833389619E+01      0.547186468123E+01      0.283205395849E+01      0.554741751197E+01
     -0.193993993994E+01      0.753105212860E+01      0.489319746127E+01      0.250002975586E+01      0.497475978191E+01
     -0.193593593594E+01      0.671755037946E+01      0.431714464495E+01      0.217165954245E+01      0.440211818896E+01
     -0.193193193193E+01      0.590975147751E+01      0.375129872376E+01      0.185115224902E+01      0.383740081676E+01
     -0.192792792793E+01      0.511925015682E+01      0.320319146972E+01      0.154297593816E+01      0.328847252157E+01
     -0.192392392392E+01      0.435719448013E+01      0.268018255495E+01      0.125173209870E+01      0.276303637793E+01
