             #Energy(eV)                XX(uV/K)                YY(uV/K)                ZZ(uV/K)           Average(uV/K)
     -0.200000000000E+01     -0.576183648246E+02     -0.462107451980E+02     -0.343772070056E+02     -0.460687723427E+02
     -0.199599599600E+01     -0.573785381627E+02     -0.455641518184E+02     -0.333417956736E+02     -0.454281618849E+02
     -0.199199199199E+01     -0.569291914237E+02     -0.448317801067E+02     -0.323458400833E+02     -0.447022705379E+02
     -0.198798798799E+01     -0.562692860031E+02     -0.440071907675E+02     -0.313770973638E+02     -0.438845247115E+02
     -0.198398398398E+01     -0.554028633828E+02     -0.430864780680E+02     -0.304234056020E+02     -0.429709156843E+02
     -0.197997997998E+01     -0.543382130558E+02     -0.420681101879E+02     -0.294731145222E+02     -0.419598125887E+02
     -0.197597597598E+01     -0.530869143683E+02     -0.409526573525E+02     -0.285154421712E+02     -0.408516712973E+02
     -0.197197197197E+01     -0.516628445629E+02     -0.397424338769E+02     -0.275407427877E+02     -0.396486737425E+02
     -0.196796796797E+01     -0.500812339806E+02     -0.384410930020E+02     -0.265406815619E+02     -0.383543361815E+02
     -0.196396396396E+01     -0.483578335365E+02     -0.370532223300E+02     -0.255083214831E+02     -0.369731257832E+02
     -0.195995995996E+01     -0.465082392794E+02     -0.355839860029E+02     -0.244381344315E+02     -0.355101199046E+02
     -0.195595595596E+01     -0.445473955030E+02     -0.340388457425E+02     -0.233259526486E+02     -0.339707312980E+02
     -0.195195195195E+01     -0.424892750369E+02     -0.324233712259E+02     -0.221688782976E+02     -0.323605081868E+02
     -0.194794794795E+01     -0.403467175651E+02     -0.307431298201E+02     -0.209651690302E+02     -0.306850054718E+02
     -0.194394394394E+01     -0.381313974861E+02     -0.290036346343E+02     -0.197141170580E+02     -0.289497163928E+02
     -0.193993993994E+01     -0.358538922879E+02     -0.272103313225E+02     -0.184159381792E+02     -0.271600539299E+02
     -0.193593593594E+01     -0.335238276985E+02     -0.253686147293E+02     -0.170716849324E+02     -0.253213757867E+02
     -0.193193193193E+01     -0.311500823009E+02     -0.234838786069E+02     -0.156831939136E+02     -0.234390516071E+02
     -0.192792792793E+01     -0.287410378196E+02     -0.215616075358E+02     -0.142530713477E+02     -0.215185722344E+02
     -0.192392392392E+01     -0.263048604513E+02     -0.196075162398E+02     -0.127847141901E+02     -0.195656969604E+02
     -0.191991991992E+01     -0.238497949261E+02     -0.176277297103E+02     -0.112823578632E+02     -0.175866274999E+02
     -0.191591591592E+01     -0.213844496556E+02     -0.156289839555E+02     -0.975113754217E+01     -0.155881903844E+02
     -0.191191191191E+01     -0.189180512521E+02     -0.136188183148E+02     -0.819714818573E+01     -0.135780059176E+02
     -0.190790790791E+01     -0.164606509076E+02     -0.116057297826E+02     -0.662748874769E+01     -0.115646231460E+02
     -0.190390390390E+01     -0.140232723522E+02     -0.959926712715E+01     -0.505027707811E+01     -0.955760551915E+01
     -0.189989989990E+01     -0.116179987523E+02     -0.761005387432E+01     -0.347462298171E+01     -0.756755853609E+01
     -0.189589589590E+01     -0.925800143949E+01     -0.564973972212E+01     -0.191054756303E+01     -0.560609624155E+01
     -0.189189189189E+01     -0.695751557271E+01     -0.373088640622E+01     -0.368838092256E+00     -0.368574669040E+01
     -0.188788788789E+01     -0.473176713836E+01     -0.186679588651E+01      0.113916961070E+01     -0.181979780472E+01
     -0.188388388388E+01     -0.259685362294E+01     -0.712876794254E-01      0.260188388428E+01     -0.220858060269E-01
     -0.187987987988E+01     -0.569578879460E+00      0.164156917026E+01      0.400781956145E+01      0.169326995075E+01
     -0.187587587588E+01      0.133275792240E+01      0.325776363940E+01      0.534601480353E+01      0.331217878844E+01
     -0.187187187187E+01      0.309261895949E+01      0.476368151158E+01      0.660647797331E+01      0.482092614813E+01
     -0.186786786787E+01      0.469252916495E+01      0.614646363726E+01      0.778063315592E+01      0.620654198604E+01
     -0.186386386386E+01      0.611542180788E+01      0.739436921143E+01      0.886172981095E+01      0.745717361009E+01
     -0.185985985986E+01      0.734502926561E+01      0.849712919126E+01      0.984518306777E+01      0.856244717488E+01
     -0.185585585586E+01      0.836632248461E+01      0.944627729072E+01      0.107288157454E+02      0.951380517358E+01
     -0.185185185185E+01      0.916600473803E+01      0.102354503047E+02      0.115129802624E+02      0.103048117684E+02
     -0.184784784785E+01      0.973306540730E+01      0.108606543041E+02      0.122005473640E+02      0.109314223585E+02
     -0.184384384384E+01      0.100593960941E+02      0.113204968559E+02      0.127967586272E+02      0.113922171924E+02
     -0.183983983984E+01      0.101404633040E+02      0.116163866387E+02      0.133089507694E+02      0.116886002374E+02
     -0.183583583584E+01      0.997601878963E+01      0.117527000708E+02      0.137461712495E+02      0.118249633700E+02
     -0.183183183183E+01      0.957081081703E+01      0.117369098878E+02      0.141187150412E+02      0.118088119153E+02
