             #Energy(eV)            n(10^20/cm3)
     -0.200000000000E+01     -0.302703500812E+03
     -0.199599599600E+01     -0.301461735417E+03
     -0.199199199199E+01     -0.300219513101E+03
     -0.198798798799E+01     -0.298976849460E+03
     -0.198398398398E+01     -0.297733814831E+03
     -0.197997997998E+01     -0.296490519750E+03
     -0.197597597598E+01     -0.295247101262E+03
     -0.197197197197E+01     -0.294003711393E+03
     -0.196796796797E+01     -0.292760508496E+03
     -0.196396396396E+01     -0.291517651545E+03
     -0.195995995996E+01     -0.290275296994E+03
     -0.195595595596E+01     -0.289033597508E+03
     -0.195195195195E+01     -0.287792701843E+03
     -0.194794794795E+01     -0.286552755228E+03
     -0.194394394394E+01     -0.285313899816E+03
     -0.193993993994E+01     -0.284076274907E+03
     -0.193593593594E+01     -0.282840016743E+03
     -0.193193193193E+01     -0.281605257621E+03
     -0.192792792793E+01     -0.280372124017E+03
     -0.192392392392E+01     -0.279140733391E+03
     -0.191991991992E+01     -0.277911189474E+03
     -0.191591591592E+01     -0.276683576093E+03
     -0.191191191191E+01     -0.275457949983E+03
     -0.190790790791E+01     -0.274234333438E+03
     -0.190390390390E+01     -0.273012707929E+03
     -0.189989989990E+01     -0.271793009942E+03
     -0.189589589590E+01     -0.270575130129E+03
     -0.189189189189E+01     -0.269358916514E+03
     -0.188788788789E+01     -0.268144181936E+03
     -0.188388388388E+01     -0.266930715320E+03
     -0.187987987988E+01     -0.265718295723E+03
     -0.187587587588E+01     -0.264506707656E+03
     -0.187187187187E+01     -0.263295755868E+03
     -0.186786786787E+01     -0.262085277821E+03
     -0.186386386386E+01     -0.260875152354E+03
     -0.185985985986E+01     -0.259665303674E+03
     -0.185585585586E+01     -0.258455700568E+03
     -0.185185185185E+01     -0.257246351579E+03
     -0.184784784785E+01     -0.256037297562E+03
     -0.184384384384E+01     -0.254828603365E+03
     -0.183983983984E+01     -0.253620350357E+03
     -0.183583583584E+01     -0.252412630998E+03
     -0.183183183183E+01     -0.251205545884E+03
     -0.182782782783E+01     -0.249999202807E+03
     -0.182382382382E+01     -0.248793716665E+03
     -0.181981981982E+01     -0.247589208648E+03
     -0.181581581582E+01     -0.246385803273E+03
     -0.181181181181E+01     -0.245183622393E+03
     -0.180780780781E+01     -0.243982776235E+03
     -0.180380380380E+01     -0.242783352521E+03
     -0.179979979980E+01     -0.241585405527E+03
     -0.179579579580E+01     -0.240388947347E+03
     -0.179179179179E+01     -0.239193943447E+03
     -0.178778778779E+01     -0.238000313869E+03
     -0.178378378378E+01     -0.236807940397E+03
     -0.177977977978E+01     -0.235616678783E+03
     -0.177577577578E+01     -0.234426374127E+03
     -0.177177177177E+01     -0.233236876946E+03
     -0.176776776777E+01     -0.232048057443E+03
     -0.176376376376E+01     -0.230859816014E+03
     -0.175975975976E+01     -0.229672088913E+03
     -0.175575575576E+01     -0.228484849058E+03
     -0.175175175175E+01     -0.227298102849E+03
     -0.174774774775E+01     -0.226111884464E+03
     -0.174374374374E+01     -0.224926249255E+03
     -0.173973973974E+01     -0.223741267664E+03
     -0.173573573574E+01     -0.222557020493E+03
     -0.173173173173E+01     -0.221373595825E+03
     -0.172772772773E+01     -0.220191087262E+03
     -0.172372372372E+01     -0.219009592829E+03
     -0.171971971972E+01     -0.217829213774E+03
     -0.171571571572E+01     -0.216650052600E+03
     -0.171171171171E+01     -0.215472209986E+03
     -0.170770770771E+01     -0.214295780595E+03
     -0.170370370370E+01     -0.213120848100E+03
     -0.169969969970E+01     -0.211947479955E+03
     -0.169569569570E+01     -0.210775722499E+03
     -0.169169169169E+01     -0.209605596861E+03
     -0.168768768769E+01     -0.208437095972E+03
     -0.168368368368E+01     -0.207270182807E+03
     -0.167967967968E+01     -0.206104789872E+03
     -0.167567567568E+01     -0.204940819992E+03
     -0.167167167167E+01     -0.203778148507E+03
     -0.166766766767E+01     -0.202616627092E+03
     -0.166366366366E+01     -0.201456089364E+03
     -0.165965965966E+01     -0.200296358293E+03
     -0.165565565566E+01     -0.199137255120E+03
     -0.165165165165E+01     -0.197978609164E+03
     -0.164764764765E+01     -0.196820267675E+03
     -0.164364364364E+01     -0.195662104779E+03
     -0.163963963964E+01     -0.194504028755E+03
     -0.163563563564E+01     -0.193345987101E+03
     -0.163163163163E+01     -0.192187969207E+03
     -0.162762762763E+01     -0.191030006684E+03
     -0.162362362362E+01     -0.189872171590E+03
     -0.161961961962E+01     -0.188714572790E+03
     -0.161561561562E+01     -0.187557350682E+03
     -0.161161161161E+01     -0.186400670477E+03
     -0.160760760761E+01     -0.185244714216E+03
     -0.160360360360E+01     -0.184089671777E+03
     -0.159959959960E+01     -0.182935731221E+03
     -0.159559559560E+01     -0.181783069000E+03
     -0.159159159159E+01     -0.180631840687E+03
     -0.158758758759E+01     -0.179482172996E+03
     -0.158358358358E+01     -0.178334157875E+03
     -0.157957957958E+01     -0.177187849355E+03
     -0.157557557558E+01     -0.176043263527E+03
     -0.157157157157E+01     -0.174900381669E+03
     -0.156756756757E+01     -0.173759156001E+03
     -0.156356356356E+01     -0.172619517174E+03
     -0.155955955956E+01     -0.171481382277E+03
     -0.155555555556E+01     -0.170344662176E+03
     -0.155155155155E+01     -0.169209267244E+03
     -0.154754754755E+01     -0.168075111020E+03
     -0.154354354354E+01     -0.166942111972E+03
     -0.153953953954E+01     -0.165810194001E+03
     -0.153553553554E+01     -0.164679286684E+03
     -0.153153153153E+01     -0.163549326212E+03
     -0.152752752753E+01     -0.162420257703E+03
     -0.152352352352E+01     -0.161292039037E+03
     -0.151951951952E+01     -0.160164645814E+03
     -0.151551551552E+01     -0.159038076545E+03
     -0.151151151151E+01     -0.157912357000E+03
     -0.150750750751E+01     -0.156787542681E+03
     -0.150350350350E+01     -0.155663718795E+03
     -0.149949949950E+01     -0.154540997628E+03
     -0.149549549550E+01     -0.153419513819E+03
     -0.149149149149E+01     -0.152299418511E+03
     -0.148748748749E+01     -0.151180873585E+03
     -0.148348348348E+01     -0.150064047142E+03
     -0.147947947948E+01     -0.148949111117E+03
     -0.147547547548E+01     -0.147836241418E+03
     -0.147147147147E+01     -0.146725620521E+03
     -0.146746746747E+01     -0.145617442008E+03
     -0.146346346346E+01     -0.144511916268E+03
     -0.145945945946E+01     -0.143409276534E+03
     -0.145545545546E+01     -0.142309784463E+03
     -0.145145145145E+01     -0.141213734666E+03
     -0.144744744745E+01     -0.140121457696E+03
     -0.144344344344E+01     -0.139033321141E+03
     -0.143943943944E+01     -0.137949728473E+03
     -0.143543543544E+01     -0.136871115341E+03
     -0.143143143143E+01     -0.135797943113E+03
     -0.142742742743E+01     -0.134730689675E+03
     -0.142342342342E+01     -0.133669837891E+03
     -0.141941941942E+01     -0.132615862518E+03
     -0.141541541542E+01     -0.131569216779E+03
     -0.141141141141E+01     -0.130530319954E+03
     -0.140740740741E+01     -0.129499547280E+03
     -0.140340340340E+01     -0.128477223050E+03
     -0.139939939940E+01     -0.127463617264E+03
     -0.139539539540E+01     -0.126458945539E+03
     -0.139139139139E+01     -0.125463371506E+03
     -0.138738738739E+01     -0.124477010664E+03
     -0.138338338338E+01     -0.123499934667E+03
     -0.137937937938E+01     -0.122532175272E+03
     -0.137537537538E+01     -0.121573727546E+03
     -0.137137137137E+01     -0.120624552276E+03
     -0.136736736737E+01     -0.119684577783E+03
     -0.136336336336E+01     -0.118753701511E+03
     -0.135935935936E+01     -0.117831791745E+03
     -0.135535535536E+01     -0.116918689788E+03
     -0.135135135135E+01     -0.116014212797E+03
     -0.134734734735E+01     -0.115118157372E+03
     -0.134334334334E+01     -0.114230303842E+03
     -0.133933933934E+01     -0.113350421044E+03
     -0.133533533534E+01     -0.112478271315E+03
     -0.133133133133E+01     -0.111613615318E+03
     -0.132732732733E+01     -0.110756216369E+03
     -0.132332332332E+01     -0.109905844001E+03
     -0.131931931932E+01     -0.109062276657E+03
     -0.131531531532E+01     -0.108225303561E+03
     -0.131131131131E+01     -0.107394725952E+03
     -0.130730730731E+01     -0.106570357913E+03
     -0.130330330330E+01     -0.105752027062E+03
     -0.129929929930E+01     -0.104939575287E+03
     -0.129529529530E+01     -0.104132859611E+03
     -0.129129129129E+01     -0.103331753205E+03
     -0.128728728729E+01     -0.102536146439E+03
     -0.128328328328E+01     -0.101745947789E+03
     -0.127927927928E+01     -0.100961084380E+03
     -0.127527527528E+01     -0.100181501899E+03
     -0.127127127127E+01     -0.994071636725E+02
