             #Energy(eV)         XX(1/Omega/m/s)         YY(1/Omega/m/s)         ZZ(1/Omega/m/s)    Average(1/Omega/m/s)
     -0.200000000000E+01      0.101498249042E+22      0.101498249042E+22      0.101498249042E+22      0.101498249042E+22
     -0.199599599600E+01      0.101541562055E+22      0.101541562055E+22      0.101541562055E+22      0.101541562055E+22
     -0.199199199199E+01      0.101591945674E+22      0.101591945674E+22      0.101591945674E+22      0.101591945674E+22
     -0.198798798799E+01      0.101642197715E+22      0.101642197715E+22      0.101642197715E+22      0.101642197715E+22
     -0.198398398398E+01      0.101686276658E+22      0.101686276658E+22      0.101686276658E+22      0.101686276658E+22
     -0.197997997998E+01      0.101719344245E+22      0.101719344245E+22      0.101719344245E+22      0.101719344245E+22
     -0.197597597598E+01      0.101737688709E+22      0.101737688709E+22      0.101737688709E+22      0.101737688709E+22
     -0.197197197197E+01      0.101738576612E+22      0.101738576612E+22      0.101738576612E+22      0.101738576612E+22
     -0.196796796797E+01      0.101720077880E+22      0.101720077880E+22      0.101720077880E+22      0.101720077880E+22
     -0.196396396396E+01      0.101680898941E+22      0.101680898941E+22      0.101680898941E+22      0.101680898941E+22
     -0.195995995996E+01      0.101620245791E+22      0.101620245791E+22      0.101620245791E+22      0.101620245791E+22
     -0.195595595596E+01      0.101537724916E+22      0.101537724916E+22      0.101537724916E+22      0.101537724916E+22
     -0.195195195195E+01      0.101433278093E+22      0.101433278093E+22      0.101433278093E+22      0.101433278093E+22
     -0.194794794795E+01      0.101307139656E+22      0.101307139656E+22      0.101307139656E+22      0.101307139656E+22
     -0.194394394394E+01      0.101159803574E+22      0.101159803574E+22      0.101159803574E+22      0.101159803574E+22
     -0.193993993994E+01      0.100991992497E+22      0.100991992497E+22      0.100991992497E+22      0.100991992497E+22
     -0.193593593594E+01      0.100804629297E+22      0.100804629297E+22      0.100804629297E+22      0.100804629297E+22
     -0.193193193193E+01      0.100598819529E+22      0.100598819529E+22      0.100598819529E+22      0.100598819529E+22
     -0.192792792793E+01      0.100375856671E+22      0.100375856671E+22      0.100375856671E+22      0.100375856671E+22
     -0.192392392392E+01      0.100137258896E+22      0.100137258896E+22      0.100137258896E+22      0.100137258896E+22
     -0.191991991992E+01      0.998848372082E+21      0.998848372082E+21      0.998848372082E+21      0.998848372082E+21
     -0.191591591592E+01      0.996207831119E+21      0.996207831119E+21      0.996207831119E+21      0.996207831119E+21
     -0.191191191191E+01      0.993477535717E+21      0.993477535717E+21      0.993477535717E+21      0.993477535717E+21
     -0.190790790791E+01      0.990689252428E+21      0.990689252428E+21      0.990689252428E+21      0.990689252428E+21
     -0.190390390390E+01      0.987879905959E+21      0.987879905959E+21      0.987879905959E+21      0.987879905959E+21
     -0.189989989990E+01      0.985090755570E+21      0.985090755570E+21      0.985090755570E+21      0.985090755570E+21
     -0.189589589590E+01      0.982365703918E+21      0.982365703918E+21      0.982365703918E+21      0.982365703918E+21
     -0.189189189189E+01      0.979748807999E+21      0.979748807999E+21      0.979748807999E+21      0.979748807999E+21
     -0.188788788789E+01      0.977281222595E+21      0.977281222595E+21      0.977281222595E+21      0.977281222595E+21
     -0.188388388388E+01      0.974997949041E+21      0.974997949041E+21      0.974997949041E+21      0.974997949041E+21
     -0.187987987988E+01      0.972924854794E+21      0.972924854794E+21      0.972924854794E+21      0.972924854794E+21
     -0.187587587588E+01      0.971076439949E+21      0.971076439949E+21      0.971076439949E+21      0.971076439949E+21
     -0.187187187187E+01      0.969454732386E+21      0.969454732386E+21      0.969454732386E+21      0.969454732386E+21
     -0.186786786787E+01      0.968049494976E+21      0.968049494976E+21      0.968049494976E+21      0.968049494976E+21
     -0.186386386386E+01      0.966839662115E+21      0.966839662115E+21      0.966839662115E+21      0.966839662115E+21
     -0.185985985986E+01      0.965795657794E+21      0.965795657794E+21      0.965795657794E+21      0.965795657794E+21
     -0.185585585586E+01      0.964882066863E+21      0.964882066863E+21      0.964882066863E+21      0.964882066863E+21
     -0.185185185185E+01      0.964060102425E+21      0.964060102425E+21      0.964060102425E+21      0.964060102425E+21
     -0.184784784785E+01      0.963289457252E+21      0.963289457252E+21      0.963289457252E+21      0.963289457252E+21
     -0.184384384384E+01      0.962529407150E+21      0.962529407150E+21      0.962529407150E+21      0.962529407150E+21
     -0.183983983984E+01      0.961739358533E+21      0.961739358533E+21      0.961739358532E+21      0.961739358533E+21
     -0.183583583584E+01      0.960879287937E+21      0.960879287937E+21      0.960879287937E+21      0.960879287937E+21
     -0.183183183183E+01      0.959910612500E+21      0.959910612500E+21      0.959910612500E+21      0.959910612500E+21
     -0.182782782783E+01      0.958797914253E+21      0.958797914253E+21      0.958797914253E+21      0.958797914253E+21
     -0.182382382382E+01      0.957511643040E+21      0.957511643040E+21      0.957511643040E+21      0.957511643040E+21
     -0.181981981982E+01      0.956031529340E+21      0.956031529340E+21      0.956031529340E+21      0.956031529340E+21
     -0.181581581582E+01      0.954350069558E+21      0.954350069558E+21      0.954350069558E+21      0.954350069558E+21
     -0.181181181181E+01      0.952475219442E+21      0.952475219442E+21      0.952475219442E+21      0.952475219442E+21
     -0.180780780781E+01      0.950431425799E+21      0.950431425799E+21      0.950431425799E+21      0.950431425799E+21
     -0.180380380380E+01      0.948258363176E+21      0.948258363176E+21      0.948258363176E+21      0.948258363176E+21
     -0.179979979980E+01      0.946007176752E+21      0.946007176752E+21      0.946007176752E+21      0.946007176752E+21
     -0.179579579580E+01      0.943734568089E+21      0.943734568089E+21      0.943734568089E+21      0.943734568089E+21
     -0.179179179179E+01      0.941495568945E+21      0.941495568945E+21      0.941495568945E+21      0.941495568945E+21
     -0.178778778779E+01      0.939336202968E+21      0.939336202968E+21      0.939336202968E+21      0.939336202968E+21
     -0.178378378378E+01      0.937287340498E+21      0.937287340498E+21      0.937287340498E+21      0.937287340498E+21
     -0.177977977978E+01      0.935360870301E+21      0.935360870301E+21      0.935360870301E+21      0.935360870301E+21
     -0.177577577578E+01      0.933548875710E+21      0.933548875710E+21      0.933548875710E+21      0.933548875710E+21
     -0.177177177177E+01      0.931825907523E+21      0.931825907523E+21      0.931825907523E+21      0.931825907523E+21
     -0.176776776777E+01      0.930153829426E+21      0.930153829426E+21      0.930153829426E+21      0.930153829426E+21
     -0.176376376376E+01      0.928488217809E+21      0.928488217809E+21      0.928488217809E+21      0.928488217809E+21
     -0.175975975976E+01      0.926785040193E+21      0.926785040193E+21      0.926785040193E+21      0.926785040193E+21
     -0.175575575576E+01      0.925006368897E+21      0.925006368897E+21      0.925006368897E+21      0.925006368897E+21
     -0.175175175175E+01      0.923124189311E+21      0.923124189311E+21      0.923124189311E+21      0.923124189311E+21
     -0.174774774775E+01      0.921121849400E+21      0.921121849400E+21      0.921121849400E+21      0.921121849400E+21
     -0.174374374374E+01      0.918993241573E+21      0.918993241573E+21      0.918993241573E+21      0.918993241573E+21
     -0.173973973974E+01      0.916740277599E+21      0.916740277599E+21      0.916740277599E+21      0.916740277599E+21
     -0.173573573574E+01      0.914369509854E+21      0.914369509854E+21      0.914369509854E+21      0.914369509854E+21
     -0.173173173173E+01      0.911888819851E+21      0.911888819851E+21      0.911888819850E+21      0.911888819851E+21
     -0.172772772773E+01      0.909304949876E+21      0.909304949876E+21      0.909304949876E+21      0.909304949876E+21
     -0.172372372372E+01      0.906622355933E+21      0.906622355933E+21      0.906622355933E+21      0.906622355933E+21
     -0.171971971972E+01      0.903843496249E+21      0.903843496249E+21      0.903843496249E+21      0.903843496249E+21
     -0.171571571572E+01      0.900970326907E+21      0.900970326907E+21      0.900970326907E+21      0.900970326907E+21
     -0.171171171171E+01      0.898006524413E+21      0.898006524413E+21      0.898006524413E+21      0.898006524413E+21
     -0.170770770771E+01      0.894959835348E+21      0.894959835348E+21      0.894959835348E+21      0.894959835348E+21
     -0.170370370370E+01      0.891843974342E+21      0.891843974342E+21      0.891843974342E+21      0.891843974342E+21
     -0.169969969970E+01      0.888679631404E+21      0.888679631404E+21      0.888679631404E+21      0.888679631404E+21
     -0.169569569570E+01      0.885494362208E+21      0.885494362208E+21      0.885494362208E+21      0.885494362208E+21
