             #Energy(eV)             XX(W/K/m/s)             YY(W/K/m/s)             ZZ(W/K/m/s)        Average(W/K/m/s)
     -0.200000000000E+01      0.755329070425E+16      0.755329070425E+16      0.755329070425E+16      0.755329070425E+16
     -0.199599599600E+01      0.752333958775E+16      0.752333958775E+16      0.752333958775E+16      0.752333958775E+16
     -0.199199199199E+01      0.749335379557E+16      0.749335379557E+16      0.749335379557E+16      0.749335379557E+16
     -0.198798798799E+01      0.746414663839E+16      0.746414663839E+16      0.746414663839E+16      0.746414663839E+16
     -0.198398398398E+01      0.743631653739E+16      0.743631653739E+16      0.743631653739E+16      0.743631653739E+16
     -0.197997997998E+01      0.741025941656E+16      0.741025941656E+16      0.741025941656E+16      0.741025941656E+16
     -0.197597597598E+01      0.738619913406E+16      0.738619913406E+16      0.738619913406E+16      0.738619913406E+16
     -0.197197197197E+01      0.736422662442E+16      0.736422662442E+16      0.736422662442E+16      0.736422662442E+16
     -0.196796796797E+01      0.734433976737E+16      0.734433976737E+16      0.734433976737E+16      0.734433976737E+16
     -0.196396396396E+01      0.732647822951E+16      0.732647822951E+16      0.732647822951E+16      0.732647822951E+16
     -0.195995995996E+01      0.731055011138E+16      0.731055011138E+16      0.731055011139E+16      0.731055011138E+16
     -0.195595595596E+01      0.729644975482E+16      0.729644975482E+16      0.729644975482E+16      0.729644975482E+16
     -0.195195195195E+01      0.728406812753E+16      0.728406812753E+16      0.728406812753E+16      0.728406812753E+16
     -0.194794794795E+01      0.727329841084E+16      0.727329841084E+16      0.727329841084E+16      0.727329841084E+16
     -0.194394394394E+01      0.726403950077E+16      0.726403950077E+16      0.726403950077E+16      0.726403950077E+16
     -0.193993993994E+01      0.725619912563E+16      0.725619912563E+16      0.725619912563E+16      0.725619912563E+16
     -0.193593593594E+01      0.724969662006E+16      0.724969662006E+16      0.724969662006E+16      0.724969662006E+16
     -0.193193193193E+01      0.724446380475E+16      0.724446380475E+16      0.724446380475E+16      0.724446380475E+16
     -0.192792792793E+01      0.724044163008E+16      0.724044163008E+16      0.724044163008E+16      0.724044163008E+16
     -0.192392392392E+01      0.723757064986E+16      0.723757064986E+16      0.723757064986E+16      0.723757064986E+16
     -0.191991991992E+01      0.723577490376E+16      0.723577490376E+16      0.723577490376E+16      0.723577490376E+16
     -0.191591591592E+01      0.723494088036E+16      0.723494088036E+16      0.723494088036E+16      0.723494088036E+16
     -0.191191191191E+01      0.723489520704E+16      0.723489520704E+16      0.723489520704E+16      0.723489520704E+16
     -0.190790790791E+01      0.723538596556E+16      0.723538596556E+16      0.723538596556E+16      0.723538596556E+16
     -0.190390390390E+01      0.723607273099E+16      0.723607273099E+16      0.723607273099E+16      0.723607273099E+16
     -0.189989989990E+01      0.723652952825E+16      0.723652952825E+16      0.723652952825E+16      0.723652952825E+16
     -0.189589589590E+01      0.723626304669E+16      0.723626304669E+16      0.723626304669E+16      0.723626304669E+16
     -0.189189189189E+01      0.723474590001E+16      0.723474590001E+16      0.723474590001E+16      0.723474590001E+16
     -0.188788788789E+01      0.723146179544E+16      0.723146179544E+16      0.723146179544E+16      0.723146179544E+16
     -0.188388388388E+01      0.722595663760E+16      0.722595663760E+16      0.722595663760E+16      0.722595663760E+16
     -0.187987987988E+01      0.721788746937E+16      0.721788746937E+16      0.721788746937E+16      0.721788746937E+16
