             #Energy(eV)           XX(uW/cm/K^2)           YY(uW/cm/K^2)           ZZ(uW/cm/K^2)      Average(uW/cm/K^2)
     -0.200000000000E+01      0.586106954905E-01      0.586106954905E-01      0.586106954905E-01      0.586106954905E-01
     -0.199599599600E+01      0.354793575379E-01      0.354793575379E-01      0.354793575379E-01      0.354793575379E-01
     -0.199199199199E+01      0.251407429260E-01      0.251407429260E-01      0.251407429260E-01      0.251407429260E-01
     -0.198798798799E+01      0.228386397966E-01      0.228386397966E-01      0.228386397966E-01      0.228386397966E-01
     -0.198398398398E+01      0.268330058840E-01      0.268330058840E-01      0.268330058840E-01      0.268330058840E-01
     -0.197997997998E+01      0.376351218126E-01      0.376351218126E-01      0.376351218126E-01      0.376351218126E-01
     -0.197597597598E+01      0.571116555730E-01      0.571116555730E-01      0.571116555730E-01      0.571116555730E-01
     -0.197197197197E+01      0.876845729360E-01      0.876845729360E-01      0.876845729360E-01      0.876845729360E-01
     -0.196796796797E+01      0.131724403448E+00      0.131724403448E+00      0.131724403448E+00      0.131724403448E+00
     -0.196396396396E+01      0.191141733925E+00      0.191141733925E+00      0.191141733925E+00      0.191141733925E+00
     -0.195995995996E+01      0.267136826227E+00      0.267136826227E+00      0.267136826227E+00      0.267136826227E+00
     -0.195595595596E+01      0.360060514463E+00      0.360060514463E+00      0.360060514463E+00      0.360060514463E+00
     -0.195195195195E+01      0.469352776557E+00      0.469352776557E+00      0.469352776557E+00      0.469352776557E+00
     -0.194794794795E+01      0.593540721776E+00      0.593540721776E+00      0.593540721776E+00      0.593540721776E+00
     -0.194394394394E+01      0.730284048071E+00      0.730284048071E+00      0.730284048071E+00      0.730284048071E+00
     -0.193993993994E+01      0.876452020946E+00      0.876452020946E+00      0.876452020946E+00      0.876452020946E+00
     -0.193593593594E+01      0.102820916878E+01      0.102820916878E+01      0.102820916878E+01      0.102820916878E+01
     -0.193193193193E+01      0.118108792750E+01      0.118108792750E+01      0.118108792750E+01      0.118108792750E+01
     -0.192792792793E+01      0.133004211612E+01      0.133004211612E+01      0.133004211613E+01      0.133004211612E+01
     -0.192392392392E+01      0.146950301531E+01      0.146950301531E+01      0.146950301531E+01      0.146950301531E+01
     -0.191991991992E+01      0.159348865319E+01      0.159348865319E+01      0.159348865319E+01      0.159348865319E+01
     -0.191591591592E+01      0.169583143918E+01      0.169583143918E+01      0.169583143918E+01      0.169583143918E+01
     -0.191191191191E+01      0.177057721764E+01      0.177057721764E+01      0.177057721764E+01      0.177057721764E+01
     -0.190790790791E+01      0.181256639989E+01      0.181256639989E+01      0.181256639989E+01      0.181256639989E+01
     -0.190390390390E+01      0.181814264923E+01      0.181814264923E+01      0.181814264923E+01      0.181814264923E+01
     -0.189989989990E+01      0.178586495992E+01      0.178586495992E+01      0.178586495992E+01      0.178586495992E+01
     -0.189589589590E+01      0.171705000509E+01      0.171705000509E+01      0.171705000509E+01      0.171705000509E+01
     -0.189189189189E+01      0.161596795982E+01      0.161596795982E+01      0.161596795982E+01      0.161596795982E+01
     -0.188788788789E+01      0.148957102188E+01      0.148957102188E+01      0.148957102188E+01      0.148957102188E+01
     -0.188388388388E+01      0.134674416031E+01      0.134674416031E+01      0.134674416031E+01      0.134674416031E+01
     -0.187987987988E+01      0.119720264302E+01      0.119720264302E+01      0.119720264302E+01      0.119720264302E+01
     -0.187587587588E+01      0.105027304859E+01      0.105027304859E+01      0.105027304859E+01      0.105027304859E+01
     -0.187187187187E+01      0.913836649620E+00      0.913836649620E+00      0.913836649620E+00      0.913836649620E+00
     -0.186786786787E+01      0.793663770737E+00      0.793663770737E+00      0.793663770737E+00      0.793663770737E+00
     -0.186386386386E+01      0.693242631219E+00      0.693242631219E+00      0.693242631219E+00      0.693242631219E+00
     -0.185985985986E+01      0.614058166617E+00      0.614058166617E+00      0.614058166617E+00      0.614058166617E+00
     -0.185585585586E+01      0.556164524313E+00      0.556164524313E+00      0.556164524313E+00      0.556164524313E+00
     -0.185185185185E+01      0.518854251740E+00      0.518854251740E+00      0.518854251740E+00      0.518854251740E+00
     -0.184784784785E+01      0.501253392479E+00      0.501253392479E+00      0.501253392479E+00      0.501253392479E+00
     -0.184384384384E+01      0.502731567944E+00      0.502731567944E+00      0.502731567944E+00      0.502731567944E+00
     -0.183983983984E+01      0.523072875078E+00      0.523072875078E+00      0.523072875078E+00      0.523072875078E+00
     -0.183583583584E+01      0.562388868027E+00      0.562388868027E+00      0.562388868027E+00      0.562388868027E+00
     -0.183183183183E+01      0.620776094951E+00      0.620776094951E+00      0.620776094951E+00      0.620776094951E+00
