             #Energy(eV)                XX(uV/K)                YY(uV/K)                ZZ(uV/K)           Average(uV/K)
     -0.200000000000E+01      0.759904755441E+00      0.759904755441E+00      0.759904755441E+00      0.759904755441E+00
     -0.199599599600E+01      0.591106797338E+00      0.591106797338E+00      0.591106797338E+00      0.591106797338E+00
     -0.199199199199E+01      0.497461430794E+00      0.497461430794E+00      0.497461430794E+00      0.497461430794E+00
     -0.198798798799E+01      0.474021558784E+00      0.474021558784E+00      0.474021558784E+00      0.474021558784E+00
     -0.198398398398E+01      0.513692813675E+00      0.513692813675E+00      0.513692813675E+00      0.513692813675E+00
     -0.197997997998E+01      0.608267884619E+00      0.608267884619E+00      0.608267884619E+00      0.608267884619E+00
     -0.197597597598E+01      0.749240838794E+00      0.749240838794E+00      0.749240838794E+00      0.749240838794E+00
     -0.197197197197E+01      0.928365017149E+00      0.928365017149E+00      0.928365017149E+00      0.928365017149E+00
     -0.196796796797E+01      0.113796728851E+01      0.113796728851E+01      0.113796728851E+01      0.113796728851E+01
     -0.196396396396E+01      0.137106508731E+01      0.137106508731E+01      0.137106508731E+01      0.137106508731E+01
     -0.195995995996E+01      0.162134994239E+01      0.162134994239E+01      0.162134994239E+01      0.162134994239E+01
     -0.195595595596E+01      0.188310282424E+01      0.188310282424E+01      0.188310282424E+01      0.188310282424E+01
     -0.195195195195E+01      0.215109437753E+01      0.215109437753E+01      0.215109437753E+01      0.215109437753E+01
     -0.194794794795E+01      0.242050081661E+01      0.242050081661E+01      0.242050081661E+01      0.242050081661E+01
     -0.194394394394E+01      0.268684070065E+01      0.268684070065E+01      0.268684070065E+01      0.268684070065E+01
     -0.193993993994E+01      0.294591765444E+01      0.294591765444E+01      0.294591765444E+01      0.294591765444E+01
     -0.193593593594E+01      0.319374691294E+01      0.319374691294E+01      0.319374691294E+01      0.319374691294E+01
     -0.193193193193E+01      0.342645216260E+01      0.342645216260E+01      0.342645216260E+01      0.342645216260E+01
     -0.192792792793E+01      0.364013980915E+01      0.364013980915E+01      0.364013980915E+01      0.364013980915E+01
     -0.192392392392E+01      0.383078158662E+01      0.383078158662E+01      0.383078158662E+01      0.383078158662E+01
     -0.191991991992E+01      0.399415307043E+01      0.399415307043E+01      0.399415307043E+01      0.399415307043E+01
