 #energy    xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  0.0000  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.0531  0.48085222E+01  0.48085222E+01  0.48085222E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.1063  0.19247887E+02  0.19247887E+02  0.19247887E+02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.1594  0.43535468E+02  0.43535468E+02  0.43535468E+02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.2125  0.77571769E+02  0.77571769E+02  0.77571769E+02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.2656  0.12218320E+03  0.12218320E+03  0.12218320E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.3188  0.17738233E+03  0.17738233E+03  0.17738233E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.3719  0.24327076E+03  0.24327076E+03  0.24327076E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.4250  0.32076926E+03  0.32076926E+03  0.32076926E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.4781  0.41107743E+03  0.41107743E+03  0.41107743E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.5313  0.51410715E+03  0.51410715E+03  0.51410715E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.5844  0.63194239E+03  0.63194239E+03  0.63194239E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.6375  0.76656074E+03  0.76656074E+03  0.76656074E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.6906  0.91795169E+03  0.91795169E+03  0.91795169E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.7438  0.10894348E+04  0.10894348E+04  0.10894348E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.7969  0.12857835E+04  0.12857835E+04  0.12857835E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.8500  0.15090473E+04  0.15090473E+04  0.15090473E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.9031  0.17681939E+04  0.17681939E+04  0.17681939E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.9563  0.20708678E+04  0.20708678E+04  0.20708678E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.0094  0.24311893E+04  0.24311893E+04  0.24311893E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.0625  0.28708010E+04  0.28708010E+04  0.28708010E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.1156  0.34293589E+04  0.34293589E+04  0.34293589E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.1688  0.41718534E+04  0.41718534E+04  0.41718534E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.2219  0.52282186E+04  0.52282186E+04  0.52282186E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.2750  0.68602927E+04  0.68602927E+04  0.68602927E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.3281  0.95854741E+04  0.95854741E+04  0.95854741E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.3813  0.14123343E+05  0.14123343E+05  0.14123343E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.4344  0.19957712E+05  0.19957712E+05  0.19957712E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.4875  0.23316773E+05  0.23316773E+05  0.23316773E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.5406  0.21199513E+05  0.21199513E+05  0.21199513E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.5938  0.17005961E+05  0.17005961E+05  0.17005961E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.6469  0.14235141E+05  0.14235141E+05  0.14235141E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.7000  0.13260098E+05  0.13260098E+05  0.13260098E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.7531  0.13568175E+05  0.13568175E+05  0.13568175E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
