#Thickness(um)           XX(%)           YY(%)           ZZ(%)      Average(%)
     0.00000          0.0000          0.0000          0.0000          0.0000
     0.01000          3.8791          3.8791          3.8791          3.8791
     0.02000          6.6389          6.6389          6.6389          6.6389
     0.03000          8.7769          8.7769          8.7769          8.7769
     0.04000         10.5305         10.5305         10.5305         10.5305
     0.05000         12.0223         12.0223         12.0223         12.0223
     0.06000         13.3212         13.3212         13.3212         13.3212
     0.07000         14.4698         14.4698         14.4698         14.4698
     0.08000         15.4967         15.4967         15.4967         15.4967
     0.09000         16.4222         16.4222         16.4222         16.4222
     0.10000         17.2617         17.2617         17.2617         17.2617
     0.11000         18.0275         18.0275         18.0275         18.0275
     0.12000         18.7292         18.7292         18.7292         18.7292
     0.13000         19.3748         19.3748         19.3748         19.3748
     0.14000         19.9709         19.9709         19.9709         19.9709
     0.15000         20.5233         20.5233         20.5233         20.5233
     0.16000         21.0365         21.0365         21.0365         21.0365
     0.17000         21.5148         21.5148         21.5148         21.5148
     0.18000         21.9616         21.9616         21.9616         21.9616
     0.19000         22.3799         22.3799         22.3799         22.3799
     0.20000         22.7725         22.7725         22.7725         22.7725
     0.21000         23.1415         23.1415         23.1415         23.1415
     0.22000         23.4891         23.4891         23.4891         23.4891
     0.23000         23.8171         23.8171         23.8171         23.8171
     0.24000         24.1270         24.1270         24.1270         24.1270
     0.25000         24.4203         24.4203         24.4203         24.4203
     0.26000         24.6982         24.6982         24.6982         24.6982
     0.27000         24.9619         24.9619         24.9619         24.9619
     0.28000         25.2124         25.2124         25.2124         25.2124
     0.29000         25.4506         25.4506         25.4506         25.4506
     0.30000         25.6774         25.6774         25.6774         25.6774
     0.31000         25.8935         25.8935         25.8935         25.8935
     0.32000         26.0996         26.0996         26.0996         26.0996
     0.33000         26.2963         26.2963         26.2963         26.2963
     0.34000         26.4842         26.4842         26.4842         26.4842
     0.35000         26.6639         26.6639         26.6639         26.6639
     0.36000         26.8357         26.8357         26.8357         26.8357
     0.37000         27.0003         27.0003         27.0003         27.0003
     0.38000         27.1579         27.1579         27.1579         27.1579
     0.39000         27.3090         27.3090         27.3090         27.3090
     0.40000         27.4538         27.4538         27.4538         27.4538
     0.41000         27.5928         27.5928         27.5928         27.5928
     0.42000         27.7262         27.7262         27.7262         27.7262
     0.43000         27.8544         27.8544         27.8544         27.8544
     0.44000         27.9775         27.9775         27.9775         27.9775
     0.45000         28.0958         28.0958         28.0958         28.0958
     0.46000         28.2096         28.2096         28.2096         28.2096
     0.47000         28.3190         28.3190         28.3190         28.3190
     0.48000         28.4243         28.4243         28.4243         28.4243
     0.49000         28.5257         28.5257         28.5257         28.5257
     0.50000         28.6233         28.6233         28.6233         28.6233
     0.51000         28.7173         28.7173         28.7173         28.7173
     0.52000         28.8078         28.8078         28.8078         28.8078
     0.53000         28.8951         28.8951         28.8951         28.8951
     0.54000         28.9792         28.9792         28.9792         28.9792
     0.55000         29.0603         29.0603         29.0603         29.0603
     0.56000         29.1384         29.1384         29.1384         29.1384
