     #Energy  up_1&5_all  dw_1&5_all    up_3_all    dw_3_all
   -10.54087     0.00000     0.00000     0.00000     0.00000
   -10.42787         NaN     0.00000         NaN     0.00000
   -10.31487     0.00000     0.00000     0.00000     0.00000
   -10.20187     0.00000     0.00000     0.00000     0.00000
   -10.08887     0.00000     0.00000     0.00000     0.00000
    -9.97587     0.00000     0.00000     0.00000     0.00000
    -9.86387     0.00000     0.00000     0.00000     0.00000
    -9.75087     0.00000     0.00000     0.00000     0.00000
    -9.63787     0.00000     0.00000     0.00000     0.00000
    -9.52487     0.00000     0.00000     0.00000     0.00000
    -9.41187     0.00000     0.00000     0.00000     0.00000
    -9.29887     0.00000     0.00000     0.00000     0.00000
    -9.18587     0.00000     0.00000     0.00000     0.00000
    -9.07287     0.00000     0.00000     0.00000     0.00000
    -8.95987     0.00000     0.00000     0.00000     0.00000
    -8.84787     0.00000     0.00000     0.00000     0.00000
    -8.73487     0.00000     0.00000     0.00000     0.00000
    -8.62187     0.00000     0.00000     0.00000     0.00000
    -8.50887     0.00000    -0.00182     0.00000    -0.00403
    -8.39587     0.00581    -0.00823     0.01279    -0.01825
    -8.28287     0.01231    -0.01465     0.02708    -0.03249
    -8.16987     0.01780    -0.01687     0.03920    -0.03747
    -8.05687     0.01579    -0.01486     0.03481    -0.03305
    -7.94387     0.01378    -0.01285     0.03042    -0.02861
    -7.83187     0.01296    -0.01305     0.02863    -0.02911
    -7.71887     0.01382    -0.01388     0.03055    -0.03098
    -7.60587     0.01468    -0.01471     0.03247    -0.03285
    -7.49287     0.01554    -0.01555     0.03439    -0.03473
    -7.37987     0.01641    -0.01638     0.03630    -0.03660
    -7.26687     0.02560    -0.03078     0.03862    -0.03853
    -7.15387     0.04425    -0.04890     0.03989    -0.03955
    -7.04087     0.06288    -0.06366     0.04119    -0.04027
    -6.92887     0.06139    -0.05866     0.04221    -0.04102
    -6.81587     0.05632    -0.05342     0.04267    -0.04125
    -6.70287     0.05378    -0.05272     0.04348    -0.04212
    -6.58987     0.05682    -0.05554     0.04508    -0.04347
    -6.47687     0.05986    -0.05837     0.04670    -0.04483
    -6.36387     0.06289    -0.06120     0.04833    -0.04621
    -6.25087     0.06592    -0.06401     0.04997    -0.04760
    -6.13787     0.06670    -0.06380     0.05256    -0.04956
    -6.02487     0.06700    -0.06317     0.05570    -0.05175
    -5.91287     0.06886    -0.06399     0.06043    -0.05443
    -5.79987     0.07137    -0.06565     0.06520    -0.05693
    -5.68687     0.07373    -0.06729     0.06941    -0.05934
    -5.57387     0.09429    -0.08572     0.08531    -0.07193
    -5.46087     0.12653    -0.11541     0.10908    -0.09147
    -5.34787     0.14493    -0.13567     0.12409    -0.10543
    -5.23487     0.14319    -0.13094     0.12651    -0.10407
    -5.12187     0.15291    -0.12770     0.14528    -0.10417
    -5.00887     0.16861    -0.13896     0.16676    -0.11940
    -4.89687     0.17890    -0.14880     0.18520    -0.13171
    -4.78387     0.21538    -0.15606     0.28885    -0.14218
    -4.67087     0.27002    -0.16418     0.36749    -0.15360
    -4.55787     0.26272    -0.19650     0.32417    -0.23633
    -4.44487     0.30093    -0.20139     0.33882    -0.23648
    -4.33187     0.60030    -0.23358     0.58659    -0.26480
    -4.21887     0.49081    -0.27739     0.42055    -0.28020
    -4.10587     0.46112    -0.33889     0.44755    -0.30197
    -3.99287     0.43844    -0.64338     0.32606    -0.86879
    -3.88087     1.35160    -0.41321     1.12658    -0.39906
    -3.76787     0.93821    -0.37127     0.92449    -0.39650
    -3.65487     0.73832    -0.25502     0.88589    -0.18010
    -3.54187     1.51155    -0.30714     1.08755    -0.20554
    -3.42887     1.10695    -1.29849     0.60860    -0.83314
    -3.31587     1.15152    -0.75043     0.59083    -0.75887
    -3.20287     1.00159    -0.81324     0.42641    -0.92140
    -3.08987     1.48805    -0.74365     0.79342    -0.65162
    -2.97687     1.25280    -1.29599     0.83924    -0.78139
    -2.86487     2.07607    -0.59805     1.19789    -0.44406
    -2.75187     2.32464    -1.04373     1.71827    -0.61221
    -2.63887     2.41512    -0.99379     1.19388    -0.42552
    -2.52587     1.28525    -1.02244     1.15983    -0.45487
    -2.41287     1.71927    -1.44937     1.15756    -0.99157
    -2.29987     3.18532    -2.12117     2.25505    -1.27581
    -2.18687     3.35287    -1.81135     2.00073    -1.16479
    -2.07387     2.53816    -1.37412     0.82876    -1.06072
    -1.96087     3.44888    -1.25173     1.01192    -1.27450
    -1.84887     3.86847    -1.05223     0.85860    -0.89317
    -1.73587     3.46448    -1.44284     1.01882    -1.41506
    -1.62287     3.13921    -3.52294     1.19331    -2.11465
    -1.50987     2.91692    -3.94708     0.91342    -2.07749
    -1.39687     2.66901    -2.26503     1.06455    -0.87728
    -1.28387     3.91044    -2.56435     2.02796    -0.86913
