# Theta        Phi             MAE(ueV)
   0.00        0.00            0.000
   0.00       30.00            0.000
   0.00       60.00            0.000
   0.00       90.00            0.000
   0.00      120.00            0.000
   0.00      150.00            0.000
   0.00      180.00            0.000
   0.00      210.00            0.000
   0.00      240.00            0.000
   0.00      270.00            0.000
   0.00      300.00            0.000
   0.00      330.00            0.000
   0.00      360.00            0.000
  16.36        0.00          115.890
  16.36       30.00          116.000
  16.36       60.00          116.060
  16.36       90.00          116.000
  16.36      120.00          115.890
  16.36      150.00          115.830
  16.36      180.00          115.770
  16.36      210.00          115.690
  16.36      240.00          115.640
  16.36      270.00          116.000
  16.36      300.00          115.770
  16.36      330.00          115.830
  16.36      360.00          115.890
  32.73        0.00          424.980
  32.73       30.00          425.320
  32.73       60.00          425.580
  32.73       90.00          425.320
  32.73      120.00          424.970
  32.73      150.00          424.990
  32.73      180.00          425.060
  32.73      210.00          424.800
  32.73      240.00          424.580
  32.73      270.00          425.320
  32.73      300.00          425.040
  32.73      330.00          425.000
  32.73      360.00          424.980
  49.09        0.00          826.310
  49.09       30.00          826.880
  49.09       60.00          827.400
  49.09       90.00          826.890
  49.09      120.00          826.290
  49.09      150.00          826.460
  49.09      180.00          826.790
  49.09      210.00          826.340
  49.09      240.00          825.920
  49.09      270.00          826.890
  49.09      300.00          826.760
  49.09      330.00          826.490
  49.09      360.00          826.310
  65.45        0.00         1191.790
  65.45       30.00         1192.370
  65.45       60.00         1192.970
  65.45       90.00         1192.370
  65.45      120.00         1191.760
  65.45      150.00         1191.950
  65.45      180.00         1192.430
  65.45      210.00         1191.960
  65.45      240.00         1191.560
  65.45      270.00         1192.370
  65.45      300.00         1192.390
  65.45      330.00         1191.980
  65.45      360.00         1191.790
  81.82        0.00         1407.670
  81.82       30.00         1407.920
  81.82       60.00         1408.290
  81.82       90.00         1407.890
  81.82      120.00         1407.630
  81.82      150.00         1407.610
  81.82      180.00         1407.970
  81.82      210.00         1407.770
  81.82      240.00         1407.710
  81.82      270.00         1407.890
  81.82      300.00         1407.920
  81.82      330.00         1407.630
  81.82      360.00         1407.670
  98.18        0.00         1407.970
  98.18       30.00         1407.770
  98.18       60.00         1407.710
  98.18       90.00         1407.710
  98.18      120.00         1407.920
  98.18      150.00         1407.630
  98.18      180.00         1407.670
  98.18      210.00         1407.920
  98.18      240.00         1408.290
  98.18      270.00         1407.710
  98.18      300.00         1407.630
  98.18      330.00         1407.610
  98.18      360.00         1407.970
 114.55        0.00         1192.430
 114.55       30.00         1191.960
 114.55       60.00         1191.560
 114.55       90.00         1191.880
 114.55      120.00         1192.390
 114.55      150.00         1191.980
 114.55      180.00         1191.790
 114.55      210.00         1192.370
 114.55      240.00         1192.970
 114.55      270.00         1191.880
 114.55      300.00         1191.760
 114.55      330.00         1191.950
 114.55      360.00         1192.430
 130.91        0.00          826.790
 130.91       30.00          826.340
 130.91       60.00          825.920
 130.91       90.00          826.280
 130.91      120.00          826.760
 130.91      150.00          826.490
 130.91      180.00          826.310
 130.91      210.00          826.880
 130.91      240.00          827.400
 130.91      270.00          826.280
 130.91      300.00          826.290
 130.91      330.00          826.460
 130.91      360.00          826.790
 147.27        0.00          425.060
 147.27       30.00          424.800
 147.27       60.00          424.580
 147.27       90.00          424.770
 147.27      120.00          425.040
 147.27      150.00          425.000
 147.27      180.00          424.980
 147.27      210.00          425.320
 147.27      240.00          425.580
 147.27      270.00          424.770
 147.27      300.00          424.970
 147.27      330.00          424.990
 147.27      360.00          425.060
 163.64        0.00          115.770
 163.64       30.00          115.690
 163.64       60.00          115.640
 163.64       90.00          115.680
 163.64      120.00          115.770
 163.64      150.00          115.830
 163.64      180.00          115.890
 163.64      210.00          116.000
 163.64      240.00          116.060
 163.64      270.00          115.680
 163.64      300.00          115.890
 163.64      330.00          115.830
 163.64      360.00          115.770
 180.00        0.00            0.000
 180.00       30.00            0.000
 180.00       60.00            0.000
 180.00       90.00            0.000
 180.00      120.00            0.000
 180.00      150.00            0.000
 180.00      180.00            0.000
 180.00      210.00            0.000
 180.00      240.00            0.000
 180.00      270.00            0.000
 180.00      300.00            0.000
 180.00      330.00            0.000
 180.00      360.00            0.000
