# Theta        Phi             MAE(ueV)
   0.00        0.00            0.000
   0.00       30.00            0.000
   0.00       60.00            0.000
   0.00       90.00            0.000
   0.00      120.00            0.000
   0.00      150.00            0.000
   0.00      180.00            0.000
   0.00      210.00            0.000
   0.00      240.00            0.000
   0.00      270.00            0.000
   0.00      300.00            0.000
   0.00      330.00            0.000
   0.00      360.00            0.000
  20.00        0.00           24.440
  20.00       30.00           22.990
  20.00       60.00           22.990
  20.00       90.00           24.440
  20.00      120.00           22.990
  20.00      150.00           22.990
  20.00      180.00           24.440
  20.00      210.00           22.990
  20.00      240.00           22.990
  20.00      270.00           24.440
  20.00      300.00           22.990
  20.00      330.00           22.990
  20.00      360.00           24.440
  40.00        0.00           67.140
  40.00       30.00           60.850
  40.00       60.00           60.850
  40.00       90.00           67.140
  40.00      120.00           60.850
  40.00      150.00           60.850
  40.00      180.00           67.140
  40.00      210.00           60.850
  40.00      240.00           60.850
  40.00      270.00           67.140
  40.00      300.00           60.850
  40.00      330.00           60.850
  40.00      360.00           67.140
  60.00        0.00           48.830
  60.00       30.00           60.430
  60.00       60.00           60.430
  60.00       90.00           48.830
  60.00      120.00           60.430
  60.00      150.00           60.430
  60.00      180.00           48.840
  60.00      210.00           60.430
  60.00      240.00           60.430
  60.00      270.00           48.830
  60.00      300.00           60.430
  60.00      330.00           60.430
  60.00      360.00           48.830
  80.00        0.00            6.470
  80.00       30.00           49.620
  80.00       60.00           49.620
  80.00       90.00            6.470
  80.00      120.00           49.620
  80.00      150.00           49.620
  80.00      180.00            6.470
  80.00      210.00           49.620
  80.00      240.00           49.620
  80.00      270.00            6.470
  80.00      300.00           49.620
  80.00      330.00           49.620
  80.00      360.00            6.470
 100.00        0.00            6.470
 100.00       30.00           49.620
 100.00       60.00           49.620
 100.00       90.00            6.470
 100.00      120.00           49.620
 100.00      150.00           49.620
 100.00      180.00            6.470
 100.00      210.00           49.620
 100.00      240.00           49.620
 100.00      270.00            6.470
 100.00      300.00           49.620
 100.00      330.00           49.620
 100.00      360.00            6.470
 120.00        0.00           48.830
 120.00       30.00           60.430
 120.00       60.00           60.430
 120.00       90.00           48.830
 120.00      120.00           60.430
 120.00      150.00           60.430
 120.00      180.00           48.830
 120.00      210.00           60.430
 120.00      240.00           60.430
 120.00      270.00           48.830
 120.00      300.00           60.430
 120.00      330.00           60.430
 120.00      360.00           48.830
 140.00        0.00           67.140
 140.00       30.00           60.850
 140.00       60.00           60.850
 140.00       90.00           67.140
 140.00      120.00           60.850
 140.00      150.00           60.850
 140.00      180.00           67.140
 140.00      210.00           60.850
 140.00      240.00           60.850
 140.00      270.00           67.140
 140.00      300.00           60.850
 140.00      330.00           60.850
 140.00      360.00           67.140
 160.00        0.00           24.440
 160.00       30.00           22.990
 160.00       60.00           22.990
 160.00       90.00           24.440
 160.00      120.00           23.000
 160.00      150.00           23.000
 160.00      180.00           24.440
 160.00      210.00           22.990
 160.00      240.00           22.990
 160.00      270.00           24.440
 160.00      300.00           22.990
 160.00      330.00           22.990
 160.00      360.00           24.440
 180.00        0.00            0.000
 180.00       30.00            0.000
 180.00       60.00            0.000
 180.00       90.00            0.000
 180.00      120.00            0.000
 180.00      150.00            0.000
 180.00      180.00            0.000
 180.00      210.00            0.000
 180.00      240.00            0.000
 180.00      270.00            0.000
 180.00      300.00            0.000
 180.00      330.00            0.000
 180.00      360.00            0.000
