 #energy          xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  0.92000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.93370000E+00  0.28799442E+01  0.28799442E+01  0.28799442E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.94750000E+00  0.11550169E+02  0.11550169E+02  0.11550169E+02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.96120000E+00  0.25998824E+02  0.25998824E+02  0.25998824E+02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.97500000E+00  0.46472848E+02  0.46472848E+02  0.46472848E+02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.98870000E+00  0.72942492E+02  0.72942492E+02  0.72942492E+02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10025000E+01  0.10585142E+03  0.10585142E+03  0.10585142E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10162000E+01  0.14514907E+03  0.14514907E+03  0.14514907E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10300000E+01  0.19166047E+03  0.19166047E+03  0.19166047E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10437000E+01  0.24517151E+03  0.24517151E+03  0.24517151E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10575000E+01  0.30675265E+03  0.30675265E+03  0.30675265E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10712000E+01  0.37661501E+03  0.37661501E+03  0.37661501E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10850000E+01  0.45566524E+03  0.45566524E+03  0.45566524E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10987000E+01  0.54441418E+03  0.54441418E+03  0.54441418E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11125000E+01  0.64431807E+03  0.64431807E+03  0.64431807E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11262000E+01  0.75605758E+03  0.75605758E+03  0.75605758E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11399000E+01  0.88104634E+03  0.88104634E+03  0.88104634E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11537000E+01  0.10216759E+04  0.10216759E+04  0.10216759E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11674000E+01  0.11789448E+04  0.11789448E+04  0.11789448E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11812000E+01  0.13557270E+04  0.13557270E+04  0.13557270E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11949000E+01  0.15541027E+04  0.15541027E+04  0.15541027E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12087000E+01  0.17785093E+04  0.17785093E+04  0.17785093E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12224000E+01  0.20315196E+04  0.20315196E+04  0.20315196E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12362000E+01  0.23194563E+04  0.23194563E+04  0.23194563E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12499000E+01  0.26465414E+04  0.26465414E+04  0.26465414E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12637000E+01  0.30214413E+04  0.30214413E+04  0.30214413E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12774000E+01  0.34521382E+04  0.34521382E+04  0.34521382E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12912000E+01  0.39497064E+04  0.39497064E+04  0.39497064E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13049000E+01  0.45266277E+04  0.45266277E+04  0.45266277E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13186000E+01  0.51989188E+04  0.51989188E+04  0.51989188E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13324000E+01  0.59876471E+04  0.59876471E+04  0.59876471E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13461000E+01  0.69130249E+04  0.69130249E+04  0.69130249E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13599000E+01  0.80048853E+04  0.80048853E+04  0.80048853E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13736000E+01  0.92884450E+04  0.92884450E+04  0.92884450E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13874000E+01  0.10798997E+05  0.10798997E+05  0.10798997E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14011000E+01  0.12558151E+05  0.12558151E+05  0.12558151E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14149000E+01  0.14589709E+05  0.14589709E+05  0.14589709E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14286000E+01  0.16885025E+05  0.16885025E+05  0.16885025E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14424000E+01  0.19420990E+05  0.19420990E+05  0.19420990E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14561000E+01  0.22116390E+05  0.22116390E+05  0.22116390E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14699000E+01  0.24862299E+05  0.24862299E+05  0.24862299E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14836000E+01  0.27487154E+05  0.27487154E+05  0.27487154E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14974000E+01  0.29812015E+05  0.29812015E+05  0.29812015E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15111000E+01  0.31634307E+05  0.31634307E+05  0.31634307E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15248000E+01  0.32804335E+05  0.32804335E+05  0.32804335E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15386000E+01  0.33236143E+05  0.33236143E+05  0.33236143E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15523000E+01  0.32912980E+05  0.32912980E+05  0.32912980E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15661000E+01  0.31921902E+05  0.31921902E+05  0.31921902E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15798000E+01  0.30394553E+05  0.30394553E+05  0.30394553E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15936000E+01  0.28516539E+05  0.28516539E+05  0.28516539E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16073000E+01  0.26453472E+05  0.26453472E+05  0.26453472E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16211000E+01  0.24367684E+05  0.24367684E+05  0.24367684E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16348000E+01  0.22365835E+05  0.22365835E+05  0.22365835E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16486000E+01  0.20528863E+05  0.20528863E+05  0.20528863E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16623000E+01  0.18888953E+05  0.18888953E+05  0.18888953E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16761000E+01  0.17463135E+05  0.17463135E+05  0.17463135E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16898000E+01  0.16242274E+05  0.16242274E+05  0.16242274E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17035000E+01  0.15213532E+05  0.15213532E+05  0.15213532E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17173000E+01  0.14360516E+05  0.14360516E+05  0.14360516E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17310000E+01  0.13659705E+05  0.13659705E+05  0.13659705E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17448000E+01  0.13098020E+05  0.13098020E+05  0.13098020E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17585000E+01  0.12653473E+05  0.12653473E+05  0.12653473E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17723000E+01  0.12317212E+05  0.12317212E+05  0.12317212E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17860000E+01  0.12075594E+05  0.12075594E+05  0.12075594E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17998000E+01  0.11921513E+05  0.11921513E+05  0.11921513E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18135000E+01  0.11846738E+05  0.11846738E+05  0.11846738E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18273000E+01  0.11846831E+05  0.11846831E+05  0.11846831E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18410000E+01  0.11919817E+05  0.11919817E+05  0.11919817E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18548000E+01  0.12063249E+05  0.12063249E+05  0.12063249E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18685000E+01  0.12276151E+05  0.12276151E+05  0.12276151E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18823000E+01  0.12561495E+05  0.12561495E+05  0.12561495E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18960000E+01  0.12922721E+05  0.12922721E+05  0.12922721E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19097000E+01  0.13363165E+05  0.13363165E+05  0.13363165E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19235000E+01  0.13893962E+05  0.13893962E+05  0.13893962E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19372000E+01  0.14518812E+05  0.14518812E+05  0.14518812E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19510000E+01  0.15255211E+05  0.15255211E+05  0.15255211E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19647000E+01  0.16115283E+05  0.16115283E+05  0.16115283E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19785000E+01  0.17119186E+05  0.17119186E+05  0.17119186E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19922000E+01  0.18288116E+05  0.18288116E+05  0.18288116E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20060000E+01  0.19653716E+05  0.19653716E+05  0.19653716E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20197000E+01  0.21247220E+05  0.21247220E+05  0.21247220E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20335000E+01  0.23111363E+05  0.23111363E+05  0.23111363E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20472000E+01  0.25290322E+05  0.25290322E+05  0.25290322E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20610000E+01  0.27832880E+05  0.27832880E+05  0.27832880E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20747000E+01  0.30787794E+05  0.30787794E+05  0.30787794E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20884000E+01  0.34191764E+05  0.34191764E+05  0.34191764E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.21022000E+01  0.38062260E+05  0.38062260E+05  0.38062260E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.21159000E+01  0.42375654E+05  0.42375654E+05  0.42375654E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.21297000E+01  0.47054222E+05  0.47054222E+05  0.47054222E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
