  #energy          xx             yy              zz              xy              yz              zx
  0.92000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00             NaN             NaN             NaN
  0.93370000E+00  0.22242466E-05  0.22242466E-05  0.22242466E-05             NaN             NaN             NaN
  0.94750000E+00  0.87639859E-05  0.87639859E-05  0.87639859E-05             NaN             NaN             NaN
  0.96120000E+00  0.19386149E-04  0.19386149E-04  0.19386149E-04             NaN             NaN             NaN
  0.97500000E+00  0.34053243E-04  0.34053243E-04  0.34053243E-04             NaN             NaN             NaN
  0.98870000E+00  0.52537026E-04  0.52537026E-04  0.52537026E-04             NaN             NaN             NaN
  0.10025000E+01  0.74937648E-04  0.74937648E-04  0.74937648E-04             NaN             NaN             NaN
  0.10162000E+01  0.10102639E-03  0.10102639E-03  0.10102639E-03             NaN             NaN             NaN
  0.10300000E+01  0.13114712E-03  0.13114712E-03  0.13114712E-03             NaN             NaN             NaN
  0.10437000E+01  0.16496613E-03  0.16496613E-03  0.16496613E-03             NaN             NaN             NaN
  0.10575000E+01  0.20295292E-03  0.20295292E-03  0.20295292E-03             NaN             NaN             NaN
  0.10712000E+01  0.24506068E-03  0.24506068E-03  0.24506068E-03             NaN             NaN             NaN
  0.10850000E+01  0.29158780E-03  0.29158780E-03  0.29158780E-03             NaN             NaN             NaN
  0.10987000E+01  0.34267379E-03  0.34267379E-03  0.34267379E-03             NaN             NaN             NaN
  0.11125000E+01  0.39888961E-03  0.39888961E-03  0.39888961E-03             NaN             NaN             NaN
  0.11262000E+01  0.46045002E-03  0.46045002E-03  0.46045002E-03             NaN             NaN             NaN
  0.11399000E+01  0.52786207E-03  0.52786207E-03  0.52786207E-03             NaN             NaN             NaN
  0.11537000E+01  0.60213377E-03  0.60213377E-03  0.60213377E-03             NaN             NaN             NaN
  0.11674000E+01  0.68359064E-03  0.68359064E-03  0.68359064E-03             NaN             NaN             NaN
  0.11812000E+01  0.77331471E-03  0.77331471E-03  0.77331471E-03             NaN             NaN             NaN
  0.11949000E+01  0.87217635E-03  0.87217635E-03  0.87217635E-03             NaN             NaN             NaN
  0.12087000E+01  0.98191809E-03  0.98191809E-03  0.98191809E-03             NaN             NaN             NaN
  0.12224000E+01  0.11035444E-02  0.11035444E-02  0.11035444E-02             NaN             NaN             NaN
  0.12362000E+01  0.12395270E-02  0.12395270E-02  0.12395270E-02             NaN             NaN             NaN
  0.12499000E+01  0.13915656E-02  0.13915656E-02  0.13915656E-02             NaN             NaN             NaN
  0.12637000E+01  0.15629580E-02  0.15629580E-02  0.15629580E-02             NaN             NaN             NaN
  0.12774000E+01  0.17570688E-02  0.17570688E-02  0.17570688E-02             NaN             NaN             NaN
  0.12912000E+01  0.19778638E-02  0.19778638E-02  0.19778638E-02             NaN             NaN             NaN
  0.13049000E+01  0.22305561E-02  0.22305561E-02  0.22305561E-02             NaN             NaN             NaN
  0.13186000E+01  0.25211330E-02  0.25211330E-02  0.25211330E-02             NaN             NaN             NaN
  0.13324000E+01  0.28575240E-02  0.28575240E-02  0.28575240E-02             NaN             NaN             NaN
  0.13461000E+01  0.32477859E-02  0.32477859E-02  0.32477859E-02             NaN             NaN             NaN
  0.13599000E+01  0.37028248E-02  0.37028248E-02  0.37028248E-02             NaN             NaN             NaN
  0.13736000E+01  0.42324965E-02  0.42324965E-02  0.42324965E-02             NaN             NaN             NaN
  0.13874000E+01  0.48494682E-02  0.48494682E-02  0.48494682E-02             NaN             NaN             NaN
  0.14011000E+01  0.55620413E-02  0.55620413E-02  0.55620413E-02             NaN             NaN             NaN
  0.14149000E+01  0.63780629E-02  0.63780629E-02  0.63780629E-02             NaN             NaN             NaN
  0.14286000E+01  0.72942161E-02  0.72942161E-02  0.72942161E-02             NaN             NaN             NaN
  0.14424000E+01  0.83004958E-02  0.83004958E-02  0.83004958E-02             NaN             NaN             NaN
  0.14561000E+01  0.93664061E-02  0.93664061E-02  0.93664061E-02             NaN             NaN             NaN
  0.14699000E+01  0.10450173E-01  0.10450173E-01  0.10450173E-01             NaN             NaN             NaN
  0.14836000E+01  0.11487645E-01  0.11487645E-01  0.11487645E-01             NaN             NaN             NaN
  0.14974000E+01  0.12410862E-01  0.12410862E-01  0.12410862E-01             NaN             NaN             NaN
  0.15111000E+01  0.13141968E-01  0.13141968E-01  0.13141968E-01             NaN             NaN             NaN
  0.15248000E+01  0.13619938E-01  0.13619938E-01  0.13619938E-01             NaN             NaN             NaN
  0.15386000E+01  0.13805222E-01  0.13805222E-01  0.13805222E-01             NaN             NaN             NaN
  0.15523000E+01  0.13683002E-01  0.13683002E-01  0.13683002E-01             NaN             NaN             NaN
  0.15661000E+01  0.13279088E-01  0.13279088E-01  0.13279088E-01             NaN             NaN             NaN
  0.15798000E+01  0.12639798E-01  0.12639798E-01  0.12639798E-01             NaN             NaN             NaN
  0.15936000E+01  0.11837021E-01  0.11837021E-01  0.11837021E-01             NaN             NaN             NaN
  0.16073000E+01  0.10940574E-01  0.10940574E-01  0.10940574E-01             NaN             NaN             NaN
  0.16211000E+01  0.10020519E-01  0.10020519E-01  0.10020519E-01             NaN             NaN             NaN
  0.16348000E+01  0.91276373E-02  0.91276373E-02  0.91276373E-02             NaN             NaN             NaN
  0.16486000E+01  0.82990725E-02  0.82990725E-02  0.82990725E-02             NaN             NaN             NaN
  0.16623000E+01  0.75533476E-02  0.75533476E-02  0.75533476E-02             NaN             NaN             NaN
  0.16761000E+01  0.68982208E-02  0.68982208E-02  0.68982208E-02             NaN             NaN             NaN
  0.16898000E+01  0.63323390E-02  0.63323390E-02  0.63323390E-02             NaN             NaN             NaN
  0.17035000E+01  0.58494938E-02  0.58494938E-02  0.58494938E-02             NaN             NaN             NaN
  0.17173000E+01  0.54415416E-02  0.54415416E-02  0.54415416E-02             NaN             NaN             NaN
  0.17310000E+01  0.50993881E-02  0.50993881E-02  0.50993881E-02             NaN             NaN             NaN
  0.17448000E+01  0.48152652E-02  0.48152652E-02  0.48152652E-02             NaN             NaN             NaN
  0.17585000E+01  0.45805223E-02  0.45805223E-02  0.45805223E-02             NaN             NaN             NaN
  0.17723000E+01  0.43891954E-02  0.43891954E-02  0.43891954E-02             NaN             NaN             NaN
  0.17860000E+01  0.42359166E-02  0.42359166E-02  0.42359166E-02             NaN             NaN             NaN
  0.17998000E+01  0.41157043E-02  0.41157043E-02  0.41157043E-02             NaN             NaN             NaN
  0.18135000E+01  0.40253701E-02  0.40253701E-02  0.40253701E-02             NaN             NaN             NaN
  0.18273000E+01  0.39611664E-02  0.39611664E-02  0.39611664E-02             NaN             NaN             NaN
  0.18410000E+01  0.39222166E-02  0.39222166E-02  0.39222166E-02             NaN             NaN             NaN
  0.18548000E+01  0.39056090E-02  0.39056090E-02  0.39056090E-02             NaN             NaN             NaN
  0.18685000E+01  0.39108970E-02  0.39108970E-02  0.39108970E-02             NaN             NaN             NaN
  0.18823000E+01  0.39369921E-02  0.39369921E-02  0.39369921E-02             NaN             NaN             NaN
  0.18960000E+01  0.39848850E-02  0.39848850E-02  0.39848850E-02             NaN             NaN             NaN
  0.19097000E+01  0.40539353E-02  0.40539353E-02  0.40539353E-02             NaN             NaN             NaN
  0.19235000E+01  0.41457467E-02  0.41457467E-02  0.41457467E-02             NaN             NaN             NaN
  0.19372000E+01  0.42612236E-02  0.42612236E-02  0.42612236E-02             NaN             NaN             NaN
  0.19510000E+01  0.44030718E-02  0.44030718E-02  0.44030718E-02             NaN             NaN             NaN
  0.19647000E+01  0.45743807E-02  0.45743807E-02  0.45743807E-02             NaN             NaN             NaN
  0.19785000E+01  0.47780361E-02  0.47780361E-02  0.47780361E-02             NaN             NaN             NaN
  0.19922000E+01  0.50193274E-02  0.50193274E-02  0.50193274E-02             NaN             NaN             NaN
  0.20060000E+01  0.53035972E-02  0.53035972E-02  0.53035972E-02             NaN             NaN             NaN
  0.20197000E+01  0.56383821E-02  0.56383821E-02  0.56383821E-02             NaN             NaN             NaN
  0.20335000E+01  0.60311434E-02  0.60311434E-02  0.60311434E-02             NaN             NaN             NaN
  0.20472000E+01  0.64924216E-02  0.64924216E-02  0.64924216E-02             NaN             NaN             NaN
  0.20610000E+01  0.70306588E-02  0.70306588E-02  0.70306588E-02             NaN             NaN             NaN
  0.20747000E+01  0.76579664E-02  0.76579664E-02  0.76579664E-02             NaN             NaN             NaN
  0.20884000E+01  0.83808347E-02  0.83808347E-02  0.83808347E-02             NaN             NaN             NaN
  0.21022000E+01  0.92018652E-02  0.92018652E-02  0.92018652E-02             NaN             NaN             NaN
  0.21159000E+01  0.10118994E-01  0.10118994E-01  0.10118994E-01             NaN             NaN             NaN
  0.21297000E+01  0.11115526E-01  0.11115526E-01  0.11115526E-01             NaN             NaN             NaN
  0.21434000E+01  0.12163067E-01  0.12163067E-01  0.12163067E-01             NaN             NaN             NaN
  0.21572000E+01  0.13215188E-01  0.13215188E-01  0.13215188E-01             NaN             NaN             NaN
  0.21709000E+01  0.14211967E-01  0.14211967E-01  0.14211967E-01             NaN             NaN             NaN
  0.21847000E+01  0.15084730E-01  0.15084730E-01  0.15084730E-01             NaN             NaN             NaN
  0.21984000E+01  0.15763255E-01  0.15763255E-01  0.15763255E-01             NaN             NaN             NaN
  0.22122000E+01  0.16189945E-01  0.16189945E-01  0.16189945E-01             NaN             NaN             NaN
  0.22259000E+01  0.16326610E-01  0.16326610E-01  0.16326610E-01             NaN             NaN             NaN
  0.22397000E+01  0.16165730E-01  0.16165730E-01  0.16165730E-01             NaN             NaN             NaN
  0.22534000E+01  0.15731623E-01  0.15731623E-01  0.15731623E-01             NaN             NaN             NaN
  0.22672000E+01  0.15078429E-01  0.15078429E-01  0.15078429E-01             NaN             NaN             NaN
  0.22809000E+01  0.14279475E-01  0.14279475E-01  0.14279475E-01             NaN             NaN             NaN
  0.22946000E+01  0.13409575E-01  0.13409575E-01  0.13409575E-01             NaN             NaN             NaN
  0.23084000E+01  0.12535949E-01  0.12535949E-01  0.12535949E-01             NaN             NaN             NaN
  0.23221000E+01  0.11715112E-01  0.11715112E-01  0.11715112E-01             NaN             NaN             NaN
  0.23359000E+01  0.10979971E-01  0.10979971E-01  0.10979971E-01             NaN             NaN             NaN
  0.23496000E+01  0.10353363E-01  0.10353363E-01  0.10353363E-01             NaN             NaN             NaN
  0.23634000E+01  0.98378490E-02  0.98378490E-02  0.98378490E-02             NaN             NaN             NaN
  0.23771000E+01  0.94375515E-02  0.94375515E-02  0.94375515E-02             NaN             NaN             NaN
