  #energy          xx             yy              zz              xy              yz              zx
  0.92000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.93370000E+00  0.30432184E-04  0.30432184E-04  0.30432184E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.94750000E+00  0.12027228E-03  0.12027228E-03  0.12027228E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.96120000E+00  0.26686792E-03  0.26686792E-03  0.26686792E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.97500000E+00  0.47027413E-03  0.47027413E-03  0.47027413E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.98870000E+00  0.72790128E-03  0.72790128E-03  0.72790128E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10025000E+01  0.10417626E-02  0.10417626E-02  0.10417626E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10162000E+01  0.14092612E-02  0.14092612E-02  0.14092612E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10300000E+01  0.18359115E-02  0.18359115E-02  0.18359115E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10437000E+01  0.23176654E-02  0.23176654E-02  0.23176654E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10575000E+01  0.28619653E-02  0.28619653E-02  0.28619653E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10712000E+01  0.34688337E-02  0.34688337E-02  0.34688337E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10850000E+01  0.41435500E-02  0.41435500E-02  0.41435500E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10987000E+01  0.48888501E-02  0.48888501E-02  0.48888501E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11125000E+01  0.57142168E-02  0.57142168E-02  0.57142168E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11262000E+01  0.66236255E-02  0.66236255E-02  0.66236255E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
