  #energy          xx             yy              zz              xy              yz              zx
  0.92000000E+00  0.25130989E+00  0.25130989E+00  0.25130989E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.93370000E+00  0.25167504E+00  0.25167504E+00  0.25167504E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.94750000E+00  0.25205360E+00  0.25205360E+00  0.25205360E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.96120000E+00  0.25244013E+00  0.25244013E+00  0.25244013E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.97500000E+00  0.25284026E+00  0.25284026E+00  0.25284026E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.98870000E+00  0.25324817E+00  0.25324817E+00  0.25324817E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.10025000E+01  0.25366983E+00  0.25366983E+00  0.25366983E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.10162000E+01  0.25409920E+00  0.25409920E+00  0.25409920E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.10300000E+01  0.25454265E+00  0.25454265E+00  0.25454265E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.10437000E+01  0.25499392E+00  0.25499392E+00  0.25499392E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.10575000E+01  0.25545983E+00  0.25545983E+00  0.25545983E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.10712000E+01  0.25593387E+00  0.25593387E+00  0.25593387E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.10850000E+01  0.25642329E+00  0.25642329E+00  0.25642329E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.10987000E+01  0.25692132E+00  0.25692132E+00  0.25692132E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.11125000E+01  0.25743560E+00  0.25743560E+00  0.25743560E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.11262000E+01  0.25795908E+00  0.25795908E+00  0.25795908E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.11399000E+01  0.25849592E+00  0.25849592E+00  0.25849592E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.11537000E+01  0.25905066E+00  0.25905066E+00  0.25905066E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.11674000E+01  0.25961571E+00  0.25961571E+00  0.25961571E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.11812000E+01  0.26019972E+00  0.26019972E+00  0.26019972E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.11949000E+01  0.26079460E+00  0.26079460E+00  0.26079460E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.12087000E+01  0.26140934E+00  0.26140934E+00  0.26140934E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.12224000E+01  0.26203520E+00  0.26203520E+00  0.26203520E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.12362000E+01  0.26268131E+00  0.26268131E+00  0.26268131E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.12499000E+01  0.26333805E+00  0.26333805E+00  0.26333805E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.12637000E+01  0.26401429E+00  0.26401429E+00  0.26401429E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.12774000E+01  0.26469905E+00  0.26469905E+00  0.26469905E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.12912000E+01  0.26540015E+00  0.26540015E+00  0.26540015E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.13049000E+01  0.26610458E+00  0.26610458E+00  0.26610458E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.13186000E+01  0.26681361E+00  0.26681361E+00  0.26681361E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.13324000E+01  0.26752698E+00  0.26752698E+00  0.26752698E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.13461000E+01  0.26822685E+00  0.26822685E+00  0.26822685E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.13599000E+01  0.26891284E+00  0.26891284E+00  0.26891284E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.13736000E+01  0.26956269E+00  0.26956269E+00  0.26956269E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.13874000E+01  0.27016944E+00  0.27016944E+00  0.27016944E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.14011000E+01  0.27070656E+00  0.27070656E+00  0.27070656E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.14149000E+01  0.27115922E+00  0.27115922E+00  0.27115922E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.14286000E+01  0.27149887E+00  0.27149887E+00  0.27149887E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.14424000E+01  0.27170313E+00  0.27170313E+00  0.27170313E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.14561000E+01  0.27174545E+00  0.27174545E+00  0.27174545E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.14699000E+01  0.27159768E+00  0.27159768E+00  0.27159768E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.14836000E+01  0.27124190E+00  0.27124190E+00  0.27124190E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.14974000E+01  0.27065331E+00  0.27065331E+00  0.27065331E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.15111000E+01  0.26983959E+00  0.26983959E+00  0.26983959E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.15248000E+01  0.26882030E+00  0.26882030E+00  0.26882030E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.15386000E+01  0.26763979E+00  0.26763979E+00  0.26763979E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.15523000E+01  0.26638729E+00  0.26638729E+00  0.26638729E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.15661000E+01  0.26514140E+00  0.26514140E+00  0.26514140E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.15798000E+01  0.26400955E+00  0.26400955E+00  0.26400955E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.15936000E+01  0.26306269E+00  0.26306269E+00  0.26306269E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.16073000E+01  0.26236184E+00  0.26236184E+00  0.26236184E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.16211000E+01  0.26192794E+00  0.26192794E+00  0.26192794E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.16348000E+01  0.26175881E+00  0.26175881E+00  0.26175881E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.16486000E+01  0.26183561E+00  0.26183561E+00  0.26183561E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.16623000E+01  0.26212038E+00  0.26212038E+00  0.26212038E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.16761000E+01  0.26258477E+00  0.26258477E+00  0.26258477E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.16898000E+01  0.26318344E+00  0.26318344E+00  0.26318344E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.17035000E+01  0.26389300E+00  0.26389300E+00  0.26389300E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.17173000E+01  0.26469776E+00  0.26469776E+00  0.26469776E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.17310000E+01  0.26556245E+00  0.26556245E+00  0.26556245E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.17448000E+01  0.26648560E+00  0.26648560E+00  0.26648560E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.17585000E+01  0.26744031E+00  0.26744031E+00  0.26744031E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.17723000E+01  0.26843386E+00  0.26843386E+00  0.26843386E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.17860000E+01  0.26944442E+00  0.26944442E+00  0.26944442E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.17998000E+01  0.27048411E+00  0.27048411E+00  0.27048411E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.18135000E+01  0.27153387E+00  0.27153387E+00  0.27153387E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.18273000E+01  0.27260881E+00  0.27260881E+00  0.27260881E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.18410000E+01  0.27369131E+00  0.27369131E+00  0.27369131E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.18548000E+01  0.27479823E+00  0.27479823E+00  0.27479823E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.18685000E+01  0.27591232E+00  0.27591232E+00  0.27591232E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.18823000E+01  0.27705134E+00  0.27705134E+00  0.27705134E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.18960000E+01  0.27819661E+00  0.27819661E+00  0.27819661E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.19097000E+01  0.27935955E+00  0.27935955E+00  0.27935955E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.19235000E+01  0.28055220E+00  0.28055220E+00  0.28055220E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
