 #energy      xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
   0.000      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00
   0.003      0.2345E-01      0.2345E-01      0.2345E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.007      0.9521E-01      0.9521E-01      0.9521E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.010      0.2131E+00      0.2131E+00      0.2131E+00      0.0000E+00      0.0000E+00      0.0000E+00
   0.013      0.3780E+00      0.3780E+00      0.3780E+00      0.0000E+00      0.0000E+00      0.0000E+00
   0.017      0.5695E+00      0.5695E+00      0.5695E+00      0.0000E+00      0.0000E+00      0.0000E+00
   0.020      0.8242E+00      0.8242E+00      0.8242E+00      0.0000E+00      0.0000E+00      0.0000E+00
   0.023      0.1126E+01      0.1126E+01      0.1126E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.027      0.1480E+01      0.1480E+01      0.1480E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.030      0.1876E+01      0.1876E+01      0.1876E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.033      0.2319E+01      0.2319E+01      0.2319E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.037      0.2816E+01      0.2816E+01      0.2816E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.040      0.3353E+01      0.3353E+01      0.3353E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.043      0.3876E+01      0.3876E+01      0.3876E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.047      0.4512E+01      0.4512E+01      0.4512E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.050      0.5186E+01      0.5186E+01      0.5186E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.053      0.5918E+01      0.5918E+01      0.5918E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.057      0.6687E+01      0.6687E+01      0.6687E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.060      0.7502E+01      0.7502E+01      0.7502E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.063      0.8377E+01      0.8377E+01      0.8377E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.067      0.9287E+01      0.9287E+01      0.9287E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.070      0.1024E+02      0.1024E+02      0.1024E+02      0.0000E+00      0.0000E+00      0.0000E+00
   0.073      0.1116E+02      0.1116E+02      0.1116E+02      0.0000E+00      0.0000E+00      0.0000E+00
   0.077      0.1220E+02      0.1220E+02      0.1220E+02      0.0000E+00      0.0000E+00      0.0000E+00
   0.080      0.1330E+02      0.1330E+02      0.1330E+02      0.0000E+00      0.0000E+00      0.0000E+00
   0.083      0.1446E+02      0.1446E+02      0.1446E+02      0.0000E+00      0.0000E+00      0.0000E+00
   0.087      0.1564E+02      0.1564E+02      0.1564E+02      0.0000E+00      0.0000E+00      0.0000E+00
   0.090      0.1688E+02      0.1688E+02      0.1688E+02      0.0000E+00      0.0000E+00      0.0000E+00
   0.093      0.1818E+02      0.1818E+02      0.1818E+02      0.0000E+00      0.0000E+00      0.0000E+00
   0.097      0.1951E+02      0.1951E+02      0.1951E+02      0.0000E+00      0.0000E+00      0.0000E+00
   0.100      0.2088E+02      0.2088E+02      0.2088E+02      0.0000E+00      0.0000E+00      0.0000E+00
   0.103      0.2233E+02      0.2233E+02      0.2233E+02      0.0000E+00      0.0000E+00      0.0000E+00
   0.107      0.2364E+02      0.2364E+02      0.2364E+02      0.0000E+00      0.0000E+00      0.0000E+00
   0.110      0.2516E+02      0.2516E+02      0.2516E+02      0.0000E+00      0.0000E+00      0.0000E+00
   0.113      0.2674E+02      0.2674E+02      0.2674E+02      0.0000E+00      0.0000E+00      0.0000E+00
   0.117      0.2835E+02      0.2835E+02      0.2835E+02      0.0000E+00      0.0000E+00      0.0000E+00
   0.120      0.3000E+02      0.3000E+02      0.3000E+02      0.0000E+00      0.0000E+00      0.0000E+00
   0.123      0.3172E+02      0.3172E+02      0.3172E+02      0.0000E+00      0.0000E+00      0.0000E+00
   0.127      0.3347E+02      0.3347E+02      0.3347E+02      0.0000E+00      0.0000E+00      0.0000E+00
   0.130      0.3527E+02      0.3527E+02      0.3527E+02      0.0000E+00      0.0000E+00      0.0000E+00
   0.133      0.3713E+02      0.3713E+02      0.3713E+02      0.0000E+00      0.0000E+00      0.0000E+00
   0.137      0.3902E+02      0.3902E+02      0.3902E+02      0.0000E+00      0.0000E+00      0.0000E+00
   0.140      0.4096E+02      0.4096E+02      0.4096E+02      0.0000E+00      0.0000E+00      0.0000E+00
   0.143      0.4297E+02      0.4297E+02      0.4297E+02      0.0000E+00      0.0000E+00      0.0000E+00
   0.147      0.4479E+02      0.4479E+02      0.4479E+02      0.0000E+00      0.0000E+00      0.0000E+00
   0.150      0.4689E+02      0.4689E+02      0.4689E+02      0.0000E+00      0.0000E+00      0.0000E+00
   0.153      0.4901E+02      0.4901E+02      0.4901E+02      0.0000E+00      0.0000E+00      0.0000E+00
   0.157      0.5118E+02      0.5118E+02      0.5118E+02      0.0000E+00      0.0000E+00      0.0000E+00
