  #energy          xx             yy              zz              xy              yz              zx
   0.000      0.0000E+00      0.0000E+00      0.0000E+00             NaN             NaN             NaN
   0.003      0.3091E-05      0.3091E-05      0.3091E-05             NaN             NaN             NaN
   0.007      0.6182E-05      0.6182E-05      0.6182E-05             NaN             NaN             NaN
   0.010      0.9272E-05      0.9272E-05      0.9272E-05             NaN             NaN             NaN
   0.013      0.1236E-04      0.1236E-04      0.1236E-04             NaN             NaN             NaN
   0.017      0.1484E-04      0.1484E-04      0.1484E-04             NaN             NaN             NaN
   0.020      0.1793E-04      0.1793E-04      0.1793E-04             NaN             NaN             NaN
   0.023      0.2102E-04      0.2102E-04      0.2102E-04             NaN             NaN             NaN
   0.027      0.2411E-04      0.2411E-04      0.2411E-04             NaN             NaN             NaN
   0.030      0.2720E-04      0.2720E-04      0.2720E-04             NaN             NaN             NaN
   0.033      0.3029E-04      0.3029E-04      0.3029E-04             NaN             NaN             NaN
   0.037      0.3337E-04      0.3337E-04      0.3337E-04             NaN             NaN             NaN
   0.040      0.3646E-04      0.3646E-04      0.3646E-04             NaN             NaN             NaN
   0.043      0.3893E-04      0.3893E-04      0.3893E-04             NaN             NaN             NaN
   0.047      0.4202E-04      0.4202E-04      0.4202E-04             NaN             NaN             NaN
   0.050      0.4511E-04      0.4511E-04      0.4511E-04             NaN             NaN             NaN
   0.053      0.4820E-04      0.4820E-04      0.4820E-04             NaN             NaN             NaN
   0.057      0.5129E-04      0.5129E-04      0.5129E-04             NaN             NaN             NaN
   0.060      0.5437E-04      0.5437E-04      0.5437E-04             NaN             NaN             NaN
   0.063      0.5746E-04      0.5746E-04      0.5746E-04             NaN             NaN             NaN
   0.067      0.6055E-04      0.6055E-04      0.6055E-04             NaN             NaN             NaN
   0.070      0.6363E-04      0.6363E-04      0.6363E-04             NaN             NaN             NaN
   0.073      0.6610E-04      0.6610E-04      0.6610E-04             NaN             NaN             NaN
   0.077      0.6919E-04      0.6919E-04      0.6919E-04             NaN             NaN             NaN
   0.080      0.7227E-04      0.7227E-04      0.7227E-04             NaN             NaN             NaN
   0.083      0.7535E-04      0.7535E-04      0.7535E-04             NaN             NaN             NaN
   0.087      0.7844E-04      0.7844E-04      0.7844E-04             NaN             NaN             NaN
   0.090      0.8152E-04      0.8152E-04      0.8152E-04             NaN             NaN             NaN
   0.093      0.8460E-04      0.8460E-04      0.8460E-04             NaN             NaN             NaN
   0.097      0.8768E-04      0.8768E-04      0.8768E-04             NaN             NaN             NaN
   0.100      0.9076E-04      0.9076E-04      0.9076E-04             NaN             NaN             NaN
   0.103      0.9384E-04      0.9384E-04      0.9384E-04             NaN             NaN             NaN
   0.107      0.9631E-04      0.9631E-04      0.9631E-04             NaN             NaN             NaN
   0.110      0.9938E-04      0.9938E-04      0.9938E-04             NaN             NaN             NaN
   0.113      0.1025E-03      0.1025E-03      0.1025E-03             NaN             NaN             NaN
   0.117      0.1055E-03      0.1055E-03      0.1055E-03             NaN             NaN             NaN
   0.120      0.1086E-03      0.1086E-03      0.1086E-03             NaN             NaN             NaN
   0.123      0.1117E-03      0.1117E-03      0.1117E-03             NaN             NaN             NaN
   0.127      0.1148E-03      0.1148E-03      0.1148E-03             NaN             NaN             NaN
   0.130      0.1178E-03      0.1178E-03      0.1178E-03             NaN             NaN             NaN
   0.133      0.1209E-03      0.1209E-03      0.1209E-03             NaN             NaN             NaN
   0.137      0.1240E-03      0.1240E-03      0.1240E-03             NaN             NaN             NaN
   0.140      0.1271E-03      0.1271E-03      0.1271E-03             NaN             NaN             NaN
   0.143      0.1301E-03      0.1301E-03      0.1301E-03             NaN             NaN             NaN
   0.147      0.1326E-03      0.1326E-03      0.1326E-03             NaN             NaN             NaN
   0.150      0.1356E-03      0.1356E-03      0.1356E-03             NaN             NaN             NaN
   0.153      0.1387E-03      0.1387E-03      0.1387E-03             NaN             NaN             NaN
   0.157      0.1418E-03      0.1418E-03      0.1418E-03             NaN             NaN             NaN
   0.160      0.1448E-03      0.1448E-03      0.1448E-03             NaN             NaN             NaN
   0.163      0.1479E-03      0.1479E-03      0.1479E-03             NaN             NaN             NaN
   0.167      0.1510E-03      0.1510E-03      0.1510E-03             NaN             NaN             NaN
   0.170      0.1540E-03      0.1540E-03      0.1540E-03             NaN             NaN             NaN
   0.173      0.1571E-03      0.1571E-03      0.1571E-03             NaN             NaN             NaN
   0.177      0.1601E-03      0.1601E-03      0.1601E-03             NaN             NaN             NaN
   0.180      0.1632E-03      0.1632E-03      0.1632E-03             NaN             NaN             NaN
   0.183      0.1663E-03      0.1663E-03      0.1663E-03             NaN             NaN             NaN
   0.187      0.1693E-03      0.1693E-03      0.1693E-03             NaN             NaN             NaN
   0.190      0.1724E-03      0.1724E-03      0.1724E-03             NaN             NaN             NaN
   0.193      0.1754E-03      0.1754E-03      0.1754E-03             NaN             NaN             NaN
   0.197      0.1785E-03      0.1785E-03      0.1785E-03             NaN             NaN             NaN
   0.200      0.1815E-03      0.1815E-03      0.1815E-03             NaN             NaN             NaN
   0.203      0.1846E-03      0.1846E-03      0.1846E-03             NaN             NaN             NaN
   0.207      0.1876E-03      0.1876E-03      0.1876E-03             NaN             NaN             NaN
   0.210      0.1900E-03      0.1900E-03      0.1900E-03             NaN             NaN             NaN
   0.213      0.1931E-03      0.1931E-03      0.1931E-03             NaN             NaN             NaN
   0.217      0.1961E-03      0.1961E-03      0.1961E-03             NaN             NaN             NaN
   0.220      0.1992E-03      0.1992E-03      0.1992E-03             NaN             NaN             NaN
