  #energy          xx             yy              zz              xy              yz              zx
   0.000      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00
   0.003      0.7010E-04      0.7010E-04      0.7010E-04      0.0000E+00      0.0000E+00      0.0000E+00
   0.007      0.1402E-03      0.1402E-03      0.1402E-03      0.0000E+00      0.0000E+00      0.0000E+00
   0.010      0.2103E-03      0.2103E-03      0.2103E-03      0.0000E+00      0.0000E+00      0.0000E+00
   0.013      0.2804E-03      0.2804E-03      0.2804E-03      0.0000E+00      0.0000E+00      0.0000E+00
   0.017      0.3365E-03      0.3365E-03      0.3365E-03      0.0000E+00      0.0000E+00      0.0000E+00
   0.020      0.4066E-03      0.4066E-03      0.4066E-03      0.0000E+00      0.0000E+00      0.0000E+00
   0.023      0.4767E-03      0.4767E-03      0.4767E-03      0.0000E+00      0.0000E+00      0.0000E+00
   0.027      0.5468E-03      0.5468E-03      0.5468E-03      0.0000E+00      0.0000E+00      0.0000E+00
   0.030      0.6169E-03      0.6169E-03      0.6169E-03      0.0000E+00      0.0000E+00      0.0000E+00
   0.033      0.6870E-03      0.6870E-03      0.6870E-03      0.0000E+00      0.0000E+00      0.0000E+00
   0.037      0.7570E-03      0.7570E-03      0.7570E-03      0.0000E+00      0.0000E+00      0.0000E+00
   0.040      0.8271E-03      0.8271E-03      0.8271E-03      0.0000E+00      0.0000E+00      0.0000E+00
   0.043      0.8832E-03      0.8832E-03      0.8832E-03      0.0000E+00      0.0000E+00      0.0000E+00
   0.047      0.9533E-03      0.9533E-03      0.9533E-03      0.0000E+00      0.0000E+00      0.0000E+00
   0.050      0.1023E-02      0.1023E-02      0.1023E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.053      0.1093E-02      0.1093E-02      0.1093E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.057      0.1164E-02      0.1164E-02      0.1164E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.060      0.1234E-02      0.1234E-02      0.1234E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.063      0.1304E-02      0.1304E-02      0.1304E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.067      0.1374E-02      0.1374E-02      0.1374E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.070      0.1444E-02      0.1444E-02      0.1444E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.073      0.1500E-02      0.1500E-02      0.1500E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.077      0.1570E-02      0.1570E-02      0.1570E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.080      0.1640E-02      0.1640E-02      0.1640E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.083      0.1710E-02      0.1710E-02      0.1710E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.087      0.1780E-02      0.1780E-02      0.1780E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.090      0.1850E-02      0.1850E-02      0.1850E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.093      0.1920E-02      0.1920E-02      0.1920E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.097      0.1990E-02      0.1990E-02      0.1990E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.100      0.2060E-02      0.2060E-02      0.2060E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.103      0.2130E-02      0.2130E-02      0.2130E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.107      0.2186E-02      0.2186E-02      0.2186E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.110      0.2256E-02      0.2256E-02      0.2256E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.113      0.2326E-02      0.2326E-02      0.2326E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.117      0.2396E-02      0.2396E-02      0.2396E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.120      0.2466E-02      0.2466E-02      0.2466E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.123      0.2536E-02      0.2536E-02      0.2536E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.127      0.2606E-02      0.2606E-02      0.2606E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.130      0.2676E-02      0.2676E-02      0.2676E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.133      0.2746E-02      0.2746E-02      0.2746E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.137      0.2816E-02      0.2816E-02      0.2816E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.140      0.2886E-02      0.2886E-02      0.2886E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.143      0.2956E-02      0.2956E-02      0.2956E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.147      0.3012E-02      0.3012E-02      0.3012E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.150      0.3082E-02      0.3082E-02      0.3082E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.153      0.3152E-02      0.3152E-02      0.3152E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.157      0.3222E-02      0.3222E-02      0.3222E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.160      0.3292E-02      0.3292E-02      0.3292E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.163      0.3362E-02      0.3362E-02      0.3362E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.167      0.3432E-02      0.3432E-02      0.3432E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.170      0.3502E-02      0.3502E-02      0.3502E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.173      0.3572E-02      0.3572E-02      0.3572E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.177      0.3642E-02      0.3642E-02      0.3642E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.180      0.3712E-02      0.3712E-02      0.3712E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.183      0.3782E-02      0.3782E-02      0.3782E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.187      0.3852E-02      0.3852E-02      0.3852E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.190      0.3921E-02      0.3921E-02      0.3921E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.193      0.3991E-02      0.3991E-02      0.3991E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.197      0.4061E-02      0.4061E-02      0.4061E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.200      0.4131E-02      0.4131E-02      0.4131E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.203      0.4201E-02      0.4201E-02      0.4201E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.207      0.4271E-02      0.4271E-02      0.4271E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.210      0.4327E-02      0.4327E-02      0.4327E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.213      0.4396E-02      0.4396E-02      0.4396E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.217      0.4466E-02      0.4466E-02      0.4466E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.220      0.4536E-02      0.4536E-02      0.4536E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.223      0.4606E-02      0.4606E-02      0.4606E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.227      0.4676E-02      0.4676E-02      0.4676E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.230      0.4745E-02      0.4745E-02      0.4745E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.233      0.4815E-02      0.4815E-02      0.4815E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.237      0.4885E-02      0.4885E-02      0.4885E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.240      0.4955E-02      0.4955E-02      0.4955E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.243      0.5025E-02      0.5025E-02      0.5025E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.247      0.5094E-02      0.5094E-02      0.5094E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.250      0.5164E-02      0.5164E-02      0.5164E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.253      0.5234E-02      0.5234E-02      0.5234E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.257      0.5303E-02      0.5303E-02      0.5303E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.260      0.5373E-02      0.5373E-02      0.5373E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.263      0.5443E-02      0.5443E-02      0.5443E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.267      0.5513E-02      0.5513E-02      0.5513E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.270      0.5596E-02      0.5596E-02      0.5596E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.273      0.5666E-02      0.5666E-02      0.5666E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.277      0.5735E-02      0.5735E-02      0.5735E-02      0.0000E+00      0.0000E+00      0.0000E+00
