  #energy          xx             yy              zz              xy              yz              zx
   0.000      0.3159E+00      0.3159E+00      0.3159E+00      0.1000E+01      0.1000E+01      0.1000E+01
   0.003      0.3159E+00      0.3159E+00      0.3159E+00      0.1000E+01      0.1000E+01      0.1000E+01
   0.007      0.3159E+00      0.3159E+00      0.3159E+00      0.1000E+01      0.1000E+01      0.1000E+01
   0.010      0.3159E+00      0.3159E+00      0.3159E+00      0.1000E+01      0.1000E+01      0.1000E+01
   0.013      0.3159E+00      0.3159E+00      0.3159E+00      0.1000E+01      0.1000E+01      0.1000E+01
   0.017      0.3159E+00      0.3159E+00      0.3159E+00      0.1000E+01      0.1000E+01      0.1000E+01
   0.020      0.3159E+00      0.3159E+00      0.3159E+00      0.1000E+01      0.1000E+01      0.1000E+01
   0.023      0.3159E+00      0.3159E+00      0.3159E+00      0.1000E+01      0.1000E+01      0.1000E+01
   0.027      0.3159E+00      0.3159E+00      0.3159E+00      0.1000E+01      0.1000E+01      0.1000E+01
   0.030      0.3159E+00      0.3159E+00      0.3159E+00      0.1000E+01      0.1000E+01      0.1000E+01
   0.033      0.3159E+00      0.3159E+00      0.3159E+00      0.1000E+01      0.1000E+01      0.1000E+01
   0.037      0.3159E+00      0.3159E+00      0.3159E+00      0.1000E+01      0.1000E+01      0.1000E+01
   0.040      0.3159E+00      0.3159E+00      0.3159E+00      0.1000E+01      0.1000E+01      0.1000E+01
   0.043      0.3159E+00      0.3159E+00      0.3159E+00      0.1000E+01      0.1000E+01      0.1000E+01
   0.047      0.3159E+00      0.3159E+00      0.3159E+00      0.1000E+01      0.1000E+01      0.1000E+01
   0.050      0.3159E+00      0.3159E+00      0.3159E+00      0.1000E+01      0.1000E+01      0.1000E+01
   0.053      0.3159E+00      0.3159E+00      0.3159E+00      0.1000E+01      0.1000E+01      0.1000E+01
   0.057      0.3159E+00      0.3159E+00      0.3159E+00      0.1000E+01      0.1000E+01      0.1000E+01
