  #energy          xx             yy              zz              xy              yz              zx
   0.000      0.3566E+01      0.3566E+01      0.3566E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.003      0.3566E+01      0.3566E+01      0.3566E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.007      0.3566E+01      0.3566E+01      0.3566E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.010      0.3566E+01      0.3566E+01      0.3566E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.013      0.3566E+01      0.3566E+01      0.3566E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.017      0.3566E+01      0.3566E+01      0.3566E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.020      0.3566E+01      0.3566E+01      0.3566E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.023      0.3566E+01      0.3566E+01      0.3566E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.027      0.3566E+01      0.3566E+01      0.3566E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.030      0.3566E+01      0.3566E+01      0.3566E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.033      0.3566E+01      0.3566E+01      0.3566E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.037      0.3567E+01      0.3567E+01      0.3567E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.040      0.3567E+01      0.3567E+01      0.3567E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.043      0.3567E+01      0.3567E+01      0.3567E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.047      0.3567E+01      0.3567E+01      0.3567E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.050      0.3567E+01      0.3567E+01      0.3567E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.053      0.3567E+01      0.3567E+01      0.3567E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.057      0.3567E+01      0.3567E+01      0.3567E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.060      0.3567E+01      0.3567E+01      0.3567E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.063      0.3567E+01      0.3567E+01      0.3567E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.067      0.3567E+01      0.3567E+01      0.3567E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.070      0.3567E+01      0.3567E+01      0.3567E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.073      0.3567E+01      0.3567E+01      0.3567E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.077      0.3567E+01      0.3567E+01      0.3567E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.080      0.3567E+01      0.3567E+01      0.3567E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.083      0.3567E+01      0.3567E+01      0.3567E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.087      0.3567E+01      0.3567E+01      0.3567E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.090      0.3567E+01      0.3567E+01      0.3567E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.093      0.3567E+01      0.3567E+01      0.3567E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.097      0.3567E+01      0.3567E+01      0.3567E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.100      0.3567E+01      0.3567E+01      0.3567E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.103      0.3567E+01      0.3567E+01      0.3567E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.107      0.3568E+01      0.3568E+01      0.3568E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.110      0.3568E+01      0.3568E+01      0.3568E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.113      0.3568E+01      0.3568E+01      0.3568E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.117      0.3568E+01      0.3568E+01      0.3568E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.120      0.3568E+01      0.3568E+01      0.3568E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.123      0.3568E+01      0.3568E+01      0.3568E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.127      0.3568E+01      0.3568E+01      0.3568E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.130      0.3568E+01      0.3568E+01      0.3568E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.133      0.3568E+01      0.3568E+01      0.3568E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.137      0.3568E+01      0.3568E+01      0.3568E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.140      0.3568E+01      0.3568E+01      0.3568E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.143      0.3568E+01      0.3568E+01      0.3568E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.147      0.3569E+01      0.3569E+01      0.3569E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.150      0.3569E+01      0.3569E+01      0.3569E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.153      0.3569E+01      0.3569E+01      0.3569E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.157      0.3569E+01      0.3569E+01      0.3569E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.160      0.3569E+01      0.3569E+01      0.3569E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.163      0.3569E+01      0.3569E+01      0.3569E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.167      0.3569E+01      0.3569E+01      0.3569E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.170      0.3569E+01      0.3569E+01      0.3569E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.173      0.3569E+01      0.3569E+01      0.3569E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.177      0.3570E+01      0.3570E+01      0.3570E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.180      0.3570E+01      0.3570E+01      0.3570E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.183      0.3570E+01      0.3570E+01      0.3570E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.187      0.3570E+01      0.3570E+01      0.3570E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.190      0.3570E+01      0.3570E+01      0.3570E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.193      0.3570E+01      0.3570E+01      0.3570E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.197      0.3570E+01      0.3570E+01      0.3570E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.200      0.3570E+01      0.3570E+01      0.3570E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.203      0.3571E+01      0.3571E+01      0.3571E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.207      0.3571E+01      0.3571E+01      0.3571E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.210      0.3571E+01      0.3571E+01      0.3571E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.213      0.3571E+01      0.3571E+01      0.3571E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.217      0.3571E+01      0.3571E+01      0.3571E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.220      0.3571E+01      0.3571E+01      0.3571E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.223      0.3572E+01      0.3572E+01      0.3572E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.227      0.3572E+01      0.3572E+01      0.3572E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.230      0.3572E+01      0.3572E+01      0.3572E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.233      0.3572E+01      0.3572E+01      0.3572E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.237      0.3572E+01      0.3572E+01      0.3572E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.240      0.3572E+01      0.3572E+01      0.3572E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.243      0.3572E+01      0.3572E+01      0.3572E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.247      0.3573E+01      0.3573E+01      0.3573E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.250      0.3573E+01      0.3573E+01      0.3573E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.253      0.3573E+01      0.3573E+01      0.3573E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.257      0.3573E+01      0.3573E+01      0.3573E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.260      0.3573E+01      0.3573E+01      0.3573E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.263      0.3574E+01      0.3574E+01      0.3574E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.267      0.3574E+01      0.3574E+01      0.3574E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.270      0.3574E+01      0.3574E+01      0.3574E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.273      0.3574E+01      0.3574E+01      0.3574E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.277      0.3574E+01      0.3574E+01      0.3574E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.280      0.3574E+01      0.3574E+01      0.3574E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.283      0.3575E+01      0.3575E+01      0.3575E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.287      0.3575E+01      0.3575E+01      0.3575E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.290      0.3575E+01      0.3575E+01      0.3575E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.293      0.3575E+01      0.3575E+01      0.3575E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.297      0.3575E+01      0.3575E+01      0.3575E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.300      0.3576E+01      0.3576E+01      0.3576E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.303      0.3576E+01      0.3576E+01      0.3576E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.307      0.3576E+01      0.3576E+01      0.3576E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.310      0.3576E+01      0.3576E+01      0.3576E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.313      0.3576E+01      0.3576E+01      0.3576E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.317      0.3577E+01      0.3577E+01      0.3577E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.320      0.3577E+01      0.3577E+01      0.3577E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.323      0.3577E+01      0.3577E+01      0.3577E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.327      0.3577E+01      0.3577E+01      0.3577E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.330      0.3578E+01      0.3578E+01      0.3578E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.333      0.3578E+01      0.3578E+01      0.3578E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.337      0.3578E+01      0.3578E+01      0.3578E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.340      0.3578E+01      0.3578E+01      0.3578E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.343      0.3579E+01      0.3579E+01      0.3579E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.347      0.3579E+01      0.3579E+01      0.3579E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.350      0.3579E+01      0.3579E+01      0.3579E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.353      0.3579E+01      0.3579E+01      0.3579E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.357      0.3580E+01      0.3580E+01      0.3580E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.360      0.3580E+01      0.3580E+01      0.3580E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.363      0.3580E+01      0.3580E+01      0.3580E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.367      0.3580E+01      0.3580E+01      0.3580E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.370      0.3581E+01      0.3581E+01      0.3581E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.373      0.3581E+01      0.3581E+01      0.3581E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.377      0.3581E+01      0.3581E+01      0.3581E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.380      0.3581E+01      0.3581E+01      0.3581E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.384      0.3582E+01      0.3582E+01      0.3582E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.387      0.3582E+01      0.3582E+01      0.3582E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.390      0.3582E+01      0.3582E+01      0.3582E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.394      0.3582E+01      0.3582E+01      0.3582E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.397      0.3583E+01      0.3583E+01      0.3583E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.400      0.3583E+01      0.3583E+01      0.3583E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.404      0.3583E+01      0.3583E+01      0.3583E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.407      0.3583E+01      0.3583E+01      0.3583E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.410      0.3584E+01      0.3584E+01      0.3584E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.413      0.3584E+01      0.3584E+01      0.3584E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.417      0.3584E+01      0.3584E+01      0.3584E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.420      0.3585E+01      0.3585E+01      0.3585E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.423      0.3585E+01      0.3585E+01      0.3585E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.427      0.3585E+01      0.3585E+01      0.3585E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.430      0.3586E+01      0.3586E+01      0.3586E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.433      0.3586E+01      0.3586E+01      0.3586E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.437      0.3586E+01      0.3586E+01      0.3586E+01      0.0000E+00      0.0000E+00      0.0000E+00
   0.440      0.3586E+01      0.3586E+01      0.3586E+01      0.0000E+00      0.0000E+00      0.0000E+00
