#K-Path   X-component   Y-component   Z-component   Total
#Square of TDM (in Debye^2)
 0.000        0.000      201.617        0.000      201.617
 0.036        0.000      201.743        0.000      201.743
 0.073        0.000      202.367        0.000      202.367
 0.109        0.000      203.984        0.000      203.984
 0.146        0.000      206.957        0.000      206.957
 0.182        0.000      211.416        0.000      211.416
 0.219        0.000      217.350        0.000      217.350
 0.255        0.000      224.674        0.000      224.674
 0.292        0.000      233.239        0.000      233.239
 0.328        0.000      242.771        0.000      242.771
 0.365        0.000      252.774        0.000      252.774
 0.401        0.000      262.422        0.000      262.422
 0.437        0.000      270.602        0.000      270.602
 0.474        0.000      276.339        0.000      276.339
 0.510        0.000      279.782        0.000      279.782
 0.547        0.000      283.066        0.000      283.066
 0.583        0.000      289.652        0.000      289.652
 0.620        0.000      301.669        0.000      301.669
 0.656        0.000      316.035        0.000      316.035
 0.693      143.154      143.151       36.720      323.025
 0.693      143.154      143.151       36.720      323.025
 0.718      159.763      159.616        0.000      319.379
 0.744      155.178      155.351        0.000      310.529
 0.770      149.972      149.924        0.000      299.897
 0.796      144.761      144.320        0.000      289.081
 0.822      139.186      139.040        0.000      278.226
 0.847      133.472      133.765        0.000      267.237
 0.873      127.929      128.313        0.000      256.243
 0.899      122.653      122.868        0.000      245.521
 0.925      117.643      117.716        0.000      235.359
 0.950      112.946      113.036        0.000      225.982
 0.976      108.771      108.763        0.000      217.534
 1.002      105.041      105.052        0.000      210.092
 1.028      101.824      101.865        0.000      203.690
 1.054       99.176       99.149        0.000      198.325
 1.079       96.944       97.036        0.000      193.980
 1.105       95.502       95.133        0.000      190.635
 1.131       94.116       94.148        0.000      188.265
 1.157       93.422       93.429        0.000      186.851
 1.182       93.187       93.194        0.000      186.381
 1.182       93.191       93.190        0.000      186.381
 1.219       86.292       86.292        0.000      172.584
 1.255       69.710       69.710        0.000      139.420
 1.292       51.109       51.109        0.000      102.218
 1.328       35.354       35.354        0.000       70.709
 1.365        0.687        0.687        0.000        1.375
 1.401        0.180        0.180        0.000        0.359
 1.438        0.014        0.014        0.000        0.027
 1.474        0.012        0.012        0.000        0.024
 1.511        0.076        0.076        0.000        0.153
 1.547       10.755       10.755        0.000       21.511
 1.583       11.336       11.336        0.000       22.671
 1.620       10.625       10.625        0.000       21.249
 1.656       11.445       11.445        0.000       22.890
 1.693       12.643       12.643        0.000       25.286
 1.729       13.753       13.753        0.000       27.506
 1.766       14.545       14.545        0.000       29.089
 1.802       15.005       15.005        0.000       30.011
 1.839       15.228       15.228        0.000       30.456
 1.875       12.602       12.602        5.380       30.585
 1.875       12.602       12.603        5.380       30.585
 1.920       15.144       15.145        0.000       30.289
 1.964       14.604       14.605        0.000       29.210
 2.009       13.692       13.690        0.000       27.382
 2.054       12.686       12.688        0.000       25.373
 2.098        3.959        3.956       15.830       23.745
 2.143        3.833        3.831       15.328       22.992
 2.188        3.943        3.943       15.771       23.656
 2.232        3.691        3.689       14.760       22.140
 2.277        0.000        0.000        0.000        0.000
 2.322        0.728        0.728        2.913        4.370
 2.366        0.911        0.911        3.643        5.465
 2.411        1.176        1.176        4.703        7.054
 2.456        1.549        1.549        6.195        9.293
 2.500       18.573       18.573        0.000       37.146
 2.545       30.639       30.639        0.000       61.278
 2.590       52.314       52.314        0.000      104.628
 2.634       88.821       88.821        0.000      177.642
 2.679      136.058      136.058        0.000      272.115
 2.723      143.154      143.151       36.720      323.025
