#K-Path     Energy-Level
#Band-index    1
  0.000      -21.0036
  0.031      -21.0036
  0.063      -21.0036
  0.094      -21.0036
  0.126      -21.0036
  0.157      -21.0036
  0.189      -21.0036
  0.220      -21.0036
  0.252      -21.0035
  0.283      -21.0035
  0.315      -21.0035
  0.346      -21.0035
  0.378      -21.0034
  0.409      -21.0034
  0.441      -21.0034
  0.472      -21.0034
  0.504      -21.0033
  0.535      -21.0033
  0.567      -21.0033
  0.598      -21.0033
  0.630      -21.0033
  0.661      -21.0033
  0.693      -21.0033
  0.693      -21.0033
  0.725      -21.0033
  0.758      -21.0033
  0.791      -21.0033
  0.823      -21.0033
  0.856      -21.0033
  0.889      -21.0033
  0.921      -21.0034
  0.954      -21.0034
  0.987      -21.0034
  1.019      -21.0034
  1.052      -21.0034
  1.085      -21.0034
  1.117      -21.0034
  1.150      -21.0034
  1.182      -21.0034
  1.182      -21.0034
  1.214      -21.0035
  1.245      -21.0035
  1.277      -21.0035
  1.308      -21.0035
  1.340      -21.0035
  1.371      -21.0035
  1.403      -21.0035
  1.434      -21.0036
  1.466      -21.0036
  1.497      -21.0036
  1.529      -21.0036
  1.560      -21.0037
  1.592      -21.0037
  1.623      -21.0037
  1.655      -21.0038
  1.686      -21.0038
  1.718      -21.0038
  1.749      -21.0038
  1.781      -21.0038
  1.812      -21.0038
  1.844      -21.0038
  1.875      -21.0038
  1.875      -21.0038
  1.907      -21.0038
  1.938      -21.0038
  1.969      -21.0038
  2.001      -21.0038
  2.032      -21.0038
  2.064      -21.0038
  2.095      -21.0038
  2.126      -21.0037
  2.158      -21.0037
  2.189      -21.0037
  2.221      -21.0036
  2.252      -21.0036
  2.284      -21.0036
  2.315      -21.0035
  2.346      -21.0035
  2.378      -21.0035
  2.409      -21.0034
  2.441      -21.0034
  2.472      -21.0034
  2.504      -21.0034
  2.535      -21.0033
  2.566      -21.0033
  2.598      -21.0033
  2.629      -21.0033
  2.661      -21.0033
  2.692      -21.0033
  2.723      -21.0033
#Band-index    2
  2.723      -16.1078
  2.692      -16.1078
  2.661      -16.1080
  2.629      -16.1082
  2.598      -16.1086
  2.566      -16.1090
  2.535      -16.1096
  2.504      -16.1102
  2.472      -16.1108
  2.441      -16.1116
  2.409      -16.1124
  2.378      -16.1132
  2.346      -16.1141
  2.315      -16.1149
  2.284      -16.1158
  2.252      -16.1167
  2.221      -16.1175
  2.189      -16.1183
  2.158      -16.1191
  2.126      -16.1198
  2.095      -16.1205
  2.064      -16.1211
  2.032      -16.1216
  2.001      -16.1220
  1.969      -16.1224
  1.938      -16.1226
  1.907      -16.1227
  1.875      -16.1228
  1.875      -16.1228
  1.844      -16.1228
  1.812      -16.1227
  1.781      -16.1226
  1.749      -16.1224
  1.718      -16.1222
  1.686      -16.1220
  1.655      -16.1217
  1.623      -16.1214
  1.592      -16.1210
  1.560      -16.1207
  1.529      -16.1203
  1.497      -16.1200
  1.466      -16.1197
  1.434      -16.1193
  1.403      -16.1190
  1.371      -16.1187
  1.340      -16.1185
  1.308      -16.1183
  1.277      -16.1181
  1.245      -16.1180
  1.214      -16.1179
  1.182      -16.1179
  1.182      -16.1179
  1.150      -16.1178
  1.117      -16.1175
  1.085      -16.1169
  1.052      -16.1162
  1.019      -16.1154
  0.987      -16.1144
  0.954      -16.1134
  0.921      -16.1123
  0.889      -16.1113
  0.856      -16.1103
  0.823      -16.1095
  0.791      -16.1088
  0.758      -16.1082
  0.725      -16.1079
  0.693      -16.1078
  0.693      -16.1078
  0.661      -16.1079
  0.630      -16.1081
  0.598      -16.1085
  0.567      -16.1090
  0.535      -16.1096
  0.504      -16.1104
  0.472      -16.1113
  0.441      -16.1122
  0.409      -16.1132
  0.378      -16.1143
  0.346      -16.1154
  0.315      -16.1164
  0.283      -16.1175
  0.252      -16.1185
  0.220      -16.1194
  0.189      -16.1202
  0.157      -16.1210
  0.126      -16.1216
  0.094      -16.1221
