#K-Path   X-component   Y-component   Z-component   Total
#Square of TDM (in Debye^2)
 0.000        0.000      194.850        0.000      194.850
 0.031        0.000      194.963        0.000      194.963
 0.063        0.000      195.416        0.000      195.416
 0.094        0.000      196.467        0.000      196.467
 0.126        0.000      198.356        0.000      198.356
 0.157        0.000      201.219        0.000      201.219
 0.189        0.000      205.094        0.000      205.094
 0.220        0.000      209.958        0.000      209.958
 0.252        0.000      215.750        0.000      215.750
 0.283        0.000      222.366        0.000      222.366
 0.315        0.000      229.634        0.000      229.634
 0.346        0.000      237.274        0.000      237.274
 0.378        0.000      244.851        0.000      244.851
 0.409        0.000      251.769        0.000      251.769
 0.441        0.000      257.369        0.000      257.369
 0.472        0.000      261.218        0.000      261.218
 0.504        0.000      263.569        0.000      263.569
 0.535        0.000      265.671        0.000      265.671
 0.567        0.000      269.481        0.000      269.481
 0.598        0.000      276.683        0.000      276.683
 0.630        0.000      287.215        0.000      287.215
 0.661        0.000      297.780        0.000      297.780
 0.693      134.198      134.196       34.031      302.425
 0.693      134.195      134.199       34.031      302.425
 0.725      148.230      149.278        0.000      297.508
 0.758      143.679      142.863        0.000      286.542
 0.791      137.322      137.017        0.000      274.339
 0.823      130.928      131.116        0.000      262.044
 0.856      124.989      124.552        0.000      249.540
 0.889      118.539      118.542        0.000      237.081
 0.921      112.559      112.627        0.000      225.186
 0.954      106.996      107.327        0.000      214.323
 0.987      102.512      102.277        0.000      204.789
 1.019       98.363       98.366        0.000      196.729
 1.052       95.270       94.917        0.000      190.188
 1.085       92.623       92.530        0.000      185.153
 1.117       90.890       90.704        0.000      181.595
 1.150       89.755       89.720        0.000      179.476
 1.182       89.494       89.279        0.000      178.773
 1.182       89.373       89.400        0.000      178.773
 1.214       84.556       84.556        0.000      169.112
 1.245       72.248       72.248        0.000      144.497
 1.277       57.052       57.052        0.000      114.103
 1.308       42.721       42.721        0.000       85.443
 1.340       30.965       30.965        0.000       61.929
 1.371       22.003       22.003        0.000       44.006
 1.403        0.163        0.163        0.000        0.326
 1.434        0.019        0.019        0.000        0.038
 1.466        0.005        0.005        0.000        0.009
 1.497        0.051        0.051        0.000        0.101
 1.529        0.119        0.119        0.000        0.239
 1.560       12.138       12.138        0.000       24.276
 1.592       10.515       10.515        0.000       21.029
 1.623       10.549       10.549        0.000       21.099
 1.655       11.363       11.363        0.000       22.727
 1.686       12.401       12.401        0.000       24.802
 1.718       13.389       13.389        0.000       26.778
 1.749       14.167       14.167        0.000       28.334
 1.781       14.691       14.691        0.000       29.382
 1.812       15.002       15.002        0.000       30.004
 1.844       15.160       15.160        0.000       30.320
 1.875       11.811       11.811        6.795       30.416
 1.875       11.811       11.811        6.795       30.416
 1.907       15.283       14.992        0.002       30.277
 1.938        4.958        4.974       19.864       29.796
 1.969        4.816        4.815       19.262       28.893
 2.001        4.604        4.605       18.419       27.629
 2.032        4.367        4.367       17.470       26.204
 2.064        4.138        4.138       16.552       24.828
 2.095        3.944        3.945       15.778       23.668
 2.126        3.812        3.813       15.250       22.875
 2.158        3.776        3.777       15.105       22.657
 2.189        3.870        3.870       15.481       23.221
 2.221        3.918        3.918       15.672       23.508
 2.252        3.505        3.506       14.022       21.033
 2.284        0.000        0.000        0.000        0.000
 2.315        0.714        0.714        2.857        4.285
 2.346        0.822        0.822        3.290        4.935
 2.378        0.966        0.966        3.865        5.797
 2.409        1.152        1.152        4.606        6.910
 2.441        1.387        1.387        5.548        8.322
 2.472        1.682        1.682        6.727       10.091
 2.504       19.266       19.266        0.000       38.532
 2.535       27.188       27.189        0.000       54.377
 2.566       39.043       39.043        0.000       78.086
 2.598       56.547       56.546        0.000      113.094
 2.629       81.058       81.059        0.000      162.116
 2.661      111.240      111.241        0.000      222.481
 2.692      139.249      139.250        0.000      278.500
 2.723      134.198      134.196       34.031      302.425
