# Angle    Effective-Mass   Fermi_Velocity   Fitting-Precision
   0.00        1.529           0.230E+05         0.22E-09
  10.00        1.392           0.252E+05         0.29E-09
  20.00        1.109           0.316E+05         0.21E-09
  30.00        0.848           0.412E+05         0.13E-09
  40.00        0.663           0.529E+05         0.49E-09
  50.00        0.540           0.651E+05         0.18E-08
  60.00        0.462           0.764E+05         0.46E-08
  70.00        0.415           0.855E+05         0.99E-08
  80.00        0.389           0.914E+05         0.13E-07
  90.00        0.381           0.935E+05         0.14E-07
 100.00        0.389           0.914E+05         0.13E-07
 110.00        0.415           0.855E+05         0.99E-08
 120.00        0.462           0.764E+05         0.46E-08
 130.00        0.540           0.651E+05         0.18E-08
 140.00        0.663           0.529E+05         0.49E-09
 150.00        0.848           0.412E+05         0.13E-09
 160.00        1.109           0.316E+05         0.21E-09
 170.00        1.392           0.252E+05         0.29E-09
 180.00        1.529           0.230E+05         0.22E-09
 190.00        1.392           0.252E+05         0.29E-09
 200.00        1.109           0.316E+05         0.21E-09
 210.00        0.848           0.412E+05         0.13E-09
 220.00        0.663           0.529E+05         0.49E-09
 230.00        0.540           0.651E+05         0.18E-08
 240.00        0.462           0.764E+05         0.46E-08
 250.00        0.415           0.855E+05         0.99E-08
 260.00        0.389           0.914E+05         0.13E-07
 270.00        0.381           0.935E+05         0.14E-07
 280.00        0.389           0.914E+05         0.13E-07
 290.00        0.415           0.855E+05         0.99E-08
 300.00        0.462           0.764E+05         0.46E-08
 310.00        0.540           0.651E+05         0.18E-08
 320.00        0.663           0.529E+05         0.49E-09
 330.00        0.848           0.412E+05         0.13E-09
 340.00        1.109           0.316E+05         0.21E-09
 350.00        1.392           0.252E+05         0.29E-09
 360.00        1.529           0.230E+05         0.22E-09
