# Angle    Effective-Mass   Fermi_Velocity   Fitting-Precision
   0.00       -0.321           0.110E+06         0.88E-08
  10.00       -0.331           0.107E+06         0.12E-07
  20.00       -0.360           0.992E+05         0.22E-07
  30.00       -0.411           0.878E+05         0.33E-07
  40.00       -0.487           0.745E+05         0.29E-07
  50.00       -0.592           0.612E+05         0.17E-07
  60.00       -0.727           0.492E+05         0.50E-08
  70.00       -0.878           0.398E+05         0.90E-10
  80.00       -1.009           0.338E+05         0.11E-08
  90.00       -1.063           0.318E+05         0.20E-08
 100.00       -1.009           0.338E+05         0.11E-08
 110.00       -0.878           0.398E+05         0.90E-10
 120.00       -0.727           0.492E+05         0.50E-08
 130.00       -0.592           0.612E+05         0.17E-07
 140.00       -0.487           0.745E+05         0.29E-07
 150.00       -0.411           0.878E+05         0.33E-07
 160.00       -0.360           0.992E+05         0.22E-07
 170.00       -0.331           0.107E+06         0.12E-07
 180.00       -0.321           0.110E+06         0.88E-08
 190.00       -0.331           0.107E+06         0.12E-07
 200.00       -0.360           0.992E+05         0.22E-07
 210.00       -0.411           0.878E+05         0.33E-07
 220.00       -0.487           0.745E+05         0.29E-07
 230.00       -0.592           0.612E+05         0.17E-07
 240.00       -0.727           0.492E+05         0.50E-08
 250.00       -0.878           0.398E+05         0.90E-10
 260.00       -1.009           0.338E+05         0.11E-08
 270.00       -1.063           0.318E+05         0.20E-08
 280.00       -1.009           0.338E+05         0.11E-08
 290.00       -0.878           0.398E+05         0.90E-10
 300.00       -0.727           0.492E+05         0.50E-08
 310.00       -0.592           0.612E+05         0.17E-07
 320.00       -0.487           0.745E+05         0.29E-07
 330.00       -0.411           0.878E+05         0.33E-07
 340.00       -0.360           0.992E+05         0.22E-07
 350.00       -0.331           0.107E+06         0.12E-07
 360.00       -0.321           0.110E+06         0.88E-08
