#K-Path     Energy-Level
#Band-index    1
  0.000      -12.5902
  0.041      -12.7769
  0.083      -13.0017
  0.124      -13.2514
  0.166      -13.5160
  0.207      -13.7887
  0.248      -14.0650
  0.290      -14.3416
  0.331      -14.6164
  0.372      -14.8879
  0.414      -15.1550
  0.455      -15.4168
  0.497      -15.6726
  0.538      -15.9220
  0.579      -16.1645
  0.621      -16.3996
  0.662      -16.6273
  0.704      -16.8472
  0.745      -17.0590
  0.786      -17.2627
  0.828      -17.4581
  0.869      -17.6450
  0.910      -17.8233
  0.952      -17.9930
  0.993      -18.1539
  1.035      -18.3060
  1.076      -18.4491
  1.117      -18.5832
  1.159      -18.7083
  1.200      -18.8244
  1.241      -18.9312
  1.283      -19.0290
  1.324      -19.1175
  1.366      -19.1967
  1.407      -19.2667
  1.448      -19.3274
  1.490      -19.3788
  1.531      -19.4209
  1.573      -19.4537
  1.614      -19.4771
  1.655      -19.4911
  1.697      -19.4958
  1.697      -19.4958
  1.739      -19.4910
  1.781      -19.4765
  1.823      -19.4524
  1.865      -19.4187
  1.907      -19.3754
  1.949      -19.3225
  1.991      -19.2600
  2.033      -19.1880
  2.075      -19.1064
  2.116      -19.0154
  2.158      -18.9148
  2.200      -18.8048
  2.242      -18.6854
  2.284      -18.5567
  2.326      -18.4186
  2.368      -18.2713
  2.410      -18.1149
  2.452      -17.9493
  2.494      -17.7747
  2.536      -17.5911
  2.578      -17.3988
  2.620      -17.1977
  2.662      -16.9880
  2.704      -16.7701
  2.746      -16.5440
  2.788      -16.3101
  2.830      -16.0688
  2.872      -15.8207
  2.914      -15.5666
  2.956      -15.3081
  2.998      -15.0478
  3.040      -14.7909
  3.082      -14.5493
  3.124      -14.3534
  3.166      -14.2704
  3.166      -14.2704
  3.208      -14.2662
  3.251      -14.2535
  3.293      -14.2324
  3.336      -14.2029
  3.378      -14.1649
  3.421      -14.1185
  3.463      -14.0638
  3.505      -14.0005
  3.548      -13.9289
  3.590      -13.8489
  3.633      -13.7604
  3.675      -13.6636
  3.717      -13.5584
  3.760      -13.4449
  3.802      -13.3231
  3.845      -13.1929
  3.887      -13.0546
  3.930      -12.9080
  3.972      -12.7532
  4.014      -12.5902
#Band-index    2
  4.014      -12.5902
  3.972      -12.4524
  3.930      -12.3767
  3.887      -12.3585
  3.845      -12.3838
  3.802      -12.4370
  3.760      -12.5064
  3.717      -12.5836
  3.675      -12.6635
  3.633      -12.7427
  3.590      -12.8187
  3.548      -12.8901
  3.505      -12.9557
  3.463      -13.0149
  3.421      -13.0671
  3.378      -13.1116
  3.336      -13.1484
  3.293      -13.1773
  3.251      -13.1980
  3.208      -13.2105
  3.166      -13.2146
  3.166      -13.2146
  3.124      -13.1244
  3.082      -12.9072
  3.040      -12.6299
  2.998      -12.3232
  2.956      -11.9987
  2.914      -11.6624
  2.872      -11.3170
  2.830      -10.9641
  2.788      -10.6049
  2.746      -10.2405
  2.704       -9.8716
  2.662       -9.4991
  2.620       -9.1238
  2.578       -8.7467
  2.536       -8.3680
  2.494       -7.9894
  2.452       -7.6117
  2.410       -7.2361
  2.368       -6.8635
  2.326       -6.4955
  2.284       -6.4847
  2.242       -6.6360
  2.200       -6.7769
  2.158       -6.9066
  2.116       -7.0256
  2.075       -7.1337
  2.033       -7.2305
  1.991       -7.3161
  1.949       -7.3905
  1.907       -7.4535
  1.865       -7.5051
  1.823       -7.5452
  1.781       -7.5739
  1.739       -7.5912
  1.697       -7.5963
  1.697       -7.5963
  1.655       -7.5915
  1.614       -7.5747
  1.573       -7.5469
  1.531       -7.5079
  1.490       -7.4578
  1.448       -7.3966
  1.407       -7.3243
  1.366       -7.2409
  1.324       -7.1468
  1.283       -7.0420
  1.241       -6.9263
  1.200       -6.7999
  1.159       -6.6629
  1.117       -6.5156
  1.076       -6.3581
  1.035       -6.4118
  0.993       -6.7147
  0.952       -7.0167
  0.910       -7.3171
  0.869       -7.6150
  0.828       -7.9099
  0.786       -8.2012
  0.745       -8.4883
  0.704       -8.7705
  0.662       -9.0476
  0.621       -9.3189
  0.579       -9.5847
  0.538       -9.8444
  0.497      -10.0977
  0.455      -10.3446
  0.414      -10.5847
  0.372      -10.8181
  0.331      -11.0442
  0.290      -11.2635
  0.248      -11.4754
  0.207      -11.6799
  0.166      -11.8771
  0.124      -12.0668
  0.083      -12.2489
  0.041      -12.4234
  0.000      -12.5902
#Band-index    3
  0.000      -10.5270
  0.041      -10.4980
  0.083      -10.4192
  0.124      -10.3039
  0.166      -10.1614
  0.207       -9.9982
  0.248       -9.8192
  0.290       -9.6271
  0.331       -9.4241
  0.372       -9.2118
  0.414       -8.9915
  0.455       -8.7641
  0.497       -8.5304
  0.538       -8.2915
  0.579       -8.0480
  0.621       -7.8005
  0.662       -7.5499
  0.704       -7.2966
  0.745       -7.0417
  0.786       -6.7861
  0.828       -6.5305
  0.869       -6.2761
  0.910       -6.0230
  0.952       -5.8255
  0.993       -6.0129
  1.035       -6.1905
  1.076       -6.1091
  1.117       -5.8079
  1.159       -5.5099
  1.200       -5.2168
  1.241       -4.9303
  1.283       -4.6524
  1.324       -4.3859
  1.366       -4.1339
  1.407       -3.9003
  1.448       -3.6869
  1.490       -3.4978
  1.531       -3.3362
  1.573       -3.2065
  1.614       -3.1105
  1.655       -3.0523
  1.697       -3.0340
  1.697       -3.0340
  1.739       -3.0533
  1.781       -3.1132
  1.823       -3.2129
  1.865       -3.3491
  1.907       -3.5194
  1.949       -3.7216
  1.991       -3.9525
  2.033       -4.2094
  2.075       -4.4893
  2.116       -4.7887
  2.158       -5.1053
  2.200       -5.4369
  2.242       -5.7805
  2.284       -6.1340
  2.326       -6.3230
  2.368       -6.1511
  2.410       -5.9691
  2.452       -5.7778
  2.494       -5.5769
  2.536       -5.3795
  2.578       -5.5066
  2.620       -5.6251
  2.662       -5.7366
  2.704       -5.8404
  2.746       -5.9361
  2.788       -6.0236
  2.830       -6.1026
  2.872       -6.1726
  2.914       -6.2334
  2.956       -6.2851
  2.998       -6.3282
  3.040       -6.3614
  3.082       -6.3852
  3.124       -6.3995
  3.166       -6.4043
  3.166       -6.4043
  3.208       -6.4263
  3.251       -6.4929
  3.293       -6.6016
  3.336       -6.7488
  3.378       -6.9314
  3.421       -7.1449
  3.463       -7.3849
  3.505       -7.6464
  3.548       -7.9258
  3.590       -8.2185
  3.633       -8.5196
  3.675       -8.8256
  3.717       -9.1312
  3.760       -9.4310
  3.802       -9.7175
  3.845       -9.9814
  3.887      -10.2091
  3.930      -10.3843
  3.972      -10.4922
  4.014      -10.5270
#Band-index    4
  4.014       -0.0000
  3.972       -0.2259
  3.930       -0.4410
  3.887       -0.6451
  3.845       -0.8382
  3.802       -1.0204
  3.760       -1.1918
  3.717       -1.3508
  3.675       -1.4985
  3.633       -1.6347
  3.590       -1.7593
  3.548       -1.8729
  3.505       -1.9739
  3.463       -2.0636
  3.421       -2.1412
  3.378       -2.2060
  3.336       -2.2606
  3.293       -2.3025
  3.251       -2.3322
  3.208       -2.3500
  3.166       -2.3560
  3.166       -2.3560
  3.124       -2.3875
  3.082       -2.4786
  3.040       -2.6201
  2.998       -2.8004
  2.956       -3.0071
  2.914       -3.2338
  2.872       -3.4721
  2.830       -3.7162
  2.788       -3.9628
  2.746       -4.2089
  2.704       -4.4518
  2.662       -4.6903
  2.620       -4.9229
  2.578       -5.1494
  2.536       -5.3673
  2.494       -5.2478
  2.452       -5.1104
  2.410       -4.9678
  2.368       -4.8210
  2.326       -4.6712
  2.284       -4.5189
  2.242       -4.3657
  2.200       -4.2124
  2.158       -4.0609
  2.116       -3.9127
  2.075       -3.7697
  2.033       -3.6334
  1.991       -3.5060
  1.949       -3.3897
  1.907       -3.2866
  1.865       -3.1986
  1.823       -3.1275
  1.781       -3.0756
  1.739       -3.0444
  1.697       -3.0331
  1.697       -3.0331
  1.655       -3.0442
  1.614       -3.0751
  1.573       -3.1265
  1.531       -3.1977
  1.490       -3.2888
  1.448       -3.3979
  1.407       -3.5249
  1.366       -3.6686
  1.324       -3.8280
  1.283       -4.0027
  1.241       -4.1901
  1.200       -4.3896
  1.159       -4.6000
  1.117       -4.8204
  1.076       -5.0489
  1.035       -5.2845
  0.993       -5.5264
  0.952       -5.7728
  0.910       -5.6287
  0.869       -5.4222
  0.828       -5.2073
  0.786       -4.9837
  0.745       -4.7519
  0.704       -4.5123
  0.662       -4.2653
  0.621       -4.0115
  0.579       -3.7514
  0.538       -3.4856
  0.497       -3.2146
  0.455       -2.9399
  0.414       -2.6621
  0.372       -2.3822
  0.331       -2.1013
  0.290       -1.8204
  0.248       -1.5416
  0.207       -1.2662
  0.166       -0.9954
  0.124       -0.7320
  0.083       -0.4769
  0.041       -0.2324
  0.000       -0.0000
#Band-index    5
  0.000        0.0000
  0.041        0.2304
  0.083        0.4710
  0.124        0.7213
  0.166        0.9816
  0.207        1.2512
  0.248        1.5295
  0.290        1.8165
  0.331        2.1125
  0.372        2.4166
  0.414        2.7291
  0.455        3.0489
  0.497        3.3774
  0.538        3.7098
  0.579        4.0494
  0.621        4.3947
  0.662        4.7448
  0.704        5.1002
  0.745        5.4601
  0.786        5.8205
  0.828        6.0192
  0.869        5.7593
  0.910        5.5119
  0.952        5.2770
  0.993        5.0546
  1.035        4.8449
  1.076        4.6478
  1.117        4.4633
  1.159        4.2916
  1.200        4.1325
  1.241        3.9861
  1.283        3.8524
  1.324        3.7315
  1.366        3.6233
  1.407        3.5278
  1.448        3.4450
  1.490        3.3750
  1.531        3.3177
  1.573        3.2732
  1.614        3.2414
  1.655        3.2223
  1.697        3.2159
  1.697        3.2159
  1.739        3.2225
  1.781        3.2421
  1.823        3.2749
  1.865        3.3207
  1.907        3.3797
  1.949        3.4517
  1.991        3.5369
  2.033        3.6351
  2.075        3.7464
  2.116        3.8708
  2.158        4.0083
  2.200        4.1589
  2.242        4.3225
  2.284        4.4991
  2.326        4.6887
  2.368        4.8912
  2.410        5.1067
  2.452        5.3350
  2.494        5.5761
  2.536        5.8299
  2.578        5.8118
  2.620        5.4218
  2.662        5.0290
  2.704        4.6383
  2.746        4.2526
  2.788        3.8756
  2.830        3.5090
  2.872        3.1572
  2.914        2.8252
  2.956        2.5187
  2.998        2.2428
  3.040        2.0106
  3.082        1.8318
  3.124        1.7184
  3.166        1.6793
  3.166        1.6793
  3.208        1.6783
  3.251        1.6739
  3.293        1.6654
  3.336        1.6541
  3.378        1.6374
  3.421        1.6156
  3.463        1.5872
  3.505        1.5513
  3.548        1.5056
  3.590        1.4494
  3.633        1.3805
  3.675        1.2962
  3.717        1.1974
  3.760        1.0808
  3.802        0.9465
  3.845        0.7933
  3.887        0.6213
  3.930        0.4310
  3.972        0.2235
  4.014        0.0000
#Band-index    6
  4.014       10.6126
  3.972       10.6241
  3.930       10.6597
  3.887       10.7205
  3.845       10.8059
  3.802       10.9139
  3.760       11.0411
  3.717       11.1826
  3.675       10.7848
  3.633       10.3331
  3.590        9.8903
  3.548        9.4652
  3.505        9.0640
  3.463        8.6913
  3.421        8.3540
  3.378        8.0571
  3.336        7.8056
  3.293        7.6040
  3.251        7.4568
  3.208        7.3673
  3.166        7.3371
  3.166        7.3371
  3.124        7.3395
  3.082        7.3464
  3.040        7.3581
  2.998        7.3746
  2.956        7.3965
  2.914        7.4215
  2.872        7.4487
  2.830        7.4742
  2.788        7.4645
  2.746        7.2619
  2.704        6.9640
  2.662        6.6648
  2.620        6.3748
  2.578        6.0962
  2.536        6.1922
  2.494        6.4870
  2.452        6.4346
  2.410        6.2378
  2.368        6.0328
  2.326        5.8354
  2.284        5.6487
  2.242        5.4739
  2.200        5.3115
  2.158        5.1618
  2.116        5.0249
  2.075        4.9008
  2.033        4.7897
  1.991        4.6916
  1.949        4.6065
  1.907        4.5345
  1.865        4.4755
  1.823        4.4297
  1.781        4.3969
  1.739        4.3772
  1.697        4.3709
  1.697        4.3709
  1.655        4.3770
  1.614        4.3961
  1.573        4.4279
  1.531        4.4725
  1.490        4.5298
  1.448        4.5997
  1.407        4.6824
  1.366        4.7778
  1.324        4.8858
  1.283        5.0064
  1.241        5.1396
  1.200        5.2853
  1.159        5.4436
