   #Energy      xx(%)           yy(%)
   0.000      0.0000E+00      0.0000E+00
   0.018      0.1824E+01      0.1824E+01
   0.037      0.1828E+01      0.1828E+01
   0.055      0.1834E+01      0.1834E+01
   0.073      0.1842E+01      0.1842E+01
   0.091      0.1853E+01      0.1853E+01
   0.110      0.1864E+01      0.1864E+01
   0.128      0.1879E+01      0.1879E+01
   0.146      0.1895E+01      0.1895E+01
   0.165      0.1912E+01      0.1912E+01
   0.183      0.1930E+01      0.1930E+01
   0.201      0.1949E+01      0.1949E+01
   0.220      0.1969E+01      0.1969E+01
   0.238      0.1989E+01      0.1989E+01
   0.256      0.2010E+01      0.2010E+01
   0.274      0.2031E+01      0.2031E+01
   0.293      0.2052E+01      0.2052E+01
   0.311      0.2073E+01      0.2073E+01
   0.329      0.2094E+01      0.2094E+01
   0.347      0.2115E+01      0.2115E+01
   0.366      0.2136E+01      0.2136E+01
   0.384      0.2156E+01      0.2156E+01
   0.402      0.2176E+01      0.2176E+01
   0.421      0.2195E+01      0.2195E+01
   0.439      0.2214E+01      0.2214E+01
   0.457      0.2232E+01      0.2232E+01
   0.476      0.2249E+01      0.2249E+01
   0.494      0.2265E+01      0.2265E+01
   0.512      0.2280E+01      0.2280E+01
   0.530      0.2295E+01      0.2295E+01
   0.549      0.2309E+01      0.2309E+01
   0.567      0.2322E+01      0.2322E+01
   0.585      0.2335E+01      0.2335E+01
   0.604      0.2347E+01      0.2347E+01
   0.622      0.2359E+01      0.2359E+01
   0.640      0.2370E+01      0.2370E+01
   0.658      0.2380E+01      0.2380E+01
   0.677      0.2390E+01      0.2390E+01
   0.695      0.2399E+01      0.2399E+01
   0.713      0.2408E+01      0.2408E+01
   0.732      0.2417E+01      0.2417E+01
   0.750      0.2425E+01      0.2425E+01
   0.768      0.2432E+01      0.2432E+01
   0.786      0.2440E+01      0.2440E+01
   0.805      0.2447E+01      0.2447E+01
   0.823      0.2454E+01      0.2454E+01
   0.841      0.2461E+01      0.2461E+01
   0.860      0.2468E+01      0.2468E+01
   0.878      0.2474E+01      0.2474E+01
   0.896      0.2480E+01      0.2480E+01
   0.914      0.2487E+01      0.2487E+01
   0.933      0.2493E+01      0.2493E+01
   0.951      0.2499E+01      0.2499E+01
   0.969      0.2505E+01      0.2505E+01
   0.988      0.2512E+01      0.2512E+01
   1.006      0.2518E+01      0.2518E+01
   1.024      0.2524E+01      0.2524E+01
   1.043      0.2530E+01      0.2530E+01
   1.061      0.2536E+01      0.2536E+01
   1.079      0.2542E+01      0.2542E+01
   1.097      0.2548E+01      0.2548E+01
   1.116      0.2554E+01      0.2554E+01
   1.134      0.2561E+01      0.2561E+01
   1.152      0.2567E+01      0.2567E+01
   1.171      0.2574E+01      0.2574E+01
   1.189      0.2581E+01      0.2581E+01
   1.207      0.2587E+01      0.2587E+01
   1.226      0.2594E+01      0.2594E+01
   1.244      0.2601E+01      0.2601E+01
   1.262      0.2608E+01      0.2608E+01
   1.280      0.2615E+01      0.2615E+01
   1.299      0.2622E+01      0.2622E+01
   1.317      0.2630E+01      0.2630E+01
   1.335      0.2637E+01      0.2637E+01
   1.353      0.2645E+01      0.2645E+01
   1.372      0.2652E+01      0.2652E+01
   1.390      0.2660E+01      0.2660E+01
   1.408      0.2668E+01      0.2668E+01
   1.427      0.2677E+01      0.2676E+01
   1.445      0.2685E+01      0.2685E+01
   1.463      0.2693E+01      0.2693E+01
   1.482      0.2702E+01      0.2702E+01
   1.500      0.2711E+01      0.2711E+01
   1.518      0.2720E+01      0.2720E+01
   1.536      0.2729E+01      0.2729E+01
   1.555      0.2738E+01      0.2738E+01
   1.573      0.2747E+01      0.2747E+01
   1.591      0.2756E+01      0.2756E+01
   1.610      0.2766E+01      0.2766E+01
   1.628      0.2775E+01      0.2775E+01
   1.646      0.2785E+01      0.2785E+01
   1.665      0.2796E+01      0.2796E+01
   1.683      0.2806E+01      0.2806E+01
   1.701      0.2816E+01      0.2816E+01
   1.719      0.2827E+01      0.2827E+01
   1.738      0.2838E+01      0.2838E+01
