   #Energy      xx(%)           yy(%)
   0.000      0.0000E+00      0.0000E+00
   0.018      0.8475E-02      0.8475E-02
   0.037      0.8524E-02      0.8524E-02
   0.055      0.8604E-02      0.8604E-02
   0.073      0.8714E-02      0.8714E-02
   0.091      0.8852E-02      0.8852E-02
   0.110      0.8999E-02      0.8999E-02
   0.128      0.9187E-02      0.9187E-02
   0.146      0.9393E-02      0.9393E-02
   0.165      0.9616E-02      0.9616E-02
   0.183      0.9853E-02      0.9853E-02
   0.201      0.1010E-01      0.1010E-01
   0.220      0.1036E-01      0.1036E-01
   0.238      0.1062E-01      0.1062E-01
   0.256      0.1089E-01      0.1089E-01
   0.274      0.1117E-01      0.1117E-01
   0.293      0.1145E-01      0.1145E-01
   0.311      0.1172E-01      0.1172E-01
   0.329      0.1200E-01      0.1200E-01
   0.347      0.1227E-01      0.1227E-01
   0.366      0.1255E-01      0.1255E-01
   0.384      0.1281E-01      0.1281E-01
   0.402      0.1308E-01      0.1308E-01
   0.421      0.1333E-01      0.1333E-01
   0.439      0.1358E-01      0.1358E-01
   0.457      0.1381E-01      0.1381E-01
   0.476      0.1404E-01      0.1404E-01
   0.494      0.1425E-01      0.1425E-01
   0.512      0.1446E-01      0.1446E-01
   0.530      0.1466E-01      0.1466E-01
   0.549      0.1485E-01      0.1485E-01
   0.567      0.1503E-01      0.1503E-01
   0.585      0.1521E-01      0.1521E-01
   0.604      0.1537E-01      0.1537E-01
   0.622      0.1554E-01      0.1554E-01
   0.640      0.1569E-01      0.1569E-01
   0.658      0.1584E-01      0.1584E-01
   0.677      0.1599E-01      0.1599E-01
   0.695      0.1612E-01      0.1612E-01
   0.713      0.1626E-01      0.1626E-01
   0.732      0.1639E-01      0.1639E-01
   0.750      0.1651E-01      0.1651E-01
   0.768      0.1663E-01      0.1663E-01
   0.786      0.1676E-01      0.1676E-01
   0.805      0.1687E-01      0.1687E-01
   0.823      0.1699E-01      0.1699E-01
   0.841      0.1711E-01      0.1711E-01
   0.860      0.1722E-01      0.1722E-01
   0.878      0.1734E-01      0.1734E-01
   0.896      0.1745E-01      0.1745E-01
   0.914      0.1757E-01      0.1757E-01
   0.933      0.1768E-01      0.1768E-01
   0.951      0.1780E-01      0.1780E-01
   0.969      0.1792E-01      0.1792E-01
   0.988      0.1804E-01      0.1804E-01
   1.006      0.1815E-01      0.1815E-01
   1.024      0.1827E-01      0.1827E-01
   1.043      0.1840E-01      0.1840E-01
   1.061      0.1852E-01      0.1852E-01
   1.079      0.1864E-01      0.1864E-01
   1.097      0.1877E-01      0.1877E-01
   1.116      0.1890E-01      0.1890E-01
   1.134      0.1903E-01      0.1903E-01
   1.152      0.1917E-01      0.1917E-01
   1.171      0.1931E-01      0.1931E-01
   1.189      0.1945E-01      0.1945E-01
   1.207      0.1960E-01      0.1960E-01
   1.226      0.1974E-01      0.1974E-01
   1.244      0.1989E-01      0.1989E-01
   1.262      0.2004E-01      0.2004E-01
   1.280      0.2019E-01      0.2019E-01
   1.299      0.2035E-01      0.2035E-01
   1.317      0.2051E-01      0.2051E-01
   1.335      0.2067E-01      0.2067E-01
   1.353      0.2083E-01      0.2083E-01
   1.372      0.2100E-01      0.2100E-01
   1.390      0.2118E-01      0.2118E-01
   1.408      0.2136E-01      0.2136E-01
   1.427      0.2154E-01      0.2154E-01
   1.445      0.2172E-01      0.2172E-01
   1.463      0.2191E-01      0.2191E-01
   1.482      0.2210E-01      0.2210E-01
   1.500      0.2229E-01      0.2229E-01
   1.518      0.2248E-01      0.2248E-01
   1.536      0.2268E-01      0.2268E-01
   1.555      0.2289E-01      0.2289E-01
   1.573      0.2309E-01      0.2309E-01
   1.591      0.2330E-01      0.2330E-01
   1.610      0.2352E-01      0.2352E-01
   1.628      0.2373E-01      0.2373E-01
   1.646      0.2396E-01      0.2396E-01
   1.665      0.2419E-01      0.2419E-01
   1.683      0.2442E-01      0.2442E-01
   1.701      0.2465E-01      0.2465E-01
   1.719      0.2490E-01      0.2490E-01
   1.738      0.2514E-01      0.2514E-01
   1.756      0.2539E-01      0.2539E-01
   1.774      0.2564E-01      0.2564E-01
   1.792      0.2590E-01      0.2590E-01
   1.811      0.2616E-01      0.2616E-01
   1.829      0.2642E-01      0.2642E-01
   1.847      0.2669E-01      0.2669E-01
   1.866      0.2697E-01      0.2697E-01
   1.884      0.2724E-01      0.2724E-01
   1.902      0.2753E-01      0.2753E-01
   1.921      0.2782E-01      0.2782E-01
   1.939      0.2812E-01      0.2812E-01
   1.957      0.2842E-01      0.2842E-01
   1.975      0.2873E-01      0.2873E-01
   1.994      0.2905E-01      0.2905E-01
   2.012      0.2937E-01      0.2937E-01
   2.030      0.2970E-01      0.2970E-01
   2.049      0.3003E-01      0.3003E-01
   2.067      0.3036E-01      0.3036E-01
   2.085      0.3071E-01      0.3071E-01
   2.103      0.3106E-01      0.3106E-01
   2.122      0.3141E-01      0.3141E-01
   2.140      0.3178E-01      0.3178E-01
   2.158      0.3215E-01      0.3215E-01
   2.177      0.3253E-01      0.3253E-01
   2.195      0.3291E-01      0.3291E-01
   2.213      0.3331E-01      0.3331E-01
   2.232      0.3372E-01      0.3372E-01
   2.250      0.3413E-01      0.3413E-01
   2.268      0.3455E-01      0.3455E-01
   2.286      0.3498E-01      0.3498E-01
   2.305      0.3541E-01      0.3541E-01
   2.323      0.3585E-01      0.3585E-01
   2.341      0.3630E-01      0.3630E-01
   2.360      0.3676E-01      0.3676E-01
   2.378      0.3722E-01      0.3722E-01
   2.396      0.3769E-01      0.3769E-01
   2.414      0.3818E-01      0.3818E-01
   2.433      0.3867E-01      0.3867E-01
   2.451      0.3918E-01      0.3918E-01
   2.469      0.3969E-01      0.3969E-01
   2.487      0.4022E-01      0.4022E-01
   2.506      0.4076E-01      0.4076E-01
   2.524      0.4131E-01      0.4131E-01
   2.542      0.4188E-01      0.4188E-01
   2.561      0.4245E-01      0.4245E-01
   2.579      0.4304E-01      0.4304E-01
   2.597      0.4363E-01      0.4363E-01
   2.616      0.4424E-01      0.4424E-01
   2.634      0.4486E-01      0.4486E-01
   2.652      0.4549E-01      0.4549E-01
   2.670      0.4613E-01      0.4613E-01
   2.689      0.4679E-01      0.4679E-01
   2.707      0.4747E-01      0.4747E-01
   2.725      0.4816E-01      0.4816E-01
   2.744      0.4888E-01      0.4888E-01
