   #Energy      xx(%)           yy(%)
   0.000      0.0000E+00      0.0000E+00
   0.008      0.6603E+00      0.9428E+00
   0.016      0.6604E+00      0.9430E+00
   0.024      0.6604E+00      0.9433E+00
   0.032      0.6604E+00      0.9436E+00
   0.040      0.6605E+00      0.9441E+00
   0.047      0.6605E+00      0.9447E+00
   0.055      0.6606E+00      0.9454E+00
   0.063      0.6607E+00      0.9462E+00
   0.071      0.6608E+00      0.9472E+00
   0.079      0.6609E+00      0.9482E+00
   0.087      0.6610E+00      0.9494E+00
   0.095      0.6618E+00      0.9516E+00
   0.103      0.6619E+00      0.9530E+00
   0.111      0.6620E+00      0.9544E+00
   0.119      0.6621E+00      0.9560E+00
   0.127      0.6623E+00      0.9577E+00
   0.134      0.6624E+00      0.9595E+00
   0.142      0.6626E+00      0.9615E+00
   0.150      0.6628E+00      0.9636E+00
   0.158      0.6630E+00      0.9659E+00
   0.166      0.6632E+00      0.9683E+00
   0.174      0.6634E+00      0.9708E+00
   0.182      0.6636E+00      0.9735E+00
   0.190      0.6639E+00      0.9764E+00
   0.198      0.6641E+00      0.9794E+00
   0.205      0.6644E+00      0.9826E+00
   0.213      0.6647E+00      0.9859E+00
   0.221      0.6650E+00      0.9894E+00
   0.229      0.6653E+00      0.9931E+00
   0.237      0.6656E+00      0.9970E+00
   0.245      0.6659E+00      0.1001E+01
   0.253      0.6663E+00      0.1005E+01
   0.261      0.6667E+00      0.1010E+01
   0.269      0.6673E+00      0.1015E+01
   0.277      0.6677E+00      0.1020E+01
   0.285      0.6680E+00      0.1025E+01
   0.292      0.6684E+00      0.1031E+01
   0.300      0.6689E+00      0.1036E+01
   0.308      0.6693E+00      0.1042E+01
   0.316      0.6697E+00      0.1049E+01
   0.324      0.6702E+00      0.1055E+01
   0.332      0.6707E+00      0.1062E+01
   0.340      0.6711E+00      0.1069E+01
   0.348      0.6716E+00      0.1077E+01
   0.356      0.6721E+00      0.1085E+01
   0.364      0.6726E+00      0.1093E+01
   0.371      0.6732E+00      0.1102E+01
   0.379      0.6737E+00      0.1111E+01
   0.387      0.6743E+00      0.1121E+01
   0.395      0.6748E+00      0.1131E+01
   0.403      0.6754E+00      0.1142E+01
   0.411      0.6760E+00      0.1153E+01
   0.419      0.6766E+00      0.1165E+01
   0.427      0.6773E+00      0.1177E+01
   0.435      0.6779E+00      0.1190E+01
   0.443      0.6787E+00      0.1204E+01
   0.451      0.6794E+00      0.1219E+01
   0.459      0.6801E+00      0.1234E+01
   0.466      0.6807E+00      0.1250E+01
   0.474      0.6814E+00      0.1267E+01
   0.482      0.6822E+00      0.1284E+01
   0.490      0.6829E+00      0.1303E+01
   0.498      0.6836E+00      0.1323E+01
   0.506      0.6844E+00      0.1343E+01
   0.514      0.6852E+00      0.1365E+01
   0.522      0.6860E+00      0.1388E+01
   0.530      0.6868E+00      0.1412E+01
   0.537      0.6876E+00      0.1437E+01
   0.545      0.6885E+00      0.1463E+01
   0.553      0.6894E+00      0.1491E+01
   0.561      0.6902E+00      0.1520E+01
   0.569      0.6911E+00      0.1550E+01
   0.577      0.6920E+00      0.1582E+01
   0.585      0.6929E+00      0.1615E+01
   0.593      0.6939E+00      0.1650E+01
   0.601      0.6949E+00      0.1686E+01
   0.609      0.6959E+00      0.1724E+01
   0.617      0.6970E+00      0.1763E+01
   0.625      0.6980E+00      0.1804E+01
   0.632      0.6990E+00      0.1847E+01
   0.640      0.7000E+00      0.1891E+01
   0.648      0.7011E+00      0.1936E+01
   0.656      0.7022E+00      0.1983E+01
   0.664      0.7034E+00      0.2032E+01
   0.672      0.7045E+00      0.2082E+01
   0.680      0.7057E+00      0.2134E+01
   0.688      0.7069E+00      0.2187E+01
   0.696      0.7080E+00      0.2242E+01
   0.704      0.7092E+00      0.2298E+01
   0.711      0.7105E+00      0.2355E+01
   0.719      0.7118E+00      0.2414E+01
   0.727      0.7130E+00      0.2473E+01
   0.735      0.7144E+00      0.2534E+01
   0.743      0.7158E+00      0.2595E+01
   0.751      0.7171E+00      0.2657E+01
   0.759      0.7185E+00      0.2720E+01
   0.767      0.7199E+00      0.2783E+01
   0.775      0.7214E+00      0.2847E+01
   0.782      0.7229E+00      0.2911E+01
   0.790      0.7244E+00      0.2976E+01
   0.798      0.7260E+00      0.3040E+01
   0.806      0.7276E+00      0.3104E+01
   0.814      0.7291E+00      0.3167E+01
   0.822      0.7307E+00      0.3230E+01
   0.830      0.7324E+00      0.3292E+01
   0.838      0.7341E+00      0.3354E+01
   0.846      0.7358E+00      0.3414E+01
   0.854      0.7375E+00      0.3474E+01
   0.862      0.7393E+00      0.3532E+01
   0.870      0.7412E+00      0.3589E+01
   0.877      0.7430E+00      0.3644E+01
   0.885      0.7448E+00      0.3697E+01
   0.893      0.7468E+00      0.3749E+01
   0.901      0.7487E+00      0.3799E+01
   0.909      0.7507E+00      0.3847E+01
   0.917      0.7527E+00      0.3892E+01
   0.925      0.7548E+00      0.3936E+01
   0.933      0.7569E+00      0.3977E+01
   0.941      0.7590E+00      0.4016E+01
   0.949      0.7611E+00      0.4052E+01
   0.956      0.7633E+00      0.4086E+01
   0.964      0.7656E+00      0.4118E+01
   0.972      0.7679E+00      0.4147E+01
   0.980      0.7703E+00      0.4174E+01
   0.988      0.7726E+00      0.4198E+01
   0.996      0.7750E+00      0.4219E+01
   1.004      0.7774E+00      0.4238E+01
   1.012      0.7799E+00      0.4255E+01
   1.020      0.7824E+00      0.4269E+01
   1.028      0.7850E+00      0.4281E+01
   1.036      0.7876E+00      0.4291E+01
   1.043      0.7903E+00      0.4299E+01
   1.051      0.7930E+00      0.4304E+01
   1.059      0.7956E+00      0.4307E+01
   1.067      0.7984E+00      0.4308E+01
   1.075      0.8012E+00      0.4308E+01
   1.083      0.8041E+00      0.4305E+01
   1.091      0.8070E+00      0.4301E+01
   1.099      0.8099E+00      0.4295E+01
   1.107      0.8129E+00      0.4287E+01
   1.115      0.8159E+00      0.4278E+01
   1.122      0.8190E+00      0.4268E+01
   1.130      0.8221E+00      0.4256E+01
   1.138      0.8253E+00      0.4244E+01
   1.146      0.8286E+00      0.4230E+01
   1.154      0.8318E+00      0.4215E+01
   1.162      0.8351E+00      0.4199E+01
   1.170      0.8384E+00      0.4182E+01
   1.178      0.8418E+00      0.4164E+01
   1.186      0.8453E+00      0.4146E+01
   1.194      0.8487E+00      0.4127E+01
   1.202      0.8522E+00      0.4108E+01
   1.209      0.8558E+00      0.4088E+01
   1.217      0.8595E+00      0.4067E+01
   1.225      0.8631E+00      0.4046E+01
   1.233      0.8669E+00      0.4025E+01
   1.241      0.8707E+00      0.4004E+01
   1.249      0.8745E+00      0.3982E+01
   1.257      0.8783E+00      0.3961E+01
   1.265      0.8823E+00      0.3939E+01
   1.273      0.8862E+00      0.3917E+01
   1.280      0.8903E+00      0.3895E+01
   1.288      0.8944E+00      0.3873E+01
   1.296      0.8986E+00      0.3851E+01
   1.304      0.9028E+00      0.3829E+01
   1.312      0.9069E+00      0.3807E+01
   1.320      0.9114E+00      0.3786E+01
   1.328      0.9157E+00      0.3764E+01
   1.336      0.9201E+00      0.3743E+01
   1.344      0.9246E+00      0.3721E+01
   1.352      0.9292E+00      0.3700E+01
   1.360      0.9337E+00      0.3679E+01
   1.367      0.9384E+00      0.3659E+01
   1.375      0.9432E+00      0.3638E+01
   1.383      0.9479E+00      0.3618E+01
   1.391      0.9528E+00      0.3598E+01
   1.399      0.9578E+00      0.3578E+01
   1.407      0.9628E+00      0.3559E+01
   1.415      0.9678E+00      0.3539E+01
   1.423      0.9730E+00      0.3520E+01
   1.431      0.9782E+00      0.3502E+01
   1.439      0.9834E+00      0.3483E+01
   1.446      0.9888E+00      0.3465E+01
   1.454      0.9942E+00      0.3447E+01
   1.462      0.9997E+00      0.3429E+01
   1.470      0.1005E+01      0.3412E+01
   1.478      0.1011E+01      0.3395E+01
   1.486      0.1017E+01      0.3378E+01
   1.494      0.1022E+01      0.3362E+01
   1.502      0.1028E+01      0.3346E+01
   1.510      0.1034E+01      0.3330E+01
   1.518      0.1040E+01      0.3314E+01
   1.526      0.1046E+01      0.3299E+01
   1.534      0.1053E+01      0.3283E+01
   1.541      0.1059E+01      0.3269E+01
   1.549      0.1065E+01      0.3254E+01
   1.557      0.1072E+01      0.3240E+01
   1.565      0.1078E+01      0.3226E+01
   1.573      0.1085E+01      0.3212E+01
   1.581      0.1092E+01      0.3199E+01
   1.589      0.1098E+01      0.3186E+01
   1.597      0.1105E+01      0.3173E+01
   1.605      0.1112E+01      0.3160E+01
   1.613      0.1119E+01      0.3148E+01
   1.620      0.1126E+01      0.3136E+01
   1.628      0.1134E+01      0.3124E+01
   1.636      0.1141E+01      0.3113E+01
   1.644      0.1148E+01      0.3101E+01
   1.652      0.1156E+01      0.3090E+01
   1.660      0.1163E+01      0.3080E+01
   1.668      0.1171E+01      0.3069E+01
   1.676      0.1179E+01      0.3059E+01
   1.684      0.1187E+01      0.3049E+01
   1.692      0.1195E+01      0.3040E+01
   1.700      0.1203E+01      0.3030E+01
   1.707      0.1211E+01      0.3021E+01
   1.715      0.1219E+01      0.3013E+01
   1.723      0.1228E+01      0.3004E+01
   1.731      0.1236E+01      0.2996E+01
   1.739      0.1245E+01      0.2988E+01
   1.747      0.1253E+01      0.2980E+01
   1.755      0.1262E+01      0.2973E+01
   1.763      0.1271E+01      0.2966E+01
   1.771      0.1280E+01      0.2959E+01
   1.778      0.1289E+01      0.2952E+01
   1.786      0.1298E+01      0.2946E+01
   1.794      0.1308E+01      0.2940E+01
   1.802      0.1317E+01      0.2934E+01
   1.810      0.1327E+01      0.2929E+01
   1.818      0.1337E+01      0.2924E+01
   1.826      0.1347E+01      0.2919E+01
   1.834      0.1357E+01      0.2915E+01
   1.842      0.1367E+01      0.2911E+01
   1.850      0.1377E+01      0.2907E+01
   1.858      0.1388E+01      0.2904E+01
   1.865      0.1398E+01      0.2901E+01
   1.873      0.1409E+01      0.2898E+01
   1.881      0.1420E+01      0.2896E+01
   1.889      0.1431E+01      0.2894E+01
   1.897      0.1443E+01      0.2892E+01
   1.905      0.1454E+01      0.2891E+01
   1.913      0.1466E+01      0.2890E+01
   1.921      0.1478E+01      0.2890E+01
   1.929      0.1491E+01      0.2890E+01
   1.937      0.1503E+01      0.2891E+01
   1.944      0.1516E+01      0.2891E+01
   1.952      0.1529E+01      0.2893E+01
   1.960      0.1542E+01      0.2895E+01
   1.968      0.1556E+01      0.2898E+01
   1.976      0.1570E+01      0.2901E+01
   1.984      0.1584E+01      0.2904E+01
   1.992      0.1599E+01      0.2909E+01
   2.000      0.1614E+01      0.2913E+01
   2.008      0.1629E+01      0.2919E+01
   2.016      0.1645E+01      0.2925E+01
   2.024      0.1661E+01      0.2932E+01
   2.031      0.1678E+01      0.2940E+01
   2.039      0.1695E+01      0.2948E+01
   2.047      0.1712E+01      0.2957E+01
   2.055      0.1730E+01      0.2967E+01
   2.063      0.1749E+01      0.2978E+01
   2.071      0.1768E+01      0.2989E+01
   2.079      0.1788E+01      0.3002E+01
   2.087      0.1809E+01      0.3015E+01
   2.095      0.1830E+01      0.3029E+01
   2.103      0.1852E+01      0.3045E+01
   2.111      0.1875E+01      0.3061E+01
   2.118      0.1898E+01      0.3078E+01
   2.126      0.1923E+01      0.3097E+01
   2.134      0.1948E+01      0.3116E+01
   2.142      0.1974E+01      0.3137E+01
   2.150      0.2002E+01      0.3158E+01
   2.158      0.2030E+01      0.3181E+01
   2.166      0.2059E+01      0.3205E+01
   2.174      0.2090E+01      0.3230E+01
   2.182      0.2122E+01      0.3256E+01
   2.189      0.2155E+01      0.3284E+01
   2.197      0.2189E+01      0.3313E+01
   2.205      0.2225E+01      0.3343E+01
   2.213      0.2262E+01      0.3374E+01
   2.221      0.2300E+01      0.3406E+01
   2.229      0.2341E+01      0.3440E+01
   2.237      0.2382E+01      0.3474E+01
   2.245      0.2425E+01      0.3510E+01
   2.253      0.2470E+01      0.3547E+01
   2.261      0.2517E+01      0.3585E+01
   2.269      0.2565E+01      0.3624E+01
   2.276      0.2615E+01      0.3664E+01
   2.284      0.2667E+01      0.3706E+01
   2.292      0.2721E+01      0.3748E+01
   2.300      0.2777E+01      0.3791E+01
   2.308      0.2834E+01      0.3835E+01
   2.316      0.2893E+01      0.3880E+01
   2.324      0.2955E+01      0.3926E+01
   2.332      0.3018E+01      0.3972E+01
   2.340      0.3083E+01      0.4020E+01
   2.348      0.3150E+01      0.4067E+01
   2.356      0.3219E+01      0.4116E+01
   2.363      0.3289E+01      0.4165E+01
   2.371      0.3362E+01      0.4214E+01
   2.379      0.3436E+01      0.4264E+01
   2.387      0.3512E+01      0.4314E+01
   2.395      0.3589E+01      0.4364E+01
   2.403      0.3668E+01      0.4414E+01
   2.411      0.3749E+01      0.4464E+01
   2.419      0.3831E+01      0.4515E+01
   2.427      0.3914E+01      0.4565E+01
   2.435      0.3999E+01      0.4615E+01
   2.442      0.4085E+01      0.4665E+01
   2.450      0.4172E+01      0.4715E+01
   2.458      0.4260E+01      0.4765E+01
   2.466      0.4349E+01      0.4814E+01
   2.474      0.4439E+01      0.4862E+01
   2.482      0.4530E+01      0.4911E+01
   2.490      0.4621E+01      0.4958E+01
   2.498      0.4713E+01      0.5005E+01
   2.506      0.4806E+01      0.5052E+01
   2.514      0.4899E+01      0.5097E+01
   2.522      0.4992E+01      0.5143E+01
   2.529      0.5086E+01      0.5187E+01
   2.537      0.5179E+01      0.5231E+01
   2.545      0.5273E+01      0.5274E+01
   2.553      0.5367E+01      0.5316E+01
   2.561      0.5461E+01      0.5357E+01
   2.569      0.5555E+01      0.5398E+01
   2.577      0.5649E+01      0.5437E+01
   2.585      0.5743E+01      0.5476E+01
   2.593      0.5837E+01      0.5514E+01
   2.601      0.5930E+01      0.5551E+01
   2.608      0.6024E+01      0.5588E+01
   2.616      0.6117E+01      0.5623E+01
   2.624      0.6210E+01      0.5658E+01
   2.632      0.6303E+01      0.5691E+01
   2.640      0.6395E+01      0.5725E+01
   2.648      0.6487E+01      0.5757E+01
   2.656      0.6579E+01      0.5788E+01
   2.664      0.6671E+01      0.5819E+01
   2.672      0.6763E+01      0.5849E+01
   2.680      0.6855E+01      0.5878E+01
   2.688      0.6947E+01      0.5907E+01
   2.695      0.7038E+01      0.5934E+01
   2.703      0.7129E+01      0.5961E+01
   2.711      0.7220E+01      0.5988E+01
   2.719      0.7311E+01      0.6014E+01
   2.727      0.7402E+01      0.6039E+01
   2.735      0.7493E+01      0.6063E+01
   2.743      0.7583E+01      0.6087E+01
   2.751      0.7673E+01      0.6110E+01
   2.759      0.7764E+01      0.6133E+01
   2.767      0.7854E+01      0.6155E+01
   2.775      0.7944E+01      0.6176E+01
   2.782      0.8033E+01      0.6197E+01
