   #Energy      xx              yy   
   0.000      0.0000E+00      0.0000E+00
   0.008      0.2900E+00      0.4152E+00
   0.016      0.2900E+00      0.4153E+00
   0.024      0.2900E+00      0.4154E+00
   0.032      0.2900E+00      0.4155E+00
   0.040      0.2900E+00      0.4158E+00
   0.047      0.2900E+00      0.4160E+00
   0.055      0.2901E+00      0.4163E+00
   0.063      0.2901E+00      0.4167E+00
   0.071      0.2902E+00      0.4171E+00
   0.079      0.2902E+00      0.4176E+00
   0.087      0.2903E+00      0.4181E+00
   0.095      0.2906E+00      0.4191E+00
   0.103      0.2907E+00      0.4197E+00
   0.111      0.2907E+00      0.4203E+00
   0.119      0.2908E+00      0.4210E+00
   0.127      0.2908E+00      0.4218E+00
   0.134      0.2909E+00      0.4226E+00
   0.142      0.2910E+00      0.4235E+00
   0.150      0.2910E+00      0.4244E+00
   0.158      0.2911E+00      0.4254E+00
   0.166      0.2912E+00      0.4265E+00
   0.174      0.2913E+00      0.4276E+00
   0.182      0.2914E+00      0.4289E+00
   0.190      0.2915E+00      0.4301E+00
   0.198      0.2916E+00      0.4315E+00
   0.205      0.2918E+00      0.4329E+00
   0.213      0.2919E+00      0.4344E+00
   0.221      0.2920E+00      0.4359E+00
   0.229      0.2921E+00      0.4376E+00
   0.237      0.2923E+00      0.4393E+00
   0.245      0.2924E+00      0.4411E+00
   0.253      0.2926E+00      0.4430E+00
   0.261      0.2928E+00      0.4451E+00
   0.269      0.2930E+00      0.4473E+00
   0.277      0.2932E+00      0.4495E+00
   0.285      0.2934E+00      0.4518E+00
   0.292      0.2935E+00      0.4543E+00
   0.300      0.2937E+00      0.4568E+00
   0.308      0.2939E+00      0.4595E+00
   0.316      0.2941E+00      0.4623E+00
   0.324      0.2943E+00      0.4652E+00
   0.332      0.2945E+00      0.4683E+00
   0.340      0.2947E+00      0.4715E+00
   0.348      0.2949E+00      0.4749E+00
   0.356      0.2952E+00      0.4784E+00
   0.364      0.2954E+00      0.4822E+00
   0.371      0.2956E+00      0.4861E+00
   0.379      0.2959E+00      0.4902E+00
   0.387      0.2961E+00      0.4945E+00
   0.395      0.2964E+00      0.4991E+00
   0.403      0.2966E+00      0.5038E+00
   0.411      0.2969E+00      0.5089E+00
   0.419      0.2972E+00      0.5141E+00
   0.427      0.2975E+00      0.5197E+00
   0.435      0.2977E+00      0.5255E+00
   0.443      0.2981E+00      0.5318E+00
   0.451      0.2984E+00      0.5383E+00
   0.459      0.2987E+00      0.5451E+00
