   #Energy      xx(%)           yy(%)
   0.000      0.0000E+00      0.0000E+00
   0.008      0.1099E-02      0.2247E-02
   0.016      0.1104E-02      0.2258E-02
   0.024      0.1113E-02      0.2276E-02
   0.032      0.1125E-02      0.2301E-02
   0.040      0.1140E-02      0.2334E-02
   0.047      0.1159E-02      0.2374E-02
   0.055      0.1182E-02      0.2422E-02
   0.063      0.1208E-02      0.2476E-02
   0.071      0.1237E-02      0.2539E-02
   0.079      0.1270E-02      0.2608E-02
   0.087      0.1306E-02      0.2685E-02
   0.095      0.1349E-02      0.2776E-02
   0.103      0.1392E-02      0.2868E-02
   0.111      0.1438E-02      0.2968E-02
   0.119      0.1488E-02      0.3076E-02
   0.127      0.1542E-02      0.3191E-02
   0.134      0.1599E-02      0.3315E-02
   0.142      0.1660E-02      0.3446E-02
   0.150      0.1724E-02      0.3586E-02
   0.158      0.1791E-02      0.3734E-02
   0.166      0.1862E-02      0.3890E-02
   0.174      0.1937E-02      0.4055E-02
   0.182      0.2015E-02      0.4228E-02
   0.190      0.2097E-02      0.4411E-02
   0.198      0.2182E-02      0.4602E-02
   0.205      0.2271E-02      0.4801E-02
   0.213      0.2364E-02      0.5011E-02
   0.221      0.2459E-02      0.5229E-02
   0.229      0.2559E-02      0.5457E-02
   0.237      0.2662E-02      0.5695E-02
   0.245      0.2769E-02      0.5943E-02
   0.253      0.2879E-02      0.6201E-02
   0.261      0.2994E-02      0.6469E-02
   0.269      0.3114E-02      0.6753E-02
   0.277      0.3235E-02      0.7043E-02
   0.285      0.3360E-02      0.7344E-02
   0.292      0.3488E-02      0.7657E-02
   0.300      0.3621E-02      0.7981E-02
   0.308      0.3757E-02      0.8317E-02
   0.316      0.3897E-02      0.8666E-02
   0.324      0.4040E-02      0.9027E-02
   0.332      0.4188E-02      0.9402E-02
   0.340      0.4339E-02      0.9790E-02
   0.348      0.4493E-02      0.1019E-01
   0.356      0.4652E-02      0.1061E-01
   0.364      0.4815E-02      0.1104E-01
   0.371      0.4981E-02      0.1148E-01
   0.379      0.5151E-02      0.1195E-01
   0.387      0.5325E-02      0.1242E-01
   0.395      0.5503E-02      0.1292E-01
   0.403      0.5685E-02      0.1343E-01
   0.411      0.5871E-02      0.1396E-01
   0.419      0.6060E-02      0.1450E-01
   0.427      0.6254E-02      0.1507E-01
   0.435      0.6451E-02      0.1566E-01
   0.443      0.6656E-02      0.1627E-01
   0.451      0.6862E-02      0.1689E-01
   0.459      0.7072E-02      0.1754E-01
   0.466      0.7285E-02      0.1821E-01
   0.474      0.7503E-02      0.1890E-01
   0.482      0.7725E-02      0.1961E-01
   0.490      0.7951E-02      0.2034E-01
   0.498      0.8182E-02      0.2110E-01
   0.506      0.8416E-02      0.2188E-01
   0.514      0.8655E-02      0.2269E-01
   0.522      0.8898E-02      0.2352E-01
   0.530      0.9145E-02      0.2438E-01
   0.537      0.9397E-02      0.2526E-01
   0.545      0.9653E-02      0.2617E-01
   0.553      0.9914E-02      0.2711E-01
   0.561      0.1018E-01      0.2807E-01
   0.569      0.1045E-01      0.2905E-01
   0.577      0.1072E-01      0.3006E-01
   0.585      0.1100E-01      0.3110E-01
   0.593      0.1128E-01      0.3216E-01
   0.601      0.1157E-01      0.3325E-01
   0.609      0.1186E-01      0.3436E-01
   0.617      0.1216E-01      0.3551E-01
   0.625      0.1246E-01      0.3666E-01
   0.632      0.1277E-01      0.3784E-01
   0.640      0.1308E-01      0.3904E-01
   0.648      0.1339E-01      0.4026E-01
   0.656      0.1371E-01      0.4149E-01
   0.664      0.1404E-01      0.4274E-01
   0.672      0.1437E-01      0.4401E-01
   0.680      0.1470E-01      0.4528E-01
   0.688      0.1504E-01      0.4657E-01
   0.696      0.1539E-01      0.4786E-01
   0.704      0.1574E-01      0.4915E-01
   0.711      0.1609E-01      0.5045E-01
   0.719      0.1645E-01      0.5174E-01
   0.727      0.1682E-01      0.5304E-01
   0.735      0.1719E-01      0.5432E-01
   0.743      0.1757E-01      0.5560E-01
   0.751      0.1795E-01      0.5686E-01
   0.759      0.1833E-01      0.5810E-01
   0.767      0.1872E-01      0.5933E-01
   0.775      0.1912E-01      0.6053E-01
   0.782      0.1952E-01      0.6171E-01
   0.790      0.1994E-01      0.6287E-01
   0.798      0.2035E-01      0.6399E-01
   0.806      0.2077E-01      0.6506E-01
   0.814      0.2120E-01      0.6610E-01
   0.822      0.2163E-01      0.6710E-01
   0.830      0.2206E-01      0.6806E-01
   0.838      0.2251E-01      0.6896E-01
   0.846      0.2295E-01      0.6982E-01
   0.854      0.2341E-01      0.7063E-01
   0.862      0.2387E-01      0.7138E-01
   0.870      0.2434E-01      0.7208E-01
   0.877      0.2481E-01      0.7272E-01
   0.885      0.2529E-01      0.7330E-01
   0.893      0.2577E-01      0.7383E-01
   0.901      0.2626E-01      0.7429E-01
   0.909      0.2676E-01      0.7470E-01
   0.917      0.2726E-01      0.7504E-01
   0.925      0.2777E-01      0.7533E-01
   0.933      0.2829E-01      0.7555E-01
   0.941      0.2881E-01      0.7572E-01
   0.949      0.2934E-01      0.7583E-01
   0.956      0.2988E-01      0.7588E-01
   0.964      0.3043E-01      0.7589E-01
   0.972      0.3098E-01      0.7583E-01
   0.980      0.3154E-01      0.7572E-01
   0.988      0.3210E-01      0.7556E-01
   0.996      0.3267E-01      0.7535E-01
   1.004      0.3325E-01      0.7509E-01
   1.012      0.3383E-01      0.7479E-01
   1.020      0.3442E-01      0.7445E-01
   1.028      0.3502E-01      0.7407E-01
   1.036      0.3563E-01      0.7366E-01
   1.043      0.3624E-01      0.7321E-01
   1.051      0.3686E-01      0.7272E-01
   1.059      0.3749E-01      0.7222E-01
   1.067      0.3813E-01      0.7168E-01
   1.075      0.3877E-01      0.7112E-01
   1.083      0.3942E-01      0.7055E-01
   1.091      0.4008E-01      0.6996E-01
   1.099      0.4075E-01      0.6935E-01
   1.107      0.4143E-01      0.6872E-01
   1.115      0.4211E-01      0.6809E-01
   1.122      0.4280E-01      0.6746E-01
   1.130      0.4350E-01      0.6681E-01
   1.138      0.4421E-01      0.6617E-01
   1.146      0.4493E-01      0.6553E-01
   1.154      0.4566E-01      0.6488E-01
   1.162      0.4639E-01      0.6424E-01
   1.170      0.4713E-01      0.6360E-01
   1.178      0.4788E-01      0.6297E-01
   1.186      0.4864E-01      0.6234E-01
   1.194      0.4941E-01      0.6172E-01
   1.202      0.5019E-01      0.6112E-01
   1.209      0.5098E-01      0.6052E-01
   1.217      0.5177E-01      0.5994E-01
   1.225      0.5258E-01      0.5936E-01
   1.233      0.5339E-01      0.5881E-01
   1.241      0.5422E-01      0.5826E-01
   1.249      0.5505E-01      0.5773E-01
   1.257      0.5590E-01      0.5722E-01
   1.265      0.5675E-01      0.5673E-01
   1.273      0.5761E-01      0.5625E-01
   1.280      0.5849E-01      0.5579E-01
   1.288      0.5937E-01      0.5534E-01
   1.296      0.6027E-01      0.5492E-01
   1.304      0.6117E-01      0.5451E-01
   1.312      0.6209E-01      0.5412E-01
   1.320      0.6303E-01      0.5375E-01
   1.328      0.6397E-01      0.5340E-01
   1.336      0.6492E-01      0.5306E-01
   1.344      0.6588E-01      0.5274E-01
   1.352      0.6685E-01      0.5244E-01
   1.360      0.6784E-01      0.5216E-01
   1.367      0.6883E-01      0.5190E-01
   1.375      0.6984E-01      0.5165E-01
   1.383      0.7086E-01      0.5142E-01
   1.391      0.7189E-01      0.5121E-01
   1.399      0.7294E-01      0.5102E-01
   1.407      0.7399E-01      0.5085E-01
   1.415      0.7506E-01      0.5069E-01
   1.423      0.7614E-01      0.5055E-01
   1.431      0.7724E-01      0.5043E-01
   1.439      0.7835E-01      0.5033E-01
