   #Energy      xx(%)           yy(%)
   0.000      0.1000E+03      0.1000E+03
   0.008      0.9934E+02      0.9905E+02
   0.016      0.9934E+02      0.9905E+02
   0.024      0.9934E+02      0.9905E+02
   0.032      0.9934E+02      0.9905E+02
   0.040      0.9934E+02      0.9905E+02
   0.047      0.9934E+02      0.9905E+02
   0.055      0.9934E+02      0.9905E+02
   0.063      0.9934E+02      0.9905E+02
   0.071      0.9934E+02      0.9905E+02
   0.079      0.9934E+02      0.9905E+02
   0.087      0.9934E+02      0.9905E+02
   0.095      0.9934E+02      0.9905E+02
   0.103      0.9934E+02      0.9904E+02
   0.111      0.9934E+02      0.9904E+02
   0.119      0.9934E+02      0.9904E+02
   0.127      0.9934E+02      0.9904E+02
   0.134      0.9934E+02      0.9904E+02
   0.142      0.9934E+02      0.9904E+02
   0.150      0.9934E+02      0.9903E+02
   0.158      0.9934E+02      0.9903E+02
   0.166      0.9933E+02      0.9903E+02
   0.174      0.9933E+02      0.9903E+02
   0.182      0.9933E+02      0.9902E+02
   0.190      0.9933E+02      0.9902E+02
   0.198      0.9933E+02      0.9902E+02
   0.205      0.9933E+02      0.9901E+02
   0.213      0.9933E+02      0.9901E+02
   0.221      0.9933E+02      0.9901E+02
   0.229      0.9933E+02      0.9900E+02
   0.237      0.9933E+02      0.9900E+02
   0.245      0.9933E+02      0.9899E+02
   0.253      0.9933E+02      0.9899E+02
   0.261      0.9933E+02      0.9898E+02
   0.269      0.9933E+02      0.9898E+02
   0.277      0.9933E+02      0.9897E+02
   0.285      0.9933E+02      0.9897E+02
   0.292      0.9933E+02      0.9896E+02
   0.300      0.9933E+02      0.9896E+02
   0.308      0.9933E+02      0.9895E+02
   0.316      0.9933E+02      0.9894E+02
   0.324      0.9933E+02      0.9894E+02
   0.332      0.9933E+02      0.9893E+02
   0.340      0.9932E+02      0.9892E+02
   0.348      0.9932E+02      0.9891E+02
   0.356      0.9932E+02      0.9890E+02
   0.364      0.9932E+02      0.9890E+02
   0.371      0.9932E+02      0.9889E+02
   0.379      0.9932E+02      0.9888E+02
   0.387      0.9932E+02      0.9887E+02
   0.395      0.9932E+02      0.9886E+02
   0.403      0.9932E+02      0.9884E+02
   0.411      0.9932E+02      0.9883E+02
   0.419      0.9932E+02      0.9882E+02
   0.427      0.9932E+02      0.9881E+02
