#K-Path(1/A)     Band-1    Band-2    Band-3    Band-4      ...     Band-n
  0.0000    0.0000    0.0000    0.0000   15.6714   15.6714   15.6714
  0.0612    0.3063    0.3063    0.7872   15.6633   15.6633   15.6670
  0.1224    0.6109    0.6109    1.5717   15.6392   15.6392   15.6538
  0.1836    0.9123    0.9123    2.3509   15.5992   15.5992   15.6308
  0.2448    1.2090    1.2090    3.1223   15.5437   15.5437   15.5967
  0.3060    1.4995    1.4995    3.8835   15.4733   15.4733   15.5500
  0.3672    1.7823    1.7823    4.6320   15.3888   15.3888   15.4884
  0.4284    2.0563    2.0563    5.3659   15.2915   15.2915   15.4100
  0.4896    2.3199    2.3199    6.0831   15.1829   15.1829   15.3122
  0.5509    2.5719    2.5719    6.7818   15.0651   15.0651   15.1928
  0.6121    2.8107    2.8107    7.4604   14.9406   14.9406   15.0496
  0.6733    3.0345    3.0345    8.1174   14.8125   14.8125   14.8806
  0.7345    3.2413    3.2413    8.7515   14.6840   14.6845   14.6845
  0.7957    3.4288    3.4288    9.3614   14.4583   14.5605   14.5605
  0.8569    3.5943    3.5943    9.9460   14.2025   14.4449   14.4449
  0.9181    3.7351    3.7351   10.5042   13.9157   14.3423   14.3423
  0.9793    3.8484    3.8484   11.0349   13.5974   14.2569   14.2569
  1.0405    3.9315    3.9315   11.5373   13.2476   14.1928   14.1928
  1.1017    3.9823    3.9823   12.0105   12.8662   14.1529   14.1529
  1.1629    3.9994    3.9994   12.4537   12.4537   14.1394   14.1394
  1.1629    3.9994    3.9994   12.4537   12.4537   14.1394   14.1394
  1.1845    3.9987    4.0114   12.4489   12.4517   14.1402   14.1421
  1.2062    3.9965    4.0469   12.4346   12.4457   14.1423   14.1501
  1.2278    3.9928    4.1051   12.4112   12.4358   14.1459   14.1629
  1.2495    3.9877    4.1845   12.3791   12.4221   14.1508   14.1803
  1.2711    3.9811    4.2831   12.3389   12.4048   14.1572   14.2015
  1.2927    3.9730    4.3987   12.2913   12.3843   14.1650   14.2259
  1.3144    3.9635    4.5289   12.2370   12.3608   14.1741   14.2530
  1.3360    3.9525    4.6712   12.1767   12.3347   14.1846   14.2819
  1.3577    3.9400    4.8230   12.1110   12.3065   14.1965   14.3123
  1.3793    3.9261    4.9818   12.0404   12.2768   14.2096   14.3434
  1.4009    3.9106    5.1451   11.9654   12.2462   14.2240   14.3750
  1.4226    3.8937    5.3106   11.8865   12.2154   14.2397   14.4065
  1.4442    3.8753    5.4759   11.8040   12.1853   14.2566   14.4378
  1.4659    3.8554    5.6388   11.7183   12.1568   14.2746   14.4684
  1.4875    3.8340    5.7971   11.6297   12.1310   14.2938   14.4982
  1.5091    3.8111    5.9486   11.5383   12.1088   14.3141   14.5271
  1.5308    3.7868    6.0914   11.4444   12.0914   14.3354   14.5548
  1.5524    3.7609    6.2234   11.3480   12.0801   14.3578   14.5814
  1.5741    3.7335    6.3428   11.2494   12.0760   14.3811   14.6067
  1.5741    3.7335    6.3428   11.2494   12.0760   14.3811   14.6067
  1.6390    3.6423    6.6095   10.9403   12.1174   14.4564   14.6750
  1.7039    3.5375    6.7167   10.6117   12.2536   14.5386   14.7326
  1.7688    3.4191    6.6586   10.2624   12.4840   14.6263   14.7816
  1.8337    3.2871    6.4541    9.8895   12.7873   14.7180   14.8253
  1.8986    3.1418    6.1344    9.4894   13.1332   14.8121   14.8673
  1.9636    2.9832    5.7309    9.0575   13.4932   14.9072   14.9113
  2.0285    2.8117    5.2705    8.5897   13.8458   14.9604   15.0017
  2.0934    2.6276    4.7746    8.0821   14.1763   15.0168   15.0943
  2.1583    2.4316    4.2605    7.5320   14.4758   15.0811   15.1835
  2.2232    2.2242    3.7420    6.9379   14.7395   15.1529   15.2682
  2.2882    2.0061    3.2304    6.2999   14.9657   15.2305   15.3471
  2.3531    1.7782    2.7350    5.6191   15.1547   15.3111   15.4193
  2.4180    1.5414    2.2629    4.8984   15.3086   15.3913   15.4837
  2.4829    1.2969    1.8188    4.1414   15.4302   15.4674   15.5396
  2.5478    1.0457    1.4053    3.3529   15.5231   15.5357   15.5863
  2.6128    0.7891    1.0217    2.5382   15.5908   15.5927   15.6232
  2.6777    0.5284    0.6645    1.7035   15.6357   15.6365   15.6498
  2.7426    0.2649    0.3269    0.8552   15.6623   15.6628   15.6660
  2.8075    0.0000    0.0000    0.0000   15.6714   15.6714   15.6714
  2.8075    0.0000    0.0000    0.0000   15.6714   15.6714   15.6714
  2.8605    0.2338    0.2338    0.7047   15.6648   15.6669   15.6669
  2.9135    0.4667    0.4667    1.4084   15.6451   15.6538   15.6538
  2.9665    0.6979    0.6979    2.1103   15.6116   15.6322   15.6322
  3.0195    0.9264    0.9264    2.8093   15.5634   15.6026   15.6026
  3.0725    1.1510    1.1510    3.5042   15.4993   15.5657   15.5657
  3.1255    1.3708    1.3708    4.1938   15.4180   15.5222   15.5222
  3.1785    1.5843    1.5843    4.8764   15.3178   15.4731   15.4731
  3.2316    1.7902    1.7902    5.5505   15.1972   15.4196   15.4196
  3.2846    1.9869    1.9869    6.2140   15.0545   15.3631   15.3631
