    #kx         ky         Energy       Sx       Sy     Sz
    #Grid_Size:    44   44
    #Band_Index:    4
    0.000000    0.000000  -13.558164   0.157   0.394  -0.620
    0.034763   -0.020071  -13.554964  -0.094  -0.099  -0.327
    0.069526   -0.040141  -13.546089  -0.273  -0.451  -0.118
    0.104289   -0.060212  -13.531538  -0.380  -0.661   0.006
    0.139053   -0.080282  -13.511313  -0.414  -0.728   0.045
    0.173816   -0.100353  -13.485574  -0.392  -0.684   0.018
    0.208579   -0.120423  -13.454988  -0.376  -0.651  -0.002
    0.243342   -0.140494  -13.419626  -0.372  -0.642  -0.008
    0.278105   -0.160564  -13.379837  -0.378  -0.651  -0.003
    0.312868   -0.180635  -13.336752  -0.382  -0.658   0.000
    0.347631   -0.200705  -13.290460  -0.383  -0.661   0.001
    0.382395   -0.220776  -13.241610  -0.382  -0.661   0.000
    0.417158   -0.240846  -13.191889  -0.382  -0.663  -0.000
    0.451921   -0.260917  -13.141382  -0.384  -0.667  -0.000
    0.486684   -0.280987  -13.091140  -0.385  -0.670  -0.000
    0.521447   -0.301058  -13.043328  -0.383  -0.666   0.000
    0.556210   -0.321128  -12.998012  -0.376  -0.653   0.000
    0.590973   -0.341199  -12.956589  -0.377  -0.652   0.000
    0.625737   -0.361269  -12.921351  -0.402  -0.696  -0.000
    0.660500   -0.381340  -12.892330  -0.453  -0.784  -0.000
    0.695263   -0.401410  -12.870605  -0.452  -0.784  -0.000
    0.730026   -0.421481  -12.857567  -0.301  -0.523   0.000
   -0.764789    0.441551  -12.853221  -0.000  -0.000   0.000
   -0.730026    0.421481  -12.857567   0.301   0.523   0.000
   -0.695263    0.401410  -12.870605   0.452   0.784  -0.000
   -0.660500    0.381340  -12.892330   0.453   0.784  -0.000
   -0.625737    0.361269  -12.921351   0.402   0.696  -0.000
   -0.590973    0.341199  -12.956589   0.377   0.652   0.000
   -0.556210    0.321128  -12.998012   0.376   0.653   0.000
   -0.521447    0.301058  -13.043328   0.383   0.666   0.000
   -0.486684    0.280987  -13.091140   0.385   0.670  -0.000
   -0.451921    0.260917  -13.141383   0.384   0.667  -0.000
